,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603477,巨星农牧,18.81,1.13,0.21,147970,275480918.0,2.85,18.86,18.33,18.5,18.6,2.9,18.5,3.12
1,2,002714,牧原股份,38.58,0.84,0.32,542622,2082103680.81,4.0,39.25,37.72,38.26,38.26,1.42,11.79,2.97
2,3,002124,ST天邦,3.03,0.33,0.01,1221907,375912403.62,5.3,3.17,3.01,3.12,3.02,6.19,3.76,1.89
3,4,000895,双汇发展,25.98,0.23,0.06,104377,271969261.7,1.35,26.21,25.86,25.89,25.92,0.3,17.74,4.52
4,5,002157,正邦科技,2.86,0.0,0.0,904219,256538800.11,2.1,2.87,2.81,2.84,2.86,1.26,65.99,2.27
5,6,600073,光明肉业,6.68,-0.3,-0.02,92839,62213959.0,1.94,6.77,6.64,6.69,6.7,0.99,12.32,1.21
6,7,002100,天康生物,6.25,-0.48,-0.03,215347,134870690.0,1.75,6.32,6.21,6.27,6.28,1.58,11.31,1.23
7,8,300498,温氏股份,16.55,-0.48,-0.08,339074,563391665.42,1.86,16.79,16.48,16.57,16.63,0.65,11.91,2.69
8,9,002385,大北农,4.05,-0.49,-0.02,601495,244183984.28,1.47,4.09,4.03,4.06,4.07,1.71,97.86,2.11
9,10,603609,禾丰股份,7.6,-0.52,-0.04,39678,30236232.0,1.7,7.69,7.56,7.64,7.64,0.43,18.13,1.07
10,11,002567,唐人神,4.96,-0.6,-0.03,341998,170650574.16,1.8,5.03,4.94,4.98,4.99,2.39,21.01,1.22
11,12,002726,龙大美食,6.47,-0.61,-0.04,99900,64616766.59,1.84,6.53,6.41,6.5,6.51,0.93,71.69,5.05
12,13,000529,广弘控股,6.03,-0.82,-0.05,55382,33543498.0,1.81,6.12,6.01,6.06,6.08,0.97,31.03,1.12
13,14,001201,东瑞股份,14.69,-0.88,-0.13,22524,33184810.3,2.29,14.93,14.59,14.77,14.82,1.36,-36.9,1.12
14,15,002330,得利斯,4.44,-0.89,-0.04,58369,25973414.43,2.23,4.51,4.41,4.47,4.48,0.92,319.12,1.19
15,16,000002,万  科Ａ,7.36,-0.94,-0.07,1306621,960505548.81,2.02,7.42,7.27,7.4,7.43,1.34,-3.67,0.38
16,17,002515,金字火腿,5.16,-0.96,-0.05,180880,93307129.02,2.11,5.21,5.1,5.18,5.21,1.56,156.96,2.41
17,18,600975,新五丰,6.16,-0.96,-0.06,201663,124626273.0,2.25,6.25,6.11,6.19,6.22,1.98,4741.71,2.6
18,19,002548,金新农,3.87,-1.02,-0.04,150827,58544843.0,1.79,3.92,3.85,3.89,3.91,1.87,83.84,2.06
19,20,002982,湘佳股份,18.49,-1.12,-0.21,25374,46974675.4,2.73,18.86,18.35,18.65,18.7,2.74,22.62,1.69
20,21,002840,华统股份,11.06,-1.16,-0.13,106651,118623682.8,2.14,11.26,11.02,11.13,11.19,2.14,98.29,2.91
21,22,300761,立华股份,18.31,-1.19,-0.22,76173,140106044.59,1.89,18.61,18.26,18.4,18.53,1.26,9.79,1.74
22,23,603151,邦基科技,12.1,-1.31,-0.16,17219,20953195.0,2.28,12.36,12.08,12.33,12.26,2.13,35.71,1.64
23,24,605296,神农集团,28.36,-1.36,-0.39,35949,102272172.0,3.23,29.06,28.13,28.32,28.75,0.69,23.24,3.16
24,25,002458,益生股份,9.07,-1.41,-0.13,137800,125626290.09,2.61,9.26,9.02,9.08,9.2,1.84,19.61,2.24
25,26,000735,罗 牛 山,6.57,-1.65,-0.11,346141,230221074.5,3.59,6.78,6.54,6.64,6.68,3.01,16.58,1.75
26,27,002661,克明食品,10.07,-1.66,-0.17,49607,50244527.0,2.64,10.28,10.01,10.16,10.24,1.52,23.72,1.42
27,28,603363,*ST傲农,3.52,-1.68,-0.06,281144,100045831.0,5.59,3.69,3.49,3.6,3.58,1.92,-8.39,1.32
28,29,000860,顺鑫农业,17.08,-1.73,-0.3,140867,242728609.66,2.82,17.53,17.04,17.36,17.38,1.9,24.87,1.77
29,30,002311,海大集团,48.89,-1.85,-0.92,40107,197178176.43,2.81,50.15,48.75,49.56,49.81,0.24,18.01,3.4
30,31,000876,新 希 望,9.41,-1.88,-0.18,425709,402218298.03,3.34,9.63,9.31,9.54,9.59,0.95,208.42,2.0
31,32,001366,播恩集团,11.27,-2.09,-0.24,29949,33869844.0,3.04,11.5,11.15,11.45,11.51,5.38,-93.37,2.19
32,33,000048,京基智农,15.21,-2.12,-0.33,64372,98313069.08,3.22,15.59,15.09,15.42,15.54,1.22,10.05,1.95
33,34,300871,回盛生物,12.49,-2.95,-0.38,33338,42114750.77,5.44,13.1,12.4,13.06,12.87,2.01,-32.58,1.57
34,35,000702,正虹科技,7.04,-3.43,-0.25,111102,79066677.26,3.84,7.3,7.02,7.3,7.29,4.17,-82.29,5.96
35,36,300511,雪榕生物,4.89,-7.91,-0.42,698342,350288280.74,7.53,5.28,4.88,5.17,5.31,14.86,-12.33,1.76
36,37,603717,天域生物,8.55,-10.0,-0.95,379905,336089396.0,8.11,9.32,8.55,9.0,9.5,13.09,291.27,3.83
