,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002165,红 宝 丽,5.48,10.04,0.5,1046017,555926006.92,8.63,5.48,5.05,5.08,4.98,14.38,65.56,2.0
1,2,300721,怡达股份,15.33,9.5,1.33,347109,543292558.3,18.86,16.8,14.16,14.5,14.0,25.31,131.38,2.07
2,3,601678,滨化股份,4.03,2.03,0.08,698654,282860077.0,4.81,4.14,3.95,4.0,3.95,3.44,32.87,0.73
3,4,002408,齐翔腾达,4.92,1.03,0.05,245551,120696217.0,2.87,4.99,4.85,4.87,4.87,0.9,53.39,1.23
4,5,600308,华泰股份,3.52,0.86,0.03,178541,63255075.0,3.72,3.61,3.48,3.49,3.49,1.18,23.9,0.58
5,6,002809,红墙股份,8.99,0.67,0.06,147436,134636141.6,6.72,9.42,8.82,8.85,8.93,10.7,35.5,1.18
6,7,600500,中化国际,3.86,0.52,0.02,256274,99121883.0,1.82,3.9,3.83,3.84,3.84,0.71,-20.12,0.92
7,8,000818,航锦科技,28.57,-0.03,-0.01,741496,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
8,9,832471,美邦科技,16.88,-0.18,-0.03,33441,56403079.96,6.15,17.35,16.31,16.78,16.91,6.31,163.79,2.56
9,10,300082,奥克股份,6.6,-0.6,-0.04,102947,69339072.98,4.37,6.89,6.6,6.62,6.64,1.52,-25.21,1.6
10,11,605020,永和股份,22.72,-0.83,-0.19,46824,106794771.0,2.27,23.14,22.62,22.9,22.91,1.24,54.74,2.5
11,12,600309,万华化学,67.4,-1.36,-0.93,223937,1520653911.0,2.08,68.78,67.36,68.26,68.33,0.71,16.24,2.24
12,13,603026,石大胜华,35.5,-2.07,-0.75,31346,111956445.0,2.65,36.32,35.36,36.22,36.25,1.55,479.03,1.85
13,14,688267,中触媒,25.7,-2.58,-0.68,18493,47791497.0,3.3,26.38,25.51,26.38,26.38,1.99,31.09,1.66
14,15,600955,维远股份,14.91,-2.74,-0.42,50249,76081049.0,3.85,15.49,14.9,15.33,15.33,0.91,69.99,0.95
