,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000601,韶能股份,5.42,2.65,0.14,2331603,1247927154.33,16.67,5.81,4.93,5.28,5.28,21.58,22.32,1.37
1,2,600965,福成股份,5.02,2.24,0.11,194066,96596153.0,3.67,5.05,4.87,4.91,4.91,2.37,79.5,1.91
2,3,600805,悦达投资,4.8,0.63,0.03,157296,75889399.0,3.77,4.9,4.72,4.73,4.77,1.85,121.85,0.93
3,4,000505,京粮控股,6.18,0.16,0.01,84405,52359086.0,1.94,6.27,6.15,6.17,6.17,1.33,120.97,1.43
4,5,002061,浙江交科,4.02,0.0,0.0,286138,115440374.2,1.99,4.07,3.99,4.0,4.02,1.1,9.6,0.72
5,6,002157,正邦科技,2.86,0.0,0.0,904219,256538800.11,2.1,2.87,2.81,2.84,2.86,1.26,65.99,2.27
6,7,300335,迪森股份,5.38,0.0,0.0,308587,166658924.07,3.35,5.49,5.31,5.36,5.38,8.02,29.76,1.33
7,8,002565,顺灏股份,3.24,0.0,0.0,196434,63402290.5,1.85,3.26,3.2,3.22,3.24,1.85,46.03,1.79
8,9,600853,龙建股份,3.88,-0.26,-0.01,190033,73874394.0,2.06,3.92,3.84,3.88,3.89,1.88,9.54,1.07
9,10,002170,芭田股份,10.45,-0.29,-0.03,172681,180909601.53,2.67,10.65,10.37,10.41,10.48,2.43,36.89,3.35
10,11,000930,中粮科技,5.58,-0.36,-0.02,182100,102325941.56,2.5,5.69,5.55,5.6,5.6,0.98,810.3,0.99
11,12,000893,亚钾国际,25.03,-0.36,-0.09,87002,220576187.13,3.62,25.91,25.0,25.14,25.12,1.07,33.48,1.98
12,13,603276,恒兴新材,15.72,-0.44,-0.07,22086,34562607.0,1.84,15.83,15.54,15.66,15.79,3.29,70.89,1.87
13,14,000902,新洋丰,12.59,-0.63,-0.08,59543,75191770.5,2.05,12.76,12.5,12.62,12.67,0.52,10.65,1.54
14,15,002783,凯龙股份,8.2,-0.73,-0.06,103507,84894890.32,1.33,8.26,8.15,8.22,8.26,2.35,27.43,1.65
15,16,002538,司尔特,6.09,-0.81,-0.05,136006,83202363.0,2.28,6.2,6.06,6.14,6.14,1.59,15.94,0.98
16,17,002539,云图控股,7.88,-0.88,-0.07,87617,69444400.52,1.89,8.01,7.86,7.94,7.95,0.99,11.83,1.09
17,18,002758,浙农股份,8.85,-0.9,-0.08,31709,28241491.0,2.02,9.03,8.85,8.95,8.93,0.61,21.57,1.02
18,19,002588,史丹利,7.3,-0.95,-0.07,145750,107254411.96,2.58,7.46,7.27,7.37,7.37,1.43,9.49,1.27
19,20,600543,莫高股份,4.95,-1.0,-0.05,62102,30749299.0,1.6,5.0,4.92,4.98,5.0,1.93,-43.77,1.9
20,21,300387,富邦科技,9.08,-1.09,-0.1,89423,81556112.14,2.72,9.27,9.02,9.14,9.18,3.09,21.41,1.88
21,22,002215,诺 普 信,9.57,-1.14,-0.11,163264,156815372.0,1.96,9.7,9.51,9.62,9.68,2.06,14.8,2.49
22,23,300021,大禹节水,4.56,-1.3,-0.06,148849,68070051.59,1.95,4.63,4.54,4.59,4.62,2.12,97.75,2.09
23,24,002746,仙坛股份,5.87,-1.34,-0.08,119626,70535390.5,1.85,5.95,5.84,5.9,5.95,1.69,33.84,1.13
24,25,600300,维维股份,3.42,-1.44,-0.05,665803,229243345.0,2.59,3.49,3.4,3.46,3.47,4.12,16.86,1.67
25,26,600796,钱江生化,5.99,-1.48,-0.09,65455,39273466.0,1.97,6.07,5.95,6.07,6.08,2.12,30.21,1.6
26,27,000626,远大控股,5.56,-1.59,-0.09,40691,22760515.0,2.48,5.67,5.53,5.62,5.65,0.81,-27.9,1.11
27,28,002470,金正大,1.85,-1.6,-0.03,652983,121580049.88,2.66,1.89,1.84,1.87,1.88,1.99,25.31,2.76
28,29,002513,蓝丰生化,4.68,-1.89,-0.09,111931,52721455.54,2.52,4.78,4.66,4.73,4.77,4.24,-7.12,-11.21
29,30,002321,华英农业,2.39,-2.05,-0.05,255154,61518664.0,2.46,2.44,2.38,2.44,2.44,1.2,116.56,5.3
30,31,300381,溢多利,7.41,-2.24,-0.17,71505,53552462.72,3.17,7.63,7.39,7.61,7.58,1.46,63.77,1.38
31,32,300237,美晨科技,2.17,-2.25,-0.05,707261,154465508.0,4.95,2.25,2.14,2.2,2.22,4.92,-12.15,22.43
32,33,002234,民和股份,9.01,-2.38,-0.22,135193,123159665.0,4.44,9.35,8.94,9.28,9.23,4.49,-10.86,1.52
33,34,603739,蔚蓝生物,12.96,-2.41,-0.32,43649,56867447.0,2.94,13.28,12.89,13.28,13.28,1.73,60.21,1.9
34,35,002910,庄园牧场,9.15,-2.45,-0.23,131234,120445083.42,2.35,9.33,9.11,9.3,9.38,7.67,-11.34,1.58
35,36,002582,好想你,9.74,-3.28,-0.33,377445,369406385.6,4.07,10.02,9.61,10.01,10.07,10.97,-54.38,1.23
36,37,301556,托普云农,86.71,-3.69,-3.32,11848,103980546.15,4.31,90.26,86.38,90.26,90.03,6.46,72.41,8.24
37,38,688156,路德环境,13.14,-4.58,-0.63,20554,27522140.0,5.52,13.88,13.12,13.72,13.77,2.04,-23.25,1.59
38,39,603789,星光农机,8.25,-10.03,-0.92,300903,252109361.0,4.58,8.67,8.25,8.55,9.17,11.57,-21.24,6.48
