,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002217,*ST合泰,2.21,3.76,0.08,1061398.0,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
1,2,002609,捷顺科技,9.7,3.19,0.3,281162.0,270058197.56,5.11,9.72,9.24,9.35,9.4,6.12,109.16,2.62
2,3,300096,ST易联众,3.91,2.36,0.09,119347.0,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
3,4,300386,飞天诚信,16.95,1.44,0.24,140107.0,235460152.0,2.87,16.98,16.5,16.69,16.71,5.64,-235.75,4.65
4,5,002528,ST英飞拓,2.63,1.15,0.03,276229.0,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
5,6,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
6,7,002962,五方光电,16.62,-0.72,-0.12,155724.0,262193652.89,4.0,17.11,16.44,16.95,16.74,7.44,56.58,2.65
7,8,301330,熵基科技,29.65,-1.27,-0.38,41797.0,125412438.5,3.73,30.6,29.48,29.93,30.03,5.46,36.17,1.78
8,9,000901,航天科技,11.81,-1.5,-0.18,206401.0,246095907.42,2.17,12.05,11.79,11.94,11.99,2.59,-653.26,2.25
9,10,603160,汇顶科技,76.2,-1.52,-1.18,50020.0,383698745.0,2.73,78.07,75.96,77.11,77.38,1.08,58.3,3.94
10,11,600271,航天信息,9.24,-1.7,-0.16,126345.0,117690124.0,2.13,9.43,9.23,9.4,9.4,0.68,-681.26,1.23
11,12,002415,海康威视,31.33,-1.76,-0.56,355063.0,1118983882.67,2.13,31.94,31.26,31.85,31.89,0.39,24.19,3.59
12,13,600584,长电科技,36.26,-2.03,-0.75,312769.0,1142045152.0,2.54,37.04,36.1,36.91,37.01,1.75,45.21,2.42
13,14,002177,御银股份,4.75,-2.06,-0.1,289099.0,138237336.8,2.89,4.87,4.73,4.85,4.85,4.32,215.9,2.13
14,15,002230,科大讯飞,48.54,-2.1,-1.04,352148.0,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
15,16,301262,海看股份,24.88,-2.12,-0.54,20679.0,51973665.0,2.95,25.54,24.79,25.38,25.42,1.69,23.64,2.97
16,17,300579,数字认证,29.33,-2.3,-0.69,41087.0,121612943.1,3.26,30.2,29.22,29.88,30.02,1.57,-218.86,8.83
17,18,002655,共达电声,15.15,-2.45,-0.38,1402904.0,2163931601.76,13.01,16.47,14.45,14.85,15.53,38.98,70.04,8.21
18,19,300479,神思电子,21.46,-2.5,-0.55,74175.0,160834647.48,3.82,22.14,21.3,22.01,22.01,3.76,-28.16,9.95
19,20,300546,雄帝科技,19.12,-2.6,-0.51,62422.0,120449530.8,3.16,19.63,19.01,19.45,19.63,4.69,247.68,3.3
20,21,002535,林州重机,4.65,-2.72,-0.13,1012737.0,478997835.68,4.6,4.85,4.63,4.72,4.78,13.57,19.9,5.46
21,22,002362,汉王科技,23.38,-2.79,-0.67,69525.0,163829518.98,2.79,23.97,23.3,23.96,24.05,3.35,-57.14,4.84
22,23,301083,百胜智能,17.77,-2.79,-0.51,190218.0,338574087.34,7.6,18.45,17.06,17.35,18.28,22.22,90.27,3.86
23,24,002236,大华股份,17.85,-2.88,-0.53,1062577.0,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
24,25,300130,新国都,22.54,-2.89,-0.67,144001.0,329253579.74,4.09,23.44,22.49,23.1,23.21,3.32,32.24,2.98
25,26,688088,虹软科技,46.92,-3.06,-1.48,55445.0,262383281.0,3.6,48.38,46.64,48.06,48.4,1.38,107.43,6.93
26,27,600570,恒生电子,29.31,-3.14,-0.95,410914.0,1219006573.0,3.4,30.29,29.26,30.05,30.26,2.17,93.34,6.75
27,28,300822,贝仕达克,21.13,-3.21,-0.7,42358.0,90438214.34,4.35,22.0,21.05,22.0,21.83,1.47,82.76,5.15
28,29,300053,航宇微,13.87,-3.28,-0.47,209559.0,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
29,30,300306,远方信息,13.22,-3.36,-0.46,55151.0,73492037.0,3.36,13.6,13.14,13.58,13.68,3.5,38.43,2.32
30,31,002273,水晶光电,23.11,-3.39,-0.81,353833.0,827096434.66,3.26,23.86,23.08,23.72,23.92,2.61,27.98,3.64
31,32,688079,美迪凯,9.93,-3.4,-0.35,45532.0,45763196.0,3.4,10.27,9.92,10.23,10.28,1.14,-41.09,2.96
32,33,002152,广电运通,13.61,-3.48,-0.49,575566.0,792402716.54,3.26,14.04,13.58,14.01,14.1,2.32,36.86,2.69
33,34,603660,苏州科达,7.61,-3.55,-0.28,231907.0,178731038.0,3.3,7.87,7.61,7.87,7.89,4.36,-8.6,4.79
34,35,688207,格灵深瞳,16.26,-3.56,-0.6,62445.0,102885756.0,3.2,16.8,16.26,16.7,16.86,3.31,-20.35,2.06
35,36,300098,高新兴,5.58,-3.63,-0.21,608813.0,343279291.07,3.63,5.78,5.57,5.73,5.79,3.95,-158.12,3.43
36,37,600728,佳都科技,5.41,-3.74,-0.21,803487.0,439873331.0,3.38,5.59,5.4,5.59,5.62,3.75,-45.04,1.55
37,38,300077,国民技术,25.3,-3.8,-1.0,297671.0,762109721.5,4.03,26.32,25.26,26.08,26.3,5.26,-74.08,13.71
38,39,301578,辰奕智能,52.42,-4.01,-2.19,17998.0,95226678.64,4.21,54.5,52.2,54.5,54.61,10.1,74.92,3.55
39,40,603005,晶方科技,30.73,-4.06,-1.3,249629.0,777892755.0,4.25,32.02,30.66,31.88,32.03,3.83,81.48,4.74
40,41,300322,硕贝德,13.92,-4.07,-0.59,228315.0,321571178.65,4.48,14.49,13.84,14.4,14.51,5.13,1333.52,6.26
41,42,002253,川大智胜,12.69,-4.15,-0.55,151367.0,194067202.25,3.63,13.13,12.65,13.11,13.24,7.29,-79.43,2.43
42,43,301248,杰创智能,20.83,-4.36,-0.95,80342.0,169042637.61,5.19,21.78,20.65,21.65,21.78,7.88,-41.08,2.15
43,44,002065,东华软件,11.21,-4.51,-0.53,1602839.0,1825837556.72,4.34,11.7,11.19,11.63,11.74,5.51,55.01,3.04
