,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600941,中国移动,106.65,1.57,1.65,354595,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
1,2,600986,浙文互联,10.29,0.59,0.06,2324738,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
2,3,601588,北辰实业,1.77,0.57,0.01,272702,48271820.0,2.27,1.79,1.75,1.77,1.76,1.03,-4.82,0.51
3,4,300144,宋城演艺,9.3,0.11,0.01,348831,323652917.4,2.15,9.38,9.18,9.21,9.29,1.48,18.15,3.02
4,5,002027,分众传媒,6.93,0.0,0.0,842917,586358073.13,1.88,7.04,6.91,6.91,6.93,0.58,18.92,6.34
5,6,000558,天府文旅,3.42,-0.29,-0.01,561563,192436543.39,3.5,3.49,3.37,3.4,3.43,4.36,-373.99,4.08
6,7,300052,ST中青宝,11.61,-0.34,-0.04,333228,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
7,8,600060,海信视像,22.93,-0.82,-0.19,111789,256090214.0,3.46,23.43,22.63,23.06,23.12,0.86,17.13,1.59
8,9,600637,东方明珠,7.82,-1.14,-0.09,283398,222880912.0,1.77,7.94,7.8,7.89,7.91,0.84,27.43,0.88
9,10,300770,新媒股份,39.17,-1.34,-0.53,21201,83424289.28,1.84,39.75,39.02,39.6,39.7,0.93,13.64,2.49
10,11,000058,深 赛 格,8.55,-1.38,-0.12,139275,119069775.0,2.31,8.67,8.47,8.64,8.67,1.41,207.08,5.24
11,12,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
12,13,300710,万隆光电,18.72,-1.63,-0.31,30411,56975385.8,3.15,19.1,18.5,19.07,19.03,3.41,105.26,2.77
13,14,002558,巨人网络,14.91,-1.78,-0.27,247304,373393280.2,3.89,15.46,14.87,15.13,15.18,1.28,20.2,2.37
14,15,300043,星辉娱乐,4.03,-1.95,-0.08,632196,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
15,16,300494,盛天网络,12.64,-2.02,-0.26,137422,175031027.96,2.87,12.95,12.58,12.88,12.9,3.45,1901.32,3.64
16,17,600880,博瑞传播,4.84,-2.02,-0.1,345300,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
17,18,000727,冠捷科技,2.89,-2.03,-0.06,1146893,334086429.06,2.71,2.96,2.88,2.95,2.95,2.53,122.77,4.58
18,19,603258,电魂网络,23.41,-2.05,-0.49,44847,105803683.0,2.76,24.01,23.35,23.73,23.9,1.86,57.45,2.57
19,20,002174,游族网络,9.74,-2.11,-0.21,197566,194680683.69,3.82,10.09,9.71,10.08,9.95,2.16,1292.16,2.01
20,21,301011,华立科技,27.26,-2.22,-0.62,28666,79199555.4,3.12,28.11,27.24,27.76,27.88,1.99,43.09,5.47
21,22,300315,掌趣科技,5.62,-2.6,-0.15,985716,558441435.72,3.12,5.77,5.59,5.75,5.77,3.82,58.51,3.13
22,23,300027,华谊兄弟,2.59,-2.63,-0.07,804974,210429350.19,3.76,2.67,2.57,2.65,2.66,3.24,-126.88,11.53
23,24,002517,恺英网络,16.1,-2.78,-0.46,412205,668812305.98,4.05,16.65,15.98,16.38,16.56,2.18,20.15,5.68
24,25,600633,浙数文化,14.14,-2.82,-0.41,485955,698095785.0,4.05,14.73,14.14,14.4,14.55,3.83,28.33,1.79
25,26,002624,完美世界,10.99,-2.92,-0.33,272719,302866325.4,4.06,11.4,10.94,11.26,11.32,1.49,-41.13,2.79
26,27,002351,漫步者,15.27,-3.54,-0.56,200725,308974357.6,2.97,15.65,15.18,15.58,15.83,3.85,30.1,5.15
27,28,002354,天娱数科,6.65,-3.62,-0.25,1005288,674790495.17,3.77,6.88,6.62,6.86,6.9,6.21,-961.61,7.89
28,29,300113,顺网科技,20.5,-3.85,-0.82,357720,739937315.1,3.8,21.23,20.42,21.03,21.32,6.82,49.98,6.57
29,30,002024,ST易购,2.24,-3.86,-0.09,814814,185137681.91,4.29,2.33,2.23,2.33,2.33,0.89,25.98,1.72
30,31,002602,ST华通,6.69,-4.84,-0.34,1620257,1099143866.07,4.98,7.03,6.68,6.98,7.03,2.36,20.74,1.92
31,32,600358,ST联合,3.58,-5.04,-0.19,567147,203299943.0,2.65,3.68,3.58,3.58,3.77,11.23,-49.13,14.85
32,33,301503,智迪科技,42.73,-5.25,-2.37,19723,86095757.0,5.1,45.02,42.72,44.9,45.1,6.07,37.74,3.36
33,34,837212,智新电子,17.49,-5.92,-1.1,36446,64359229.31,6.4,18.35,17.16,18.33,18.59,7.1,74.21,4.45
34,35,002577,雷柏科技,23.43,-7.54,-1.91,137075,327532845.91,5.49,24.82,23.43,24.62,25.34,4.85,145.44,5.61
35,36,872190,雷神科技,34.97,-10.61,-4.15,76413,275446396.52,9.51,38.31,34.59,37.95,39.12,7.74,121.01,4.09
