,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300067,安诺其,7.41,15.6,1.0,4137554,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
1,2,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
2,3,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
3,4,002952,亚世光电,21.53,-1.91,-0.42,32974,71461446.0,2.69,22.04,21.45,21.72,21.95,2.5,156.81,4.08
4,5,000727,冠捷科技,2.89,-2.03,-0.06,1146893,334086429.06,2.71,2.96,2.88,2.95,2.95,2.53,122.77,4.58
5,6,300939,秋田微,31.99,-2.08,-0.68,24346,78408528.34,2.48,32.62,31.81,32.54,32.67,2.03,39.38,2.84
6,7,000050,深天马Ａ,8.55,-2.17,-0.19,171858,147957196.46,2.4,8.72,8.51,8.71,8.74,0.7,-31.43,0.77
7,8,300923,研奥股份,22.11,-2.43,-0.55,13894,30834104.0,3.35,22.66,21.9,22.66,22.66,1.82,69.31,1.53
8,9,000100,TCL科技,4.56,-2.56,-0.12,3338848,1539398798.95,2.78,4.69,4.56,4.67,4.68,1.84,42.11,1.62
9,10,002362,汉王科技,23.38,-2.79,-0.67,69525,163829518.98,2.79,23.97,23.3,23.96,24.05,3.35,-57.14,4.84
10,11,300088,长信科技,6.46,-2.86,-0.19,748887,487604117.37,3.31,6.63,6.41,6.6,6.65,3.01,41.31,1.88
11,12,688496,清越科技,8.75,-3.1,-0.28,33606,29800728.0,3.77,9.04,8.7,9.02,9.03,1.41,-57.09,3.81
12,13,300400,劲拓股份,17.45,-3.11,-0.56,65752,115933156.0,3.22,17.98,17.4,17.83,18.01,2.74,52.63,5.45
13,14,002106,莱宝高科,11.91,-3.48,-0.43,286476,345046802.5,3.81,12.32,11.85,12.24,12.34,4.07,20.4,1.57
