,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
1,2,300050,世纪鼎利,6.14,1.99,0.12,459234,274105343.0,5.81,6.15,5.8,6.03,6.02,8.43,-44.96,8.48
2,3,002512,达华智能,5.71,1.42,0.08,1408026,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
3,4,300120,经纬辉开,9.68,-1.12,-0.11,301974,290080673.34,5.11,9.87,9.37,9.71,9.79,5.69,63.48,1.84
4,5,002161,远 望 谷,6.16,-1.6,-0.1,242114,150529812.03,4.15,6.38,6.12,6.2,6.26,3.39,53.97,2.92
5,6,000701,厦门信达,5.23,-2.43,-0.13,246253,129506997.6,2.8,5.35,5.2,5.35,5.36,3.69,-18.96,14.52
6,7,300546,雄帝科技,19.12,-2.6,-0.51,62422,120449530.8,3.16,19.63,19.01,19.45,19.63,4.69,247.68,3.3
7,8,002373,千方科技,9.76,-2.69,-0.27,238657,235656404.0,3.09,10.05,9.74,10.0,10.03,1.73,734.02,1.23
8,9,002316,ST亚联,3.61,-2.7,-0.1,94511,34353613.0,3.5,3.71,3.58,3.71,3.71,3.0,98.45,19.91
9,10,002236,大华股份,17.85,-2.88,-0.53,1062577,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
10,11,002869,金溢科技,27.2,-3.24,-0.91,45752,125764968.23,4.06,28.15,27.01,27.96,28.11,2.87,117.82,2.27
11,12,300212,易华录,25.45,-3.38,-0.89,172658,445232351.16,3.49,26.32,25.4,26.23,26.34,2.47,-22.42,6.14
12,13,300448,浩云科技,7.36,-3.41,-0.26,293131,218589557.31,5.91,7.75,7.3,7.6,7.62,5.96,439.96,3.78
13,14,603660,苏州科达,7.61,-3.55,-0.28,231907,178731038.0,3.3,7.87,7.61,7.87,7.89,4.36,-8.6,4.79
14,15,300098,高新兴,5.58,-3.63,-0.21,608813,343279291.07,3.63,5.78,5.57,5.73,5.79,3.95,-158.12,3.43
15,16,603636,南威软件,13.76,-3.64,-0.52,199585,278095673.0,3.36,14.21,13.73,14.15,14.28,3.44,-37.06,3.18
16,17,300552,万集科技,31.12,-3.65,-1.18,59233,185960846.68,4.15,32.19,30.85,32.07,32.3,4.44,-20.96,3.2
17,18,300603,立昂技术,13.32,-6.85,-0.98,445442,605867152.05,4.83,14.01,13.32,13.95,14.3,12.02,840.31,4.29
