,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688068,热景生物,91.33,4.12,3.61,32660,296952985.0,11.97,96.0,85.5,86.57,87.72,3.53,-47.12,2.74
1,2,300887,谱尼测试,9.05,2.61,0.23,403480,367278670.56,8.5,9.42,8.67,8.71,8.82,11.14,-15.82,1.55
2,3,000955,欣龙控股,4.62,1.99,0.09,381788,178090364.17,8.17,4.9,4.53,4.55,4.53,7.1,-134.54,3.82
3,4,603811,诚意药业,8.77,1.98,0.17,216559,192843447.0,7.33,9.2,8.57,8.62,8.6,6.62,18.39,2.31
4,5,300039,上海凯宝,6.4,1.75,0.11,825320,539924585.39,6.36,6.8,6.4,6.59,6.29,9.0,23.13,1.74
5,6,605199,葫芦娃,16.99,1.55,0.26,296414,515707486.0,8.73,18.3,16.84,17.51,16.73,7.41,60.78,5.89
6,7,600557,康缘药业,14.71,1.24,0.18,194610,288249533.0,3.79,15.15,14.6,15.0,14.53,3.44,17.59,1.63
7,8,000518,四环生物,2.33,0.87,0.02,225903,52304113.66,2.6,2.35,2.29,2.31,2.31,2.19,-123.08,5.14
8,9,600201,生物股份,7.57,0.8,0.06,360011,274685876.0,3.2,7.74,7.5,7.52,7.51,3.21,37.52,1.56
9,10,002317,众生药业,11.32,0.8,0.09,289249,329322069.15,2.23,11.53,11.28,11.45,11.23,3.8,48.59,2.2
10,11,600568,ST中珠,1.32,0.76,0.01,116331,15247602.0,1.53,1.32,1.3,1.3,1.31,0.7,-21.35,1.16
11,12,002603,以岭药业,14.7,0.68,0.1,342829,505093979.27,2.67,14.98,14.59,14.92,14.6,2.49,33.2,2.13
12,13,600129,太极集团,22.05,0.64,0.14,228916,508262081.0,3.93,22.69,21.83,22.5,21.91,4.11,16.9,3.07
13,14,600873,梅花生物,10.3,0.49,0.05,257058,262903523.0,2.54,10.38,10.12,10.2,10.25,0.9,10.72,2.02
14,15,002076,星光股份,4.09,0.49,0.02,1007707,408812980.17,3.93,4.13,3.97,4.04,4.07,9.75,-1660.4,14.04
15,16,688799,华纳药厂,40.25,0.42,0.17,13784,55585542.0,1.85,40.75,40.01,40.48,40.08,1.47,21.9,2.08
16,17,000078,海王生物,2.45,0.41,0.01,335805,82853286.86,3.28,2.51,2.43,2.45,2.44,1.28,104.61,2.12
17,18,000650,仁和药业,5.61,0.36,0.02,386339,218680481.57,2.68,5.75,5.6,5.69,5.59,2.9,14.17,1.29
18,19,300026,红日药业,3.63,0.28,0.01,1175914,435582069.43,5.25,3.81,3.62,3.74,3.62,4.38,213.61,1.26
19,20,688566,吉贝尔,22.95,0.26,0.06,11275,25791840.0,1.57,23.09,22.73,22.86,22.89,0.57,20.91,2.04
20,21,300832,新产业,60.05,0.2,0.12,24599,147007863.6,2.15,60.43,59.14,59.9,59.93,0.36,25.58,5.81
21,22,600671,ST目药,10.8,0.19,0.02,11945,12944289.0,3.9,11.02,10.6,11.02,10.78,0.98,-266.92,39.33
22,23,002566,益盛药业,7.18,0.14,0.01,78064,56647093.56,4.46,7.47,7.15,7.35,7.17,3.37,49.69,1.07
23,24,002728,特一药业,8.28,0.12,0.01,242312,203768363.07,3.99,8.6,8.27,8.5,8.27,6.47,527.8,2.43
24,25,300233,金城医药,18.48,0.11,0.02,521864,964936310.25,6.66,19.11,17.88,18.6,18.46,14.11,35.22,1.95
25,26,300158,振东制药,4.22,0.0,0.0,571531,246930162.06,7.11,4.52,4.22,4.32,4.22,5.71,79.3,0.83
26,27,601718,际华集团,2.75,0.0,0.0,590906,163927721.0,2.55,2.81,2.74,2.74,2.75,1.35,-204.99,0.71
27,28,603858,步长制药,15.23,-0.07,-0.01,85309,130694628.0,2.49,15.53,15.15,15.41,15.24,0.77,40.38,1.51
28,29,600535,天士力,15.11,-0.07,-0.01,146297,221964909.0,3.17,15.45,14.97,15.36,15.12,0.98,23.62,1.95
29,30,000999,华润三九,41.9,-0.07,-0.03,140634,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
30,31,002166,莱茵生物,7.73,-0.13,-0.01,127258,98763191.22,2.97,7.9,7.67,7.81,7.74,2.84,42.31,1.89
31,32,600332,白云山,26.6,-0.23,-0.06,103855,277920979.0,1.46,26.95,26.56,26.8,26.66,0.74,15.25,1.2
32,33,000790,华神科技,3.89,-0.26,-0.01,329410,129811880.24,7.44,4.14,3.85,4.0,3.9,5.29,317.14,2.33
33,34,600566,济川药业,28.17,-0.35,-0.1,69269,196926445.0,3.29,28.96,28.03,28.89,28.27,0.76,10.23,1.85
34,35,002550,千红制药,5.7,-0.35,-0.02,164668,94258676.23,2.1,5.78,5.66,5.73,5.72,1.81,17.67,2.95
35,36,000661,长春高新,101.27,-0.37,-0.38,48013,485360528.79,2.49,102.49,99.96,101.4,101.65,1.2,11.11,1.8
36,37,000950,重药控股,5.13,-0.39,-0.02,198299,102121700.0,1.94,5.2,5.1,5.16,5.15,1.15,22.75,0.78
37,38,002100,天康生物,6.25,-0.48,-0.03,215347,134870690.0,1.75,6.32,6.21,6.27,6.28,1.58,11.31,1.23
38,39,300147,香雪制药,10.02,-0.5,-0.05,448045,462211045.9,6.55,10.66,10.0,10.45,10.07,6.81,-22.82,3.88
39,40,002252,上海莱士,6.91,-0.58,-0.04,301405,208750501.0,1.29,6.98,6.89,6.95,6.95,0.45,18.72,1.47
40,41,603367,辰欣药业,13.7,-0.65,-0.09,26091,35922197.0,1.89,13.91,13.65,13.8,13.79,0.58,11.69,1.06
41,42,603392,万泰生物,66.43,-0.67,-0.45,22854,152118833.0,1.58,67.16,66.1,66.87,66.88,0.18,236.38,6.76
42,43,600062,华润双鹤,18.85,-0.68,-0.13,168490,318051038.0,1.58,19.06,18.76,19.0,18.98,1.64,12.03,1.88
43,44,002038,双鹭药业,6.89,-0.72,-0.05,109191,75651049.65,2.02,7.0,6.86,6.95,6.94,1.28,-317.22,1.26
44,45,601607,上海医药,19.09,-0.73,-0.14,110632,212518597.0,1.56,19.37,19.07,19.31,19.23,0.57,13.1,1.0
45,46,002004,华邦健康,3.95,-0.75,-0.03,191147,75842680.75,1.76,4.0,3.93,3.98,3.98,1.02,12.98,0.77
46,47,300086,康芝药业,5.2,-0.76,-0.04,286553,150619679.92,4.58,5.4,5.16,5.34,5.24,6.5,-14.46,1.87
47,48,000739,普洛药业,15.07,-0.79,-0.12,106643,161477243.52,1.18,15.24,15.06,15.18,15.19,0.91,17.09,2.61
48,49,000788,北大医药,5.95,-0.83,-0.05,131067,78542630.55,2.5,6.06,5.91,6.03,6.0,2.2,20.4,2.35
49,50,600161,天坛生物,19.94,-0.85,-0.17,102570,205546452.0,1.64,20.21,19.88,20.13,20.11,0.52,25.48,3.54
50,51,832982,锦波生物,264.8,-0.86,-2.3,6857,181205687.08,4.53,271.11,259.0,265.48,267.1,1.49,23.97,15.24
51,52,600513,联环药业,9.87,-0.9,-0.09,68950,68381731.0,2.61,10.08,9.82,9.93,9.96,2.42,22.8,2.01
52,53,300497,富祥药业,8.07,-0.98,-0.08,45239,36585331.66,2.7,8.24,8.02,8.17,8.15,1.0,-53.63,1.86
53,54,002007,华兰生物,15.94,-0.99,-0.16,78392,125649358.75,1.68,16.18,15.91,16.1,16.1,0.5,23.67,2.49
54,55,600267,海正药业,8.56,-1.04,-0.09,116022,100025007.0,2.2,8.71,8.52,8.68,8.65,0.97,14.94,1.24
55,56,600195,中牧股份,6.49,-1.07,-0.07,98680,64539581.0,1.83,6.6,6.48,6.55,6.56,0.97,60.76,1.21
56,57,605369,拱东医疗,28.5,-1.08,-0.31,8872,25407339.0,2.01,28.97,28.39,28.79,28.81,0.56,23.82,2.7
57,58,002900,哈三联,9.97,-1.09,-0.11,25089,25144386.5,3.37,10.19,9.85,10.09,10.08,1.45,58.29,1.47
58,59,300194,福安药业,4.4,-1.12,-0.05,280436,124636762.91,2.7,4.51,4.39,4.46,4.45,2.9,13.02,1.19
59,60,000404,长虹华意,7.81,-1.14,-0.09,193850,152443991.46,2.03,7.95,7.79,7.87,7.9,2.8,10.84,1.36
60,61,000638,万方发展,5.19,-1.14,-0.06,75551,39331493.0,2.29,5.27,5.15,5.27,5.25,2.44,91.17,9.17
61,62,688163,赛伦生物,17.74,-1.33,-0.24,8125,14482625.0,2.78,18.15,17.65,18.15,17.98,1.83,42.29,1.75
62,63,002382,蓝帆医疗,5.14,-1.34,-0.07,87323,45196888.38,1.73,5.22,5.13,5.2,5.21,0.87,-17.66,0.6
63,64,605177,东亚药业,19.77,-1.35,-0.27,17948,35455914.0,2.5,20.04,19.54,20.04,20.04,1.59,37.67,1.19
64,65,600200,江苏吴中,5.82,-1.36,-0.08,374749,218673563.0,2.03,5.92,5.8,5.89,5.9,5.27,68.96,2.31
65,66,300142,沃森生物,11.52,-1.37,-0.16,232417,269881549.26,2.74,11.79,11.47,11.64,11.68,1.49,53.9,1.92
66,67,603309,维力医疗,12.21,-1.37,-0.17,31500,38647823.0,2.34,12.45,12.16,12.4,12.38,1.08,16.09,1.95
67,68,300601,康泰生物,15.75,-1.38,-0.22,138631,221166348.15,3.82,16.28,15.67,15.97,15.97,1.57,37.58,1.91
68,69,603566,普莱柯,12.08,-1.39,-0.17,36159,43872120.0,1.96,12.27,12.03,12.27,12.25,1.04,29.5,1.58
69,70,002022,科华生物,5.98,-1.48,-0.09,66631,40116131.52,2.47,6.11,5.96,6.06,6.07,1.3,-18.89,0.79
70,71,300485,赛升药业,7.32,-1.48,-0.11,41464,30685655.2,2.83,7.52,7.31,7.44,7.43,1.51,-26.93,1.06
71,72,300482,万孚生物,23.48,-1.51,-0.36,49178,116105717.33,1.89,23.9,23.45,23.84,23.84,1.14,19.45,2.11
72,73,300003,乐普医疗,11.64,-1.52,-0.18,184939,216516326.42,2.12,11.85,11.6,11.78,11.82,1.14,20.45,1.4
73,74,300165,ST天瑞,3.18,-1.55,-0.05,108305,34500769.4,2.48,3.23,3.15,3.21,3.23,2.58,-172.74,1.14
74,75,301089,拓新药业,28.2,-1.57,-0.45,21738,61747655.6,2.93,28.93,28.09,28.75,28.65,2.39,-1008.53,2.27
75,76,300122,智飞生物,24.74,-1.63,-0.41,181382,451393984.15,2.35,25.25,24.66,25.1,25.15,1.28,20.65,1.88
76,77,300639,凯普生物,5.99,-1.64,-0.1,72956,43896327.54,2.3,6.11,5.97,6.06,6.09,1.15,-11.09,0.86
77,78,300119,瑞普生物,17.32,-1.65,-0.29,42626,73725102.34,3.52,17.67,17.05,17.6,17.61,1.27,24.73,1.77
78,79,002932,明德生物,19.02,-1.65,-0.32,19022,36379252.97,2.22,19.39,18.96,19.24,19.34,1.22,40.98,0.75
79,80,688687,凯因科技,23.65,-1.66,-0.4,32852,77826441.0,3.33,24.2,23.4,23.82,24.05,1.92,28.11,2.19
80,81,300439,美康生物,11.12,-1.68,-0.19,43742,49001737.0,3.09,11.42,11.07,11.26,11.31,1.5,14.27,1.48
81,82,300009,安科生物,8.68,-1.7,-0.15,158417,138652849.65,2.72,8.89,8.65,8.82,8.83,1.3,18.46,3.85
