,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600467,好当家,2.79,9.84,0.25,3280715,896298165.0,11.42,2.79,2.5,2.53,2.54,22.46,103.54,1.2
1,2,002342,巨力索具,6.39,7.39,0.44,3637474,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
2,3,600771,广誉远,18.11,1.06,0.19,151094,275491926.0,4.63,18.75,17.92,18.49,17.92,3.09,93.69,5.66
3,4,600382,广东明珠,4.83,1.05,0.05,144826,70185419.0,2.93,4.93,4.79,4.79,4.78,2.09,112.05,1.16
4,5,600696,岩石股份,13.38,0.83,0.11,196011,264280425.0,5.8,13.86,13.09,13.09,13.27,5.86,-44.42,8.45
5,6,600257,大湖股份,5.05,0.8,0.04,409061,207828304.0,3.99,5.18,4.98,4.98,5.01,8.5,-85.08,2.84
6,7,600750,江中药业,22.35,0.77,0.17,124476,276784660.0,3.16,22.68,21.98,22.52,22.18,1.98,17.84,3.64
7,8,600381,ST春天,4.44,0.68,0.03,76803,33759251.0,3.4,4.46,4.31,4.42,4.41,1.31,-21.61,2.28
8,9,000523,红棉股份,3.43,0.59,0.02,515820,177683842.04,2.64,3.49,3.4,3.4,3.41,2.87,76.66,4.28
9,10,603299,苏盐井神,11.08,0.45,0.05,75869,83873002.0,1.18,11.11,10.98,11.0,11.03,0.98,9.91,1.46
10,11,600252,中恒集团,2.45,0.41,0.01,789792,195427580.0,3.28,2.51,2.43,2.47,2.44,2.36,549.34,1.26
11,12,600153,建发股份,10.23,0.39,0.04,143672,146883720.0,1.67,10.32,10.15,10.19,10.19,0.5,10.99,0.55
12,13,600702,舍得酒业,58.71,0.27,0.16,121088,718254143.0,5.09,60.99,58.01,58.4,58.55,3.64,56.56,2.87
13,14,002186,全 聚 德,11.08,0.18,0.02,63106,69662676.91,1.99,11.16,10.94,10.99,11.06,2.06,36.2,3.89
14,15,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
15,16,603369,今世缘,52.15,-0.06,-0.03,46201,241062878.0,1.8,52.76,51.82,52.01,52.18,0.37,15.8,4.3
16,17,600395,盘江股份,4.93,-0.2,-0.01,159031,78667249.0,1.42,4.98,4.91,4.93,4.94,0.74,225.58,0.96
17,18,600332,白云山,26.6,-0.23,-0.06,103855,277920979.0,1.46,26.95,26.56,26.8,26.66,0.74,15.25,1.2
18,19,603198,迎驾贡酒,56.78,-0.28,-0.16,48274,275041430.0,2.49,57.79,56.37,56.94,56.94,0.6,16.98,4.9
19,20,000930,中粮科技,5.58,-0.36,-0.02,182100,102325941.56,2.5,5.69,5.55,5.6,5.6,0.98,810.3,0.99
20,21,002304,洋河股份,77.29,-0.44,-0.34,68804,532921153.45,1.57,78.31,77.09,77.63,77.63,0.46,10.18,2.33
21,22,603589,口子窖,36.6,-0.62,-0.23,56952,208953268.0,1.95,37.13,36.41,36.7,36.83,0.95,12.57,2.16
22,23,000799,酒鬼酒,49.52,-0.7,-0.35,86245,431169086.91,3.75,51.03,49.16,49.8,49.87,2.65,213.64,4.01
23,24,600365,ST通葡,2.79,-0.71,-0.02,46833,13207933.0,2.49,2.85,2.78,2.81,2.81,1.12,-28.29,3.92
24,25,600809,山西汾酒,217.0,-0.71,-1.56,52981,1146461754.0,2.6,219.99,214.3,218.0,218.56,0.43,17.49,8.58
25,26,603919,金徽酒,19.02,-0.73,-0.14,35637,67998749.0,2.45,19.37,18.9,19.1,19.16,0.7,24.86,2.9
26,27,600197,伊力特,15.6,-0.76,-0.12,47244,74033650.0,1.91,15.82,15.52,15.67,15.72,1.0,22.97,1.92
27,28,600199,金种子酒,11.51,-0.78,-0.09,82014,94762188.0,2.33,11.73,11.46,11.58,11.6,1.25,-57.05,3.13
28,29,600059,古越龙山,8.39,-0.83,-0.07,70275,59145992.0,1.65,8.49,8.35,8.43,8.46,0.77,42.59,1.31
29,30,600559,老白干酒,18.83,-0.89,-0.17,191122,362208665.0,2.58,19.24,18.75,19.0,19.0,2.11,23.23,3.4
30,31,601579,会稽山,10.28,-0.96,-0.1,43931,45427800.0,2.02,10.45,10.24,10.38,10.38,0.92,32.82,1.36
31,32,000858,五 粮 液,134.6,-1.02,-1.39,197130,2669031188.2,2.43,137.5,134.19,135.7,135.99,0.51,15.72,4.13
32,33,600655,豫园股份,5.71,-1.04,-0.06,103923,59628911.0,2.08,5.8,5.68,5.76,5.77,0.27,14.38,0.61
33,34,000596,古井贡酒,175.79,-1.15,-2.04,21201,374805623.5,2.74,179.88,175.0,177.5,177.83,0.52,14.68,3.98
34,35,600779,水井坊,50.49,-1.23,-0.63,69067,351516350.0,3.79,51.94,50.0,51.04,51.12,1.42,16.41,4.95
35,36,002646,天佑德酒,9.48,-1.35,-0.13,68161,65300407.85,2.19,9.68,9.47,9.67,9.61,1.43,59.65,1.61
36,37,000995,皇台酒业,13.36,-1.47,-0.2,62801,84801369.43,3.24,13.76,13.32,13.5,13.56,3.54,78.57,16.31
37,38,600606,绿地控股,1.83,-1.61,-0.03,652820,120594251.0,2.15,1.87,1.83,1.86,1.86,0.46,81.52,0.32
38,39,600189,泉阳泉,7.01,-1.68,-0.12,117797,82860171.0,2.38,7.15,6.98,7.12,7.13,1.65,175.56,4.13
39,40,000860,顺鑫农业,17.08,-1.73,-0.3,140867,242728609.66,2.82,17.53,17.04,17.36,17.38,1.9,24.87,1.77
40,41,002419,天虹股份,5.04,-1.75,-0.09,146990,74611394.97,2.34,5.14,5.02,5.13,5.13,1.26,76.79,1.44
41,42,002374,中锐股份,2.74,-1.79,-0.05,133076,36749837.26,2.87,2.81,2.73,2.77,2.79,1.23,-26.98,2.68
42,43,000501,武商集团,8.46,-1.86,-0.16,118187,100760223.94,2.44,8.63,8.42,8.58,8.62,1.54,39.31,0.59
43,44,600519,贵州茅台,1573.75,-1.89,-30.25,33614,5324973190.0,2.7,1612.2,1568.83,1599.0,1604.0,0.27,24.38,9.52
44,45,603777,来伊份,14.26,-3.06,-0.45,115104,165327715.0,3.2,14.67,14.2,14.6,14.71,3.42,-84.45,2.7
45,46,000568,泸州老窖,130.68,-3.31,-4.48,146836,1957010656.34,5.0,137.44,130.68,134.43,135.16,1.0,12.44,4.43
46,47,002183,怡 亚 通,4.95,-3.51,-0.18,970406,487692961.84,4.09,5.14,4.93,5.11,5.13,3.74,157.36,1.43
47,48,834021,流金科技,6.88,-3.51,-0.25,165718,115305662.31,5.75,7.19,6.78,7.05,7.13,6.58,-70.76,3.33
48,49,600238,海南椰岛,6.51,-3.56,-0.24,216604,143841685.0,5.48,6.85,6.48,6.75,6.75,4.87,-216.47,12.44
