,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301261,恒工精密,120.75,6.61,7.49,57927.0,673541358.29,11.48,122.0,109.0,110.01,113.26,15.29,146.28,6.99
1,2,688502,茂莱光学,266.01,3.1,7.99,9482.0,250040438.0,5.53,269.8,255.52,258.02,258.02,5.64,332.88,11.92
2,3,300779,惠城环保,150.0,2.74,4.0,38114.0,567294752.7,3.32,150.0,145.15,145.15,146.0,2.43,507.73,22.31
3,4,688032,禾迈股份,121.15,2.63,3.1,30126.0,363619512.0,4.53,122.86,117.51,117.55,118.05,2.43,43.34,2.36
4,5,688120,华海清科,163.86,1.86,2.99,42857.0,700330864.0,2.93,165.23,160.51,160.85,160.87,2.52,38.01,6.0
5,6,600941,中国移动,106.65,1.57,1.65,354595.0,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
6,7,301592,六九一二,148.35,1.3,1.91,16618.0,249851578.0,5.46,153.56,145.56,145.56,146.44,9.5,663.09,11.96
7,8,688019,安集科技,153.8,1.14,1.73,20985.0,320351376.0,2.24,154.5,151.09,151.09,152.07,1.62,36.92,7.39
8,9,688787,海天瑞声,111.4,1.09,1.2,46774.0,528852875.0,7.69,117.88,109.41,111.3,110.2,7.75,599.22,9.04
9,10,300870,欧陆通,148.3,0.77,1.13,31075.0,461576205.73,3.74,151.5,146.0,146.0,147.17,2.94,75.01,7.26
10,11,600436,片仔癀,206.02,0.69,1.41,38587.0,801214379.0,2.93,211.0,205.01,206.51,204.61,0.64,41.79,8.7
11,12,600563,法拉电子,124.0,0.65,0.8,31326.0,388256018.0,2.35,125.5,122.61,124.0,123.2,1.39,26.85,5.28
12,13,688169,石头科技,250.0,0.09,0.22,40099.0,1025831309.0,6.11,264.77,249.5,256.0,249.78,2.17,23.31,3.59
13,14,688188,柏楚电子,185.11,0.06,0.11,11693.0,216607058.0,1.22,186.28,184.03,184.04,185.0,0.57,43.19,6.99
14,15,688271,联影医疗,127.51,-0.27,-0.34,25068.0,319476366.0,2.17,128.77,126.0,127.61,127.85,0.42,83.28,5.28
15,16,688498,源杰科技,126.8,-0.31,-0.4,12151.0,154097540.0,1.58,128.01,126.0,127.91,127.2,2.02,-1776.71,5.21
