,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
1,2,600228,返利科技,6.15,6.22,0.36,722446,434569783.0,11.05,6.27,5.63,5.78,5.79,17.34,-588.96,5.04
2,3,300807,天迈科技,41.15,5.51,2.15,83334,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
3,4,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
4,5,300177,中海达,12.8,3.23,0.4,1456461,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
5,6,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
6,7,002591,恒大高新,5.71,2.88,0.16,378126,214360395.0,10.99,6.0,5.39,5.51,5.55,16.92,90.45,2.5
7,8,301316,慧博云通,29.33,2.2,0.63,316593,933062097.28,6.72,30.19,28.26,28.66,28.7,13.04,232.77,10.9
8,9,300844,山水比德,36.2,2.12,0.75,20487,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
9,10,300249,依米康,18.48,1.65,0.3,373617,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
10,11,600733,北汽蓝谷,8.54,1.3,0.11,2376444,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
11,12,688787,海天瑞声,111.4,1.09,1.2,46774,528852875.0,7.69,117.88,109.41,111.3,110.2,7.75,599.22,9.04
12,13,600129,太极集团,22.05,0.64,0.14,228916,508262081.0,3.93,22.69,21.83,22.5,21.91,4.11,16.9,3.07
13,14,600986,浙文互联,10.29,0.59,0.06,2324738,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
14,15,300338,*ST开元,3.81,0.53,0.02,65922,25162653.0,3.17,3.88,3.76,3.77,3.79,1.91,-31.86,-10.35
15,16,002375,亚厦股份,4.03,0.25,0.01,123842,50025978.0,1.99,4.08,4.0,4.02,4.02,0.93,16.01,0.68
16,17,601139,深圳燃气,6.7,0.0,0.0,132103,88691359.0,1.34,6.75,6.66,6.69,6.7,0.46,13.23,1.24
17,18,000889,ST中嘉,2.64,0.0,0.0,240465,63778086.17,2.65,2.69,2.62,2.63,2.64,2.76,-80.26,21.94
18,19,000521,长虹美菱,8.18,-0.37,-0.03,205205,168572940.6,2.19,8.32,8.14,8.18,8.21,2.34,11.91,1.39
19,20,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
20,21,301551,无线传媒,53.2,-0.41,-0.22,16013,84464917.84,3.0,53.65,52.05,53.6,53.42,4.51,84.44,8.77
21,22,600571,信雅达,14.39,-0.42,-0.06,374847,538499895.0,4.36,14.75,14.12,14.45,14.45,8.19,-878.76,5.99
22,23,300213,佳讯飞鸿,10.43,-0.48,-0.05,1288602,1375472492.87,5.73,10.96,10.36,10.8,10.48,23.38,126.37,2.79
23,24,300242,佳云科技,5.06,-0.59,-0.03,366524,188086204.5,5.11,5.27,5.01,5.14,5.09,5.82,-58.2,8.86
24,25,300788,中信出版,32.25,-0.74,-0.24,21875,71209472.0,3.08,33.1,32.1,32.61,32.49,1.15,51.68,2.83
25,26,688588,凌志软件,13.53,-1.1,-0.15,72118,98317030.0,3.0,13.87,13.46,13.58,13.68,1.8,42.64,4.28
26,27,603000,人民网,21.64,-1.23,-0.27,122184,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
27,28,300058,蓝色光标,9.89,-1.3,-0.13,1473525,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
28,29,301099,雅创电子,51.0,-1.35,-0.7,52562,270859415.31,3.83,52.53,50.55,51.43,51.7,7.71,41.76,4.12
29,30,000564,供销大集,2.86,-1.38,-0.04,2125357,608869036.09,2.76,2.91,2.83,2.9,2.9,1.44,-348.97,3.13
