,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300792,壹网壹创,26.06,-0.84,-0.22,57817,150446591.95,2.25,26.33,25.74,26.21,26.28,2.72,48.89,2.15
1,2,002376,新北洋,7.26,-1.22,-0.09,377824,274166168.7,3.4,7.42,7.17,7.36,7.35,4.8,113.04,1.58
2,3,300413,芒果超媒,26.54,-1.67,-0.45,64088,171146895.96,2.74,27.15,26.41,26.95,26.99,0.63,25.78,2.2
3,4,300640,德艺文创,5.79,-2.03,-0.12,94052,54796054.0,2.37,5.91,5.77,5.87,5.91,4.26,119.62,2.23
4,5,300220,金运激光,16.46,-2.14,-0.36,46063,76426738.0,2.2,16.83,16.46,16.7,16.82,3.05,1825.14,40.87
5,6,002878,元隆雅图,15.74,-2.18,-0.35,71796,113744517.56,2.42,16.09,15.7,15.92,16.09,3.07,138.99,2.67
6,7,300113,顺网科技,20.5,-3.85,-0.82,357720,739937315.1,3.8,21.23,20.42,21.03,21.32,6.82,49.98,6.57
7,8,002348,高乐股份,3.62,-4.23,-0.16,320969,117728549.0,3.97,3.76,3.61,3.76,3.78,3.61,-75.1,7.16
8,9,603398,沐邦高科,16.07,-5.75,-0.98,192521,315566157.0,5.34,16.98,16.07,16.85,17.05,4.44,-17.76,3.76
9,10,002345,潮宏基,8.17,-6.2,-0.54,495259,411261097.33,6.43,8.68,8.12,8.6,8.71,5.71,17.23,1.94
10,11,002292,奥飞娱乐,9.9,-6.34,-0.67,1076823,1086292668.29,5.77,10.44,9.83,10.35,10.57,10.58,154.11,4.33
