,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
1,2,003009,中天火箭,40.56,0.95,0.38,24190,98127751.87,2.34,40.94,40.0,40.15,40.18,1.56,275.07,4.02
2,3,688598,金博股份,30.92,-0.45,-0.14,95120,290004744.0,5.09,31.5,29.92,30.88,31.06,4.66,-8.14,1.21
3,4,300831,派瑞股份,15.88,-0.5,-0.08,113031,181792088.0,4.01,16.38,15.74,15.91,15.96,6.13,72.54,5.59
4,5,603969,银龙股份,6.35,-0.78,-0.05,179124,114044297.0,2.03,6.43,6.3,6.39,6.4,2.13,24.14,2.3
5,6,600516,方大炭素,5.03,-0.79,-0.04,218286,110446989.0,1.78,5.11,5.02,5.07,5.07,0.54,59.19,1.19
6,7,002023,海特高新,10.47,-1.41,-0.15,129379,136518022.24,3.01,10.72,10.4,10.58,10.62,1.75,93.99,1.81
7,8,300890,翔丰华,31.36,-1.48,-0.47,38215,120800508.0,2.14,31.98,31.3,31.6,31.83,3.57,49.63,1.84
8,9,002631,德尔未来,4.57,-1.72,-0.08,191856,88086095.3,3.44,4.68,4.52,4.66,4.65,2.42,2171.18,1.54
9,10,002243,力合科创,8.85,-1.99,-0.18,155025,137849635.0,2.21,9.0,8.8,8.9,9.03,1.29,59.32,1.49
10,11,300283,温州宏丰,6.21,-2.05,-0.13,133469,83447548.25,2.52,6.35,6.19,6.3,6.34,4.34,-162.47,3.34
11,12,002617,露笑科技,8.27,-2.13,-0.18,670007,559782443.31,3.08,8.5,8.24,8.41,8.45,3.54,50.96,2.62
12,13,301349,信德新材,35.84,-2.66,-0.98,24764,88663370.95,6.22,37.09,34.8,36.16,36.82,5.88,-187.27,1.35
13,14,601011,宝泰隆,2.73,-2.85,-0.08,585838,160961430.0,2.85,2.8,2.72,2.78,2.81,3.06,-14.37,0.88
14,15,300035,中科电气,16.6,-3.15,-0.54,335923,564362302.38,3.68,17.18,16.55,17.03,17.14,5.76,46.49,2.5
15,16,002768,国恩股份,25.38,-3.31,-0.87,61923,159268457.98,4.57,26.45,25.25,26.25,26.25,3.5,11.27,1.44
16,17,002171,楚江新材,9.26,-3.44,-0.33,263762,246792179.03,5.21,9.66,9.16,9.57,9.59,1.76,60.77,1.86
17,18,002886,沃特股份,19.85,-8.19,-1.77,213366,435271229.38,7.68,21.51,19.85,21.37,21.62,10.25,156.3,2.96
