,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300095,华伍股份,7.98,5.7,0.43,621606,493652999.7,5.43,8.11,7.7,7.76,7.55,18.35,104.24,1.64
1,2,600105,永鼎股份,6.18,4.57,0.27,2003783,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
2,3,688187,时代电气,50.76,2.11,1.05,206694,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
3,4,300011,鼎汉技术,9.17,1.89,0.17,400742,365617266.4,4.67,9.29,8.87,8.96,9.0,7.99,244.44,3.85
4,5,600528,中铁工业,8.0,1.52,0.12,270846,217484138.0,3.05,8.11,7.87,7.88,7.88,1.22,10.11,0.75
5,6,688425,铁建重工,4.37,1.39,0.06,604774,265915480.0,4.18,4.47,4.29,4.29,4.31,4.09,15.46,1.33
6,7,600458,时代新材,14.04,0.21,0.03,132941,189696790.0,4.21,14.52,13.93,13.93,14.01,1.66,28.49,1.93
7,8,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
8,9,002028,思源电气,71.74,-0.22,-0.16,50402,363945699.91,2.53,73.32,71.5,71.81,71.9,0.83,26.69,4.48
9,10,001324,长青科技,19.34,-0.36,-0.07,35669,69038416.2,2.42,19.57,19.1,19.23,19.41,4.37,41.09,2.43
10,11,601390,中国中铁,5.83,-0.85,-0.05,944041,555990362.0,2.04,5.95,5.83,5.87,5.88,0.46,5.26,0.49
11,12,300960,通业科技,25.1,-0.95,-0.24,20545,51428969.0,2.37,25.4,24.8,25.16,25.34,2.21,61.32,4.3
12,13,601766,中国中车,7.31,-1.08,-0.08,1062430,784927731.0,2.98,7.52,7.3,7.37,7.39,0.44,21.72,1.28
13,14,001255,博菲电气,28.48,-1.39,-0.4,7015,20045049.0,2.32,28.98,28.31,28.98,28.88,3.51,137.77,3.14
14,15,002972,科安达,11.54,-1.45,-0.17,35100,40667899.8,2.31,11.74,11.47,11.69,11.71,2.64,30.94,2.37
15,16,300376,ST易事特,3.6,-1.64,-0.06,157476,56978144.0,2.19,3.66,3.58,3.64,3.66,0.68,30.51,1.2
16,17,002480,新筑股份,5.43,-1.81,-0.1,215072,118354153.68,5.42,5.7,5.4,5.68,5.53,2.8,-12.31,3.59
17,18,000922,佳电股份,12.11,-1.94,-0.24,210254,258048536.0,3.64,12.5,12.05,12.3,12.35,3.58,30.59,1.92
18,19,300407,凯发电气,11.36,-2.24,-0.26,70895,81088161.0,2.67,11.63,11.32,11.51,11.62,2.9,40.78,2.02
19,20,300490,华自科技,8.7,-2.36,-0.21,132362,115903314.9,3.03,8.92,8.65,8.86,8.91,3.37,-18.43,1.31
20,21,300923,研奥股份,22.11,-2.43,-0.55,13894,30834104.0,3.35,22.66,21.9,22.66,22.66,1.82,69.31,1.53
21,22,300594,朗进科技,17.5,-2.45,-0.44,20902,36866440.0,2.51,17.93,17.48,17.9,17.94,2.3,-27.86,1.85
22,23,002533,金杯电工,11.22,-2.69,-0.31,372860,421857871.23,4.16,11.6,11.12,11.42,11.53,5.85,14.47,2.12
23,24,300035,中科电气,16.6,-3.15,-0.54,335923,564362302.38,3.68,17.18,16.55,17.03,17.14,5.76,46.49,2.5
24,25,300748,金力永磁,19.88,-3.82,-0.79,250056,504332436.92,3.77,20.65,19.87,20.48,20.67,2.21,103.91,4.05
25,26,600839,四川长虹,11.13,-3.97,-0.46,2401479,2694651226.0,3.36,11.49,11.1,11.45,11.59,5.2,111.83,3.61
26,27,300224,正海磁材,13.39,-4.9,-0.69,300633,408742362.31,4.62,14.0,13.35,14.0,14.08,3.61,44.46,2.97
27,28,002361,神剑股份,6.8,-5.16,-0.37,834546,578865033.56,5.58,7.15,6.75,7.02,7.17,10.41,166.07,2.9
28,29,300789,唐源电气,24.62,-11.02,-3.05,143215,366013151.93,9.61,27.08,24.42,26.76,27.67,14.49,48.92,3.47
