,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601117,中国化学,7.51,0.67,0.05,764415,576481405.0,2.14,7.61,7.45,7.45,7.46,1.26,8.97,0.76
1,2,600039,四川路桥,8.21,0.61,0.05,279821,230602183.0,2.82,8.38,8.15,8.15,8.16,0.42,11.24,1.57
2,3,002895,川恒股份,22.88,0.31,0.07,45867,105027899.0,2.32,23.17,22.64,22.82,22.81,0.85,13.75,2.16
3,4,000830,鲁西化工,12.21,0.08,0.01,180202,220357221.63,1.64,12.34,12.14,12.16,12.2,0.95,11.11,1.28
4,5,002386,天原股份,4.61,-0.22,-0.01,143255,66047198.62,1.73,4.65,4.57,4.62,4.62,1.1,-46.33,0.77
5,6,002170,芭田股份,10.45,-0.29,-0.03,172681,180909601.53,2.67,10.65,10.37,10.41,10.48,2.43,36.89,3.35
6,7,600096,云天化,22.11,-0.41,-0.09,286980,636021500.0,2.61,22.49,21.91,22.18,22.2,1.56,6.88,1.89
7,8,603077,和邦生物,1.87,-0.53,-0.01,1019180,192220503.0,2.66,1.91,1.86,1.88,1.88,1.15,55.96,0.88
8,9,000902,新洋丰,12.59,-0.63,-0.08,59543,75191770.5,2.05,12.76,12.5,12.62,12.67,0.52,10.65,1.54
9,10,002538,司尔特,6.09,-0.81,-0.05,136006,83202363.0,2.28,6.2,6.06,6.14,6.14,1.59,15.94,0.98
10,11,688669,聚石化学,15.87,-0.81,-0.13,13647,21587824.0,3.56,16.14,15.57,16.14,16.0,1.12,-13.42,1.38
11,12,600389,江山股份,15.72,-0.82,-0.13,81257,128079872.0,2.52,16.0,15.6,15.82,15.85,1.89,29.6,1.84
12,13,600141,兴发集团,22.51,-0.84,-0.19,110667,249723073.0,2.42,22.9,22.35,22.61,22.7,1.0,14.17,1.18
13,14,002539,云图控股,7.88,-0.88,-0.07,87617,69444400.52,1.89,8.01,7.86,7.94,7.95,0.99,11.83,1.09
14,15,002145,中核钛白,4.46,-0.89,-0.04,425390,190968984.66,2.0,4.54,4.45,4.48,4.5,1.12,30.55,1.43
15,16,600727,鲁北化工,7.51,-0.92,-0.07,116151,87767956.0,2.51,7.66,7.47,7.57,7.58,2.2,15.21,1.25
16,17,002588,史丹利,7.3,-0.95,-0.07,145750,107254411.96,2.58,7.46,7.27,7.37,7.37,1.43,9.49,1.27
17,18,300437,清水源,8.29,-0.96,-0.08,66640,55741225.25,3.11,8.52,8.26,8.39,8.37,3.79,-28.6,1.41
18,19,300610,晨化股份,10.48,-1.04,-0.11,45472,47686654.8,2.46,10.64,10.38,10.63,10.59,2.82,27.69,1.95
19,20,002237,恒邦股份,11.03,-1.08,-0.12,171232,189817501.82,2.24,11.19,10.94,11.11,11.15,1.88,20.45,1.39
20,21,000713,丰乐种业,7.06,-1.12,-0.08,91850,65165790.42,1.4,7.15,7.05,7.13,7.14,1.5,62.07,2.16
21,22,600078,澄星股份,5.58,-1.24,-0.07,91097,50877002.0,2.48,5.67,5.53,5.63,5.65,1.37,-40.79,2.11
22,23,000422,湖北宜化,13.4,-1.25,-0.17,331898,451089802.59,3.91,13.91,13.38,13.57,13.57,3.14,14.35,1.96
23,24,600596,新安股份,8.65,-1.26,-0.11,98470,85631842.0,2.05,8.79,8.61,8.76,8.76,0.76,63.91,0.92
24,25,600691,阳煤化工,2.2,-1.35,-0.03,236570,52294828.0,3.14,2.25,2.18,2.22,2.23,1.0,-10.13,1.22
25,26,002136,安 纳 达,10.04,-1.38,-0.14,31207,31477811.0,2.06,10.21,10.0,10.17,10.18,1.46,191.79,1.84
26,27,002114,罗平锌电,6.97,-1.41,-0.1,163939,114473736.2,3.25,7.12,6.89,7.02,7.07,5.07,-24.01,2.35
27,28,002556,辉隆股份,5.42,-1.45,-0.08,118037,64260155.95,2.0,5.5,5.39,5.46,5.5,1.27,20.98,1.41
28,29,002470,金正大,1.85,-1.6,-0.03,652983,121580049.88,2.66,1.89,1.84,1.87,1.88,1.99,25.31,2.76
29,30,300477,合纵科技,3.01,-1.63,-0.05,310673,94471512.0,3.27,3.1,3.0,3.07,3.06,3.32,-13.4,1.96
30,31,600470,六国化工,6.04,-1.63,-0.1,325876,199639684.0,3.42,6.24,6.03,6.1,6.14,6.25,125.14,1.72
31,32,300801,泰和科技,16.52,-1.73,-0.29,20003,33271662.0,2.86,16.92,16.44,16.73,16.81,1.49,32.31,1.52
32,33,002409,雅克科技,59.66,-1.78,-1.08,58126,351349148.58,2.98,61.47,59.66,60.56,60.74,1.82,28.44,3.91
33,34,002312,川发龙蟒,12.5,-2.11,-0.27,377345,474717044.34,2.19,12.78,12.5,12.77,12.77,2.15,41.69,2.52
34,35,301118,恒光股份,18.7,-2.3,-0.44,17836,33643961.0,3.34,19.27,18.63,19.08,19.14,1.71,-28.67,1.54
35,36,002942,新农股份,15.55,-2.39,-0.38,16754,26273268.5,3.01,15.98,15.5,15.81,15.93,1.22,24.43,2.06
36,37,301358,湖南裕能,39.67,-2.51,-1.02,62433,250709913.54,4.28,41.3,39.56,40.69,40.69,1.63,50.61,2.59
37,38,603979,金诚信,45.6,-2.52,-1.18,92594,427349812.0,4.02,47.28,45.4,46.52,46.78,1.48,19.52,3.43
38,39,600331,宏达股份,7.09,-2.88,-0.21,374870,267818227.0,3.01,7.29,7.07,7.27,7.3,1.84,507.42,38.24
39,40,000833,粤桂股份,12.61,-3.3,-0.43,317045,402328620.76,3.3,12.97,12.54,12.95,13.04,6.99,33.75,2.89
40,41,603993,洛阳钼业,7.64,-3.41,-0.27,2130492,1645574656.0,4.42,7.93,7.58,7.87,7.91,1.21,12.14,2.35
41,42,830809,安达科技,6.05,-3.66,-0.23,123781,76377867.0,7.17,6.45,6.0,6.3,6.28,3.86,-4.01,2.02
42,43,002759,天际股份,8.3,-3.71,-0.32,143159,120877164.12,3.71,8.61,8.29,8.6,8.62,2.86,-16.56,0.96
43,44,300505,川金诺,15.74,-4.08,-0.67,119513,191245212.27,4.33,16.45,15.74,16.25,16.41,5.5,24.57,1.7
44,45,688633,星球石墨,27.25,-4.12,-1.17,14957,41335493.0,4.57,28.42,27.12,28.13,28.42,1.04,25.87,2.46
