,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000915,华特达因,29.58,5.34,1.5,219205,652470547.07,3.99,30.5,29.38,29.91,28.08,9.36,13.44,2.38
1,2,002791,坚朗五金,23.55,1.42,0.33,100883,234838870.48,3.79,23.66,22.78,23.03,23.22,5.27,190.18,1.46
2,3,300470,中密控股,39.75,0.89,0.35,115112,460583927.9,5.36,41.1,38.99,39.0,39.4,5.83,22.91,3.24
3,4,688349,三一重能,29.29,0.38,0.11,36338,107506716.0,4.42,30.17,28.88,29.15,29.18,1.93,19.35,2.61
4,5,002438,江苏神通,12.35,0.16,0.02,213398,265875334.9,2.92,12.64,12.28,12.35,12.33,4.55,20.63,1.83
5,6,601128,常熟银行,7.26,-0.14,-0.01,255027,184797482.0,1.24,7.3,7.21,7.23,7.27,0.85,5.52,0.81
6,7,002078,太阳纸业,14.48,-0.14,-0.02,124639,181995190.33,3.03,14.84,14.4,14.5,14.5,0.45,12.95,1.41
7,8,002831,裕同科技,25.5,-0.27,-0.07,20196,51596596.44,2.27,25.86,25.28,25.59,25.57,0.39,15.97,2.11
8,9,002043,兔 宝 宝,10.99,-0.36,-0.04,57848,63660305.85,1.72,11.13,10.94,10.96,11.03,0.79,15.54,2.99
9,10,002832,比音勒芬,18.67,-0.64,-0.12,55425,103684476.52,1.86,18.89,18.54,18.72,18.79,1.42,10.49,2.09
10,11,601677,明泰铝业,12.98,-1.14,-0.15,180236,235397787.0,2.36,13.22,12.91,13.07,13.13,1.51,8.58,0.94
11,12,600426,华鲁恒升,21.51,-1.15,-0.25,139348,301283117.0,3.08,22.03,21.36,21.71,21.76,0.66,11.23,1.48
12,13,600988,赤峰黄金,21.26,-1.21,-0.26,492337,1050919657.0,3.16,21.75,21.07,21.55,21.52,2.96,26.97,5.59
13,14,002884,凌霄泵业,17.8,-1.22,-0.22,38050,68155011.04,2.72,18.18,17.69,17.92,18.02,1.39,14.47,2.88
14,15,301087,可孚医疗,35.61,-1.28,-0.46,16134,57636589.57,2.55,36.23,35.31,36.18,36.07,1.78,22.17,1.57
15,16,688205,德科立,62.41,-1.55,-0.98,43973,274868359.0,3.77,63.97,61.58,63.2,63.39,6.48,75.21,3.37
16,17,300357,我武生物,21.33,-1.8,-0.39,44368,95392502.0,2.67,21.8,21.22,21.69,21.72,0.92,30.77,4.84
17,18,688087,英科再生,28.75,-1.81,-0.53,10806,31346451.0,2.46,29.45,28.73,29.17,29.28,0.58,17.93,2.13
18,19,000922,佳电股份,12.11,-1.94,-0.24,210254,258048536.0,3.64,12.5,12.05,12.3,12.35,3.58,30.59,1.92
19,20,002833,弘亚数控,18.95,-2.12,-0.41,83145,158364694.2,3.51,19.45,18.77,19.45,19.36,2.88,13.24,2.91
20,21,000680,山推股份,9.82,-2.29,-0.23,217700,216647127.08,3.28,10.15,9.82,10.02,10.05,1.66,16.39,2.46
21,22,300577,开润股份,22.21,-2.37,-0.54,29479,66004588.0,3.03,22.79,22.1,22.67,22.75,2.1,12.46,2.64
22,23,301328,维峰电子,45.02,-2.68,-1.24,26069,118091630.12,3.31,46.23,44.7,45.9,46.26,7.64,54.54,2.62
23,24,002301,齐心集团,7.6,-2.69,-0.21,112052,85999150.24,2.56,7.8,7.6,7.78,7.81,1.56,25.93,1.73
24,25,002768,国恩股份,25.38,-3.31,-0.87,61923,159268457.98,4.57,26.45,25.25,26.25,26.25,3.5,11.27,1.44
25,26,301459,丰茂股份,58.5,-3.34,-2.02,18683,109120836.13,4.31,60.36,57.75,59.98,60.52,9.34,29.86,4.06
26,27,688279,峰岹科技,246.48,-4.61,-11.92,20108,501182366.0,5.62,259.58,245.06,257.0,258.4,3.6,102.38,8.92
27,28,002126,银轮股份,28.52,-4.68,-1.4,398946,1146982315.2,5.45,29.89,28.26,29.89,29.92,5.09,29.55,3.92
