,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601211,国泰君安,17.62,0.06,0.01,1123144,1966302329.0,2.04,17.66,17.3,17.58,17.61,0.83,23.86,1.18
1,2,601555,东吴证券,7.98,-0.99,-0.08,374502,299555223.0,2.23,8.09,7.91,8.05,8.06,0.75,16.76,0.95
2,3,601878,浙商证券,11.52,-1.03,-0.12,597844,695685495.0,2.58,11.8,11.5,11.65,11.64,1.31,31.24,1.54
3,4,601108,财通证券,7.98,-1.24,-0.1,465150,373589318.0,1.73,8.11,7.97,8.06,8.08,1.0,18.88,1.05
4,5,600109,国金证券,8.57,-1.38,-0.12,281902,242837712.0,2.19,8.72,8.53,8.68,8.69,0.88,26.7,0.97
5,6,600999,招商证券,17.92,-1.54,-0.28,175843,317358693.0,2.14,18.28,17.89,18.2,18.2,0.24,15.03,1.2
6,7,000166,申万宏源,5.03,-1.57,-0.08,720326,364904939.77,2.15,5.13,5.02,5.1,5.11,0.32,24.54,1.23
7,8,002736,国信证券,10.42,-1.61,-0.17,157452,165271863.66,2.17,10.64,10.41,10.56,10.59,0.17,15.4,1.19
8,9,601377,兴业证券,5.96,-1.65,-0.1,474949,284999516.0,1.98,6.07,5.95,6.04,6.06,0.55,29.24,0.96
9,10,601688,华泰证券,17.61,-1.68,-0.3,564238,1001501787.0,2.07,17.95,17.58,17.85,17.91,0.77,9.52,0.99
10,11,601066,中信建投,24.08,-1.71,-0.42,123433,298909674.0,2.41,24.6,24.01,24.5,24.5,0.19,32.6,2.54
11,12,600958,东方证券,9.66,-2.03,-0.2,405395,395543740.0,2.33,9.89,9.66,9.82,9.86,0.54,24.49,1.01
12,13,600030,中信证券,27.09,-2.13,-0.59,977013,2668760589.0,2.38,27.71,27.05,27.6,27.68,0.8,18.5,1.37
13,14,601881,中国银河,17.18,-2.55,-0.45,1529644,2687201823.0,4.54,17.96,17.16,17.5,17.63,2.11,18.54,1.34
