,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688187,时代电气,50.76,2.11,1.05,206694,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
1,2,688297,中无人机,43.91,0.85,0.37,73683,322305839.0,2.48,44.28,43.2,43.47,43.54,2.71,-549.73,5.21
2,3,688599,天合光能,17.8,0.74,0.13,292183,520531517.0,2.38,18.0,17.58,17.6,17.67,1.34,-11.23,1.47
3,4,688223,晶科能源,6.94,0.29,0.02,499814,346055786.0,2.02,7.0,6.86,6.88,6.92,0.5,766.9,2.15
4,5,688676,金盘科技,42.78,0.23,0.1,105865,449009570.0,3.02,43.09,41.8,42.4,42.68,2.31,34.02,4.4
5,6,688122,西部超导,47.8,0.13,0.06,82155,395138886.0,2.97,48.63,47.21,47.65,47.74,1.26,38.35,4.68
6,7,688622,禾信仪器,91.29,-0.47,-0.43,17744,164394261.0,6.73,95.19,89.02,91.24,91.72,2.53,-131.46,16.86
7,8,688161,威高骨科,28.02,-0.74,-0.21,12938,36731886.0,3.08,28.79,27.92,28.27,28.23,0.32,50.53,2.84
8,9,688278,特宝生物,80.95,-0.81,-0.66,25698,208742753.0,2.03,82.31,80.65,81.92,81.61,0.63,39.79,12.9
9,10,688363,华熙生物,50.18,-1.03,-0.52,27292,137287733.0,2.09,50.86,49.8,50.4,50.7,0.57,147.1,3.55
10,11,688009,中国通号,5.61,-1.06,-0.06,365166,207122840.0,2.29,5.74,5.61,5.66,5.67,0.42,17.04,1.24
11,12,688012,中微公司,191.24,-1.27,-2.46,62439,1203966432.0,2.97,196.2,190.45,193.2,193.7,1.0,73.18,6.03
12,13,688065,凯赛生物,49.63,-1.29,-0.65,25922,129580262.0,2.35,50.59,49.41,50.21,50.28,0.44,59.48,2.52
13,14,688002,睿创微纳,60.37,-1.36,-0.83,53456,324363475.0,2.81,61.7,59.98,60.5,61.2,1.18,45.01,4.99
14,15,688139,海尔生物,33.34,-1.42,-0.48,27428,91962997.0,2.4,33.94,33.13,33.81,33.82,0.86,28.91,2.42
15,16,688318,财富趋势,153.41,-1.44,-2.24,21886,339226480.0,2.88,157.2,152.72,155.02,155.65,1.2,92.01,7.77
16,17,688093,世华科技,23.52,-1.55,-0.37,31275,73192793.0,4.98,24.2,23.01,23.86,23.89,1.19,22.09,3.15
17,18,688728,格科微,15.06,-1.7,-0.26,85521,129585110.0,1.96,15.34,15.04,15.27,15.32,0.59,209.63,5.04
18,19,688106,金宏气体,18.24,-1.78,-0.33,36346,66846433.0,3.07,18.67,18.1,18.5,18.57,0.75,43.81,2.83
19,20,688098,申联生物,5.75,-2.04,-0.12,21481,12445152.0,2.56,5.88,5.73,5.87,5.87,0.52,-51.85,1.67
20,21,688526,科前生物,15.03,-2.08,-0.32,21513,32582893.0,3.13,15.42,14.94,15.25,15.35,0.46,18.68,1.78
21,22,688981,中芯国际,91.2,-2.22,-2.07,365399,3348039981.0,2.23,92.98,90.9,92.98,93.27,1.84,196.79,4.91
22,23,688819,天能股份,29.46,-2.22,-0.67,29379,87489529.0,2.92,30.28,29.4,30.03,30.13,0.3,18.3,1.79
23,24,688767,博拓生物,37.96,-2.42,-0.94,12559,48585273.0,3.73,39.35,37.9,39.2,38.9,1.18,22.92,1.68
24,25,688690,纳微科技,21.3,-2.52,-0.55,32195,69241227.0,2.88,21.89,21.26,21.77,21.85,0.8,106.05,4.91
25,26,688006,杭可科技,18.82,-2.69,-0.52,41253,78554364.0,3.0,19.4,18.82,19.19,19.34,0.68,37.9,2.23
26,27,688325,赛微微电,46.81,-2.94,-1.42,9299,43894261.0,3.73,48.42,46.62,48.28,48.23,2.43,49.63,2.32
27,28,688772,珠海冠宇,16.55,-2.99,-0.51,112204,187207853.0,3.05,16.99,16.47,16.99,17.06,1.0,42.96,2.61
28,29,688777,中控技术,53.64,-3.05,-1.69,136766,741018571.0,3.45,55.33,53.42,55.21,55.33,1.75,37.53,4.11
29,30,688046,药康生物,14.28,-3.25,-0.48,16385,23677646.0,3.93,14.81,14.23,14.81,14.76,0.8,50.56,2.73
30,31,688228,开普云,60.18,-3.4,-2.12,19742,120467624.0,4.82,62.59,59.59,60.8,62.3,2.92,196.63,3.12
31,32,688099,晶晨股份,79.79,-3.52,-2.91,83983,674713989.0,5.02,83.15,79.0,82.18,82.7,2.0,40.81,5.19
32,33,688678,福立旺,28.16,-3.56,-1.04,129340,355595266.0,7.84,28.9,26.61,28.9,29.2,5.18,129.63,3.95
33,34,688800,瑞可达,51.66,-3.8,-2.04,57928,302424651.0,3.84,53.39,51.33,53.0,53.7,3.66,47.32,3.91
34,35,688633,星球石墨,27.25,-4.12,-1.17,14957,41335493.0,4.57,28.42,27.12,28.13,28.42,1.04,25.87,2.46
35,36,688116,天奈科技,43.04,-4.14,-1.86,118096,517667254.0,4.79,45.11,42.96,44.81,44.9,3.43,58.58,5.11
36,37,688355,明志科技,19.41,-4.2,-0.85,21673,42494726.0,4.59,20.2,19.27,20.13,20.26,1.75,36.45,2.22
37,38,688111,金山办公,309.38,-4.39,-14.22,68872,2158322913.0,4.37,322.5,308.35,322.5,323.6,1.49,87.01,12.6
38,39,688778,厦钨新能,47.06,-4.39,-2.16,43610,208837068.0,4.71,49.23,46.91,49.0,49.22,1.04,39.81,2.27
39,40,688105,诺唯赞,22.56,-4.53,-1.07,27073,62214085.0,6.14,23.8,22.35,23.56,23.63,0.68,-527.76,2.27
40,41,688063,派能科技,41.52,-4.86,-2.12,68916,291207632.0,5.45,43.74,41.36,43.41,43.64,2.81,248.35,1.11
41,42,688337,普源精电,35.5,-5.05,-1.89,23428,84667807.0,6.45,37.51,35.1,37.3,37.39,3.56,77.5,2.18
42,43,688686,奥普特,87.45,-5.21,-4.81,15002,134112503.0,4.96,91.97,87.39,91.2,92.26,1.23,76.89,3.66
43,44,688219,会通股份,13.71,-7.05,-1.04,198099,279645025.0,7.05,14.75,13.71,14.57,14.75,4.21,33.27,2.81
