,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300807,天迈科技,41.15,5.51,2.15,83334,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
1,2,002647,*ST仁东,6.26,5.03,0.3,297788,183786801.31,4.7,6.26,5.98,6.0,5.96,4.39,-37.16,3.88
2,3,600797,浙大网新,14.15,4.04,0.55,4145789,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
3,4,300096,ST易联众,3.91,2.36,0.09,119347,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
4,5,002104,恒宝股份,7.49,2.32,0.17,504093,372042829.56,6.28,7.58,7.12,7.25,7.32,8.41,43.49,2.49
5,6,600941,中国移动,106.65,1.57,1.65,354595,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
6,7,300386,飞天诚信,16.95,1.44,0.24,140107,235460152.0,2.87,16.98,16.5,16.69,16.71,5.64,-235.75,4.65
7,8,002512,达华智能,5.71,1.42,0.08,1408026,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
8,9,600785,新华百货,12.42,0.73,0.09,240626,302816697.0,7.14,13.16,12.28,12.38,12.33,10.66,20.77,1.25
9,10,600745,闻泰科技,34.89,0.58,0.2,322446,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
10,11,002356,赫美集团,3.15,0.32,0.01,184825,58843203.12,4.78,3.27,3.12,3.17,3.14,1.41,-97.14,7.34
11,12,600928,西安银行,3.54,0.28,0.01,200701,70955592.0,1.7,3.56,3.5,3.53,3.53,0.45,6.12,0.48
12,13,300656,民德电子,24.81,0.24,0.06,30144,74447100.57,2.83,24.99,24.29,24.53,24.75,2.41,-312.24,3.8
13,14,002251,ST步步高,4.31,0.23,0.01,278060,120178304.57,2.56,4.39,4.28,4.32,4.3,1.84,4.3,1.35
