,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002057,中钢天源,8.82,3.76,0.32,696511,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
1,2,300779,惠城环保,150.0,2.74,4.0,38114,567294752.7,3.32,150.0,145.15,145.15,146.0,2.43,507.73,22.31
2,3,000612,焦作万方,8.48,2.17,0.18,1205545,1032399031.88,11.57,8.99,8.03,8.19,8.3,10.12,14.36,1.64
3,4,301323,新莱福,46.67,2.03,0.93,14981,68683060.0,3.8,46.75,45.01,45.74,45.74,2.24,34.37,2.4
4,5,300797,钢研纳克,12.91,1.49,0.19,101604,131977876.78,6.37,13.4,12.59,12.61,12.72,2.71,42.82,4.39
5,6,002202,金风科技,9.67,1.26,0.12,990531,961288112.37,4.4,9.89,9.47,9.52,9.55,2.95,17.1,1.11
6,7,000993,闽东电力,9.12,0.66,0.06,149432,136223703.42,2.32,9.2,8.99,9.0,9.06,3.4,27.37,1.68
7,8,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
8,9,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
9,10,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
10,11,600416,湘电股份,11.77,-0.42,-0.05,223383,264207576.0,2.96,12.04,11.69,11.77,11.82,1.69,69.72,2.11
11,12,600010,包钢股份,1.86,-0.53,-0.01,3760182,702542968.0,2.14,1.89,1.85,1.86,1.87,1.2,-122.33,1.64
12,13,600980,北矿科技,17.32,-0.57,-0.1,50945,88662630.0,2.64,17.66,17.2,17.55,17.42,2.9,30.98,2.36
13,14,000758,中色股份,5.16,-0.58,-0.03,275073,142347051.42,2.5,5.25,5.12,5.17,5.19,1.4,22.91,1.83
14,15,300631,久吾高科,22.77,-0.61,-0.14,24834,57117745.0,2.31,23.28,22.75,22.9,22.91,2.07,105.19,2.36
15,16,300066,三川智慧,4.44,-0.67,-0.03,224926,99434056.5,2.91,4.51,4.38,4.44,4.47,2.24,48.44,1.85
16,17,600330,天通股份,7.33,-0.81,-0.06,245486,181817652.0,2.71,7.52,7.32,7.4,7.39,1.99,54.59,1.13
17,18,600872,中炬高新,21.11,-0.98,-0.21,69944,148461730.0,1.78,21.43,21.05,21.31,21.32,0.91,21.52,3.38
18,19,600988,赤峰黄金,21.26,-1.21,-0.26,492337,1050919657.0,3.16,21.75,21.07,21.55,21.52,2.96,26.97,5.59
19,20,000970,中科三环,12.82,-1.23,-0.16,250374,323067305.53,2.7,13.09,12.74,12.95,12.98,2.06,1297.96,2.42
20,21,600549,厦门钨业,19.92,-1.34,-0.27,191313,382577711.0,2.08,20.23,19.81,20.14,20.19,1.35,18.18,1.99
21,22,603701,德宏股份,16.94,-1.34,-0.23,30989,52453642.0,3.84,17.34,16.68,17.08,17.17,1.19,225.73,5.75
22,23,688020,方邦股份,35.38,-1.42,-0.51,9798,34611616.0,2.93,35.93,34.88,35.93,35.89,1.21,-37.0,2.05
23,24,002340,格林美,6.69,-1.47,-0.1,795613,534786034.51,2.06,6.8,6.66,6.77,6.79,1.56,28.46,1.78
24,25,600193,创兴资源,3.48,-1.69,-0.06,112396,39038976.0,3.39,3.54,3.42,3.5,3.54,2.64,-56.51,5.34
25,26,601908,京运通,2.73,-1.8,-0.05,301551,83034650.0,2.88,2.8,2.72,2.78,2.78,1.25,-3.51,0.66
26,27,002497,雅化集团,12.7,-1.93,-0.25,199521,257280133.61,3.63,13.14,12.67,12.91,12.95,1.89,71.0,1.4
27,28,002902,铭普光磁,19.83,-1.98,-0.4,62038,123733676.0,2.17,20.24,19.8,20.16,20.23,3.49,-25.11,4.22
28,29,601600,中国铝业,7.58,-2.07,-0.16,1000017,767152698.0,2.97,7.79,7.56,7.71,7.74,0.76,10.82,1.96
29,30,300340,科恒股份,10.37,-2.08,-0.22,51634,53808499.22,2.64,10.6,10.32,10.51,10.59,2.46,-19.11,19.08
30,31,603650,彤程新材,32.39,-2.09,-0.69,58542,190902014.0,2.6,33.1,32.24,33.04,33.08,0.98,33.18,5.89
31,32,601609,金田股份,6.41,-2.14,-0.14,197545,128135422.0,3.51,6.62,6.39,6.55,6.55,1.33,24.8,1.21
32,33,600173,卧龙地产,5.86,-2.33,-0.14,81707,48181076.0,3.17,6.0,5.81,5.99,6.0,1.17,28.48,1.07
33,34,600392,盛和资源,11.32,-2.41,-0.28,290706,331298590.0,3.19,11.6,11.23,11.57,11.6,1.66,160.24,2.26
34,35,002738,中矿资源,33.71,-2.46,-0.85,111624,380286533.63,2.98,34.66,33.63,34.5,34.56,1.57,33.42,2.04
35,36,688456,有研粉材,35.55,-2.68,-0.98,14486,52155433.0,3.42,36.77,35.52,36.26,36.53,1.4,62.89,3.05
36,37,688571,杭华股份,7.55,-2.96,-0.23,49366,37619963.0,3.86,7.81,7.51,7.76,7.78,1.18,22.81,2.05
37,38,600111,北方稀土,22.54,-3.05,-0.71,443842,1011580463.0,3.35,23.23,22.45,23.22,23.25,1.23,150.77,3.73
38,39,600259,广晟有色,33.52,-3.12,-1.08,77831,264347503.0,4.16,34.78,33.34,34.4,34.6,2.31,-30.7,3.33
39,40,300127,银河磁体,23.97,-3.23,-0.8,66398,160991526.0,2.75,24.65,23.97,24.65,24.77,2.88,51.0,5.47
40,41,002943,宇晶股份,21.94,-3.26,-0.74,62087,137173132.36,3.75,22.54,21.69,22.3,22.68,4.7,105.98,3.55
41,42,688077,大地熊,23.99,-3.27,-0.81,27363,66240255.0,3.19,24.71,23.92,24.71,24.8,2.39,89.49,2.59
42,43,300706,阿石创,23.45,-3.34,-0.81,56533,133555472.2,4.12,24.22,23.22,24.03,24.26,4.99,271.75,4.72
43,44,300428,立中集团,18.89,-3.72,-0.73,120673,230560622.82,3.26,19.52,18.88,19.45,19.62,2.19,17.32,1.65
44,45,300835,龙磁科技,39.44,-3.76,-1.54,24518,98230007.0,4.69,41.24,39.32,40.75,40.98,2.99,35.52,4.49
45,46,301273,瑞晨环保,24.5,-3.81,-0.97,10755,26528639.0,4.48,25.47,24.33,25.25,25.47,3.11,-31.35,1.84
46,47,600206,有研新材,17.16,-3.81,-0.68,448821,781620120.0,3.81,17.83,17.15,17.8,17.84,5.3,95.09,3.74
47,48,300748,金力永磁,19.88,-3.82,-0.79,250056,504332436.92,3.77,20.65,19.87,20.48,20.67,2.21,103.91,4.05
48,49,600366,宁波韵升,8.39,-3.89,-0.34,285998,242474233.0,4.24,8.71,8.34,8.7,8.73,2.69,100.03,1.57
49,50,000831,中国稀土,31.26,-3.93,-1.28,300486,948759719.94,3.87,32.31,31.05,32.3,32.54,2.83,-122.56,7.25
50,51,301141,中科磁业,37.2,-4.0,-1.55,20533,77405760.2,3.35,38.47,37.17,38.4,38.75,4.61,322.72,3.68
51,52,836807,奔朗新材,10.0,-4.67,-0.49,57145,58100568.22,5.34,10.54,9.98,10.5,10.49,4.62,54.51,1.95
52,53,002167,东方锆业,9.53,-4.7,-0.47,693284,668156676.2,4.1,9.89,9.48,9.84,10.0,9.14,-134.07,4.99
53,54,000795,英洛华,11.3,-4.88,-0.58,638468,731434588.64,4.21,11.77,11.27,11.77,11.88,5.63,51.73,4.77
54,55,300224,正海磁材,13.39,-4.9,-0.69,300633,408742362.31,4.62,14.0,13.35,14.0,14.08,3.61,44.46,2.97
55,56,873305,九菱科技,25.5,-6.04,-1.64,20060,52392346.71,5.64,27.03,25.5,27.02,27.14,5.53,51.06,5.03
56,57,836961,西磁科技,33.24,-6.15,-2.18,26383,90003436.04,6.44,35.48,33.2,35.48,35.42,7.06,87.89,8.28
57,58,301622,英思特,71.77,-6.17,-4.72,36859,270881026.0,5.82,76.22,71.77,75.6,76.49,13.41,45.38,5.89
58,59,603072,天和磁材,40.78,-6.47,-2.82,183537,767132320.0,6.35,43.44,40.67,42.0,43.6,28.35,75.87,5.41
59,60,002334,英威腾,9.33,-6.7,-0.67,710208,677005658.37,5.3,9.85,9.32,9.85,10.0,9.86,26.75,2.6
60,61,300328,宜安科技,11.37,-7.79,-0.96,1300367,1481388958.58,10.95,12.2,10.85,12.03,12.33,18.95,2400.52,7.19
61,62,002645,华宏科技,8.2,-7.87,-0.7,531928,445843205.57,8.65,8.9,8.13,8.86,8.9,10.45,1312.22,1.33
