,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000530,冰山冷热,6.35,4.27,0.26,1067472,671259022.02,5.25,6.41,6.09,6.09,6.09,17.79,42.46,1.72
1,2,000651,格力电器,43.74,2.41,1.03,708548,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
2,3,002639,雪人股份,7.9,1.94,0.15,1071223,847686421.16,5.29,8.15,7.74,7.76,7.75,16.47,136.32,2.48
3,4,300011,鼎汉技术,9.17,1.89,0.17,400742,365617266.4,4.67,9.29,8.87,8.96,9.0,7.99,244.44,3.85
4,5,600619,海立股份,13.29,1.37,0.18,464562,614088347.0,4.81,13.46,12.83,12.97,13.11,5.89,471.08,2.34
5,6,600187,国中水务,3.61,1.12,0.04,692175,249665516.0,5.88,3.72,3.51,3.57,3.57,4.29,485.59,1.84
6,7,603757,大元泵业,25.4,0.71,0.18,61298,155100147.0,4.56,25.96,24.81,25.13,25.22,3.72,16.21,2.73
7,8,000921,海信家电,30.11,0.2,0.06,102612,311571332.24,3.26,30.79,29.81,29.92,30.05,1.13,11.21,2.82
8,9,000333,美的集团,75.28,0.15,0.11,384528,2903191224.54,2.21,76.43,74.77,74.77,75.17,0.56,13.64,2.76
9,10,300335,迪森股份,5.38,0.0,0.0,308587,166658924.07,3.35,5.49,5.31,5.36,5.38,8.02,29.76,1.33
10,11,000521,长虹美菱,8.18,-0.37,-0.03,205205,168572940.6,2.19,8.32,8.14,8.18,8.21,2.34,11.91,1.39
11,12,002035,华帝股份,7.46,-0.8,-0.06,110539,82731581.92,2.13,7.57,7.41,7.52,7.52,1.42,11.75,1.71
12,13,002543,万和电气,11.49,-0.86,-0.1,56776,65536800.0,2.59,11.72,11.42,11.5,11.59,0.86,14.12,1.82
13,14,600167,联美控股,5.77,-0.86,-0.05,82440,47992889.0,2.06,5.89,5.77,5.79,5.82,0.36,19.27,1.23
14,15,301317,鑫磊股份,20.43,-0.92,-0.19,16625,33978309.8,3.1,20.75,20.11,20.53,20.62,3.71,67.49,3.12
15,16,002084,海鸥住工,3.09,-0.96,-0.03,77818,24118470.71,2.88,3.15,3.06,3.1,3.12,1.21,-330.61,1.26
16,17,002158,汉钟精机,20.56,-1.06,-0.22,124954,258880621.74,2.26,20.99,20.52,20.85,20.78,2.34,12.43,2.59
17,18,000551,创元科技,13.6,-1.45,-0.2,221301,302650163.34,3.48,13.98,13.5,13.74,13.8,5.5,19.47,2.17
18,19,000811,冰轮环境,12.81,-1.46,-0.19,263742,335481132.74,3.92,12.99,12.48,12.99,13.0,3.54,15.48,1.68
19,20,600336,澳柯玛,7.04,-1.54,-0.11,121441,86066417.0,2.8,7.2,7.0,7.1,7.15,1.52,1490.65,2.26
20,21,301272,英华特,38.64,-2.15,-0.85,8645,33554311.0,2.38,39.44,38.5,39.3,39.49,2.76,31.01,2.23
21,22,300992,泰福泵业,23.56,-2.44,-0.59,18082,42539825.8,3.73,24.1,23.2,24.1,24.15,2.33,86.55,2.7
22,23,300594,朗进科技,17.5,-2.45,-0.44,20902,36866440.0,2.51,17.93,17.48,17.9,17.94,2.3,-27.86,1.85
23,24,603075,热威股份,20.6,-2.51,-0.53,25053,51929419.0,2.51,21.04,20.51,21.0,21.13,6.26,27.19,4.08
24,25,301018,申菱环境,43.23,-2.7,-1.2,73989,320921074.0,3.87,44.43,42.71,43.87,44.43,3.72,60.38,4.48
25,26,300786,国林科技,13.93,-2.79,-0.4,61682,86714923.6,3.28,14.35,13.88,14.22,14.33,4.2,-54.41,2.18
26,27,002011,盾安环境,13.04,-3.19,-0.43,139216,184295519.06,3.79,13.54,13.03,13.45,13.47,1.52,16.06,2.71
27,28,603366,日出东方,10.75,-3.5,-0.39,207100,225149075.0,3.23,11.09,10.73,11.08,11.14,2.55,97.45,2.19
28,29,002050,三花智控,29.48,-4.07,-1.25,990279,2949176835.6,4.33,30.73,29.4,30.45,30.73,2.7,35.85,5.97
29,30,002126,银轮股份,28.52,-4.68,-1.4,398946,1146982315.2,5.45,29.89,28.26,29.89,29.92,5.09,29.55,3.92
30,31,603158,腾龙股份,10.33,-4.88,-0.53,401736,425183259.0,5.89,10.97,10.33,10.85,10.86,8.19,16.08,2.26
31,32,002139,拓邦股份,15.7,-5.88,-0.98,740920,1181653755.1,5.1,16.51,15.66,16.5,16.68,6.92,29.21,2.93
