,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,001208,华菱线缆,11.18,3.04,0.33,349748,389401076.63,5.16,11.32,10.76,10.77,10.85,12.95,51.95,3.74
1,2,002246,北化股份,11.2,2.0,0.22,191427,211426437.36,4.46,11.28,10.79,10.95,10.98,3.49,-99.1,2.2
2,3,300447,全信股份,14.86,0.81,0.12,91621,136518472.6,3.6,15.13,14.6,14.74,14.74,4.55,59.3,2.29
3,4,300455,航天智装,14.36,0.49,0.07,199122,288320750.38,3.43,14.68,14.19,14.21,14.29,2.81,280.21,5.69
4,5,002935,天奥电子,16.3,0.18,0.03,75937,124601569.07,3.13,16.63,16.12,16.23,16.27,1.83,108.3,4.38
5,6,000561,烽火电子,8.63,-0.35,-0.03,180061,156180170.0,3.12,8.8,8.53,8.63,8.66,2.99,-66.69,2.85
6,7,300213,佳讯飞鸿,10.43,-0.48,-0.05,1288602,1375472492.87,5.73,10.96,10.36,10.8,10.48,23.38,126.37,2.79
7,8,600118,中国卫星,27.68,-0.61,-0.17,157287,439785915.0,2.66,28.32,27.58,27.8,27.85,1.33,-1665.37,5.21
8,9,600879,航天电子,9.72,-0.92,-0.09,409702,402182892.0,2.65,9.96,9.7,9.75,9.81,1.24,42.81,1.55
9,10,002413,雷科防务,4.95,-1.2,-0.06,454374,228288556.08,3.19,5.1,4.94,4.99,5.01,3.63,-36.36,1.77
10,11,688139,海尔生物,33.34,-1.42,-0.48,27428,91962997.0,2.4,33.94,33.13,33.81,33.82,0.86,28.91,2.42
11,12,688586,江航装备,10.02,-1.47,-0.15,141586,143457556.0,3.15,10.28,9.96,10.11,10.17,1.79,63.23,3.18
12,13,000901,航天科技,11.81,-1.5,-0.18,206401,246095907.42,2.17,12.05,11.79,11.94,11.99,2.59,-653.26,2.25
13,14,002338,奥普光电,38.37,-2.49,-0.98,54286,212540402.09,4.65,40.18,38.35,39.58,39.35,2.26,133.94,7.0
14,15,300813,泰林生物,19.25,-3.36,-0.67,30992,60184168.9,2.91,19.79,19.21,19.67,19.92,4.08,154.65,2.97
15,16,300045,华力创通,20.69,-3.72,-0.8,211708,445167040.12,4.14,21.58,20.69,21.4,21.49,4.36,-357.12,8.02
16,17,603297,永新光学,93.39,-4.57,-4.47,21217,200215561.0,4.92,97.51,92.7,97.51,97.86,1.92,55.51,5.58
17,18,300354,东华测试,47.2,-4.84,-2.4,59216,283334817.0,6.05,49.94,46.94,48.91,49.6,7.29,49.44,8.89
18,19,300324,旋极信息,4.69,-5.25,-0.26,1275093,605906779.68,4.24,4.87,4.66,4.87,4.95,7.46,-42.23,2.7
19,20,002046,国机精工,17.53,-6.46,-1.21,598447,1081322172.38,6.78,18.8,17.53,18.69,18.74,11.38,34.47,2.69
