,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600598,北大荒,13.83,0.0,0.0,135402,187292822.0,0.94,13.89,13.76,13.8,13.83,0.76,13.68,3.05
1,2,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
2,3,600108,亚盛集团,2.86,-0.35,-0.01,237746,68288563.0,1.39,2.89,2.85,2.87,2.87,1.22,114.66,1.31
3,4,002133,广宇集团,2.71,-0.37,-0.01,140916,38172665.73,2.21,2.74,2.68,2.72,2.72,1.83,-10.35,0.56
4,5,430476,海能技术,13.46,-0.44,-0.06,62895,85789165.5,6.58,14.04,13.15,13.47,13.52,10.02,63.16,2.39
5,6,000019,深粮控股,6.55,-0.46,-0.03,43248,28408219.1,1.37,6.61,6.52,6.58,6.58,1.04,23.15,1.56
6,7,002385,大北农,4.05,-0.49,-0.02,601495,244183984.28,1.47,4.09,4.03,4.06,4.07,1.71,97.86,2.11
7,8,601952,苏垦农发,9.49,-0.52,-0.05,66671,63436090.0,1.15,9.57,9.46,9.51,9.54,0.48,17.95,1.91
8,9,600127,金健米业,6.49,-0.76,-0.05,94574,61557119.0,1.53,6.56,6.46,6.53,6.54,1.47,4811.98,6.0
9,10,002758,浙农股份,8.85,-0.9,-0.08,31709,28241491.0,2.02,9.03,8.85,8.95,8.93,0.61,21.57,1.02
10,11,603182,嘉华股份,12.41,-1.04,-0.13,13315,16584859.0,1.99,12.61,12.36,12.54,12.54,1.43,20.03,1.96
11,12,600354,敦煌种业,5.63,-1.05,-0.06,96802,54765703.0,1.23,5.7,5.63,5.67,5.69,1.83,123.92,4.82
12,13,600313,农发种业,6.38,-1.09,-0.07,128101,82109840.0,1.55,6.46,6.36,6.42,6.45,1.18,93.53,3.6
13,14,600191,华资实业,7.09,-1.12,-0.08,67442,47953003.0,2.51,7.21,7.03,7.13,7.17,1.39,59.41,2.09
14,15,000713,丰乐种业,7.06,-1.12,-0.08,91850,65165790.42,1.4,7.15,7.05,7.13,7.14,1.5,62.07,2.16
15,16,000638,万方发展,5.19,-1.14,-0.06,75551,39331493.0,2.29,5.27,5.15,5.27,5.25,2.44,91.17,9.17
16,17,002999,天禾股份,6.31,-1.25,-0.08,55413,35135382.0,2.03,6.41,6.28,6.38,6.39,1.62,156.26,1.83
17,18,600359,新农开发,6.75,-1.32,-0.09,55615,37745956.0,1.75,6.86,6.74,6.82,6.84,1.46,80.9,3.82
18,19,002646,天佑德酒,9.48,-1.35,-0.13,68161,65300407.85,2.19,9.68,9.47,9.67,9.61,1.43,59.65,1.61
19,20,600540,新赛股份,4.13,-1.43,-0.06,78910,32721484.0,2.15,4.19,4.1,4.18,4.19,1.36,-30.44,3.58
20,21,600300,维维股份,3.42,-1.44,-0.05,665803,229243345.0,2.59,3.49,3.4,3.46,3.47,4.12,16.86,1.67
21,22,000716,黑芝麻,6.79,-1.45,-0.1,273486,186113083.48,2.47,6.92,6.75,6.91,6.89,3.9,91.9,2.02
22,23,002419,天虹股份,5.04,-1.75,-0.09,146990,74611394.97,2.34,5.14,5.02,5.13,5.13,1.26,76.79,1.44
23,24,002041,登海种业,10.39,-2.07,-0.22,100087,104819688.34,2.07,10.6,10.38,10.6,10.61,1.14,117.05,2.54
24,25,300189,神农种业,3.74,-2.35,-0.09,437639,165253693.42,3.13,3.85,3.73,3.8,3.83,4.94,-132.02,5.11
25,26,000998,隆平高科,10.22,-2.85,-0.3,282292,291650781.4,3.33,10.54,10.19,10.49,10.52,2.15,-21.23,2.96
26,27,300087,荃银高科,9.46,-3.27,-0.32,212534,203860431.88,3.48,9.79,9.45,9.75,9.78,2.37,-79.7,5.1
27,28,837403,康农种业,24.31,-4.37,-1.11,19401,48262349.49,7.36,26.18,24.31,25.23,25.42,4.67,15.55,3.53
28,29,600811,*ST东方,0.75,-5.06,-0.04,164088,12306600.0,0.0,0.75,0.75,0.75,0.79,0.45,15.68,0.16
