,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002086,东方海洋,3.76,9.62,0.33,4725647,1732184355.08,11.37,3.77,3.38,3.43,3.43,31.15,-79.36,4.76
1,2,300181,佐力药业,15.66,0.45,0.07,286973,455090608.22,4.11,16.22,15.58,15.97,15.59,4.77,21.76,3.96
2,3,000513,丽珠集团,34.86,0.26,0.09,47780,166343282.82,1.27,35.04,34.6,34.87,34.77,0.82,14.24,2.24
3,4,300832,新产业,60.05,0.2,0.12,24599,147007863.6,2.15,60.43,59.14,59.9,59.93,0.36,25.58,5.81
4,5,000797,中国武夷,2.92,-0.34,-0.01,225769,65913540.0,2.05,2.95,2.89,2.93,2.93,1.44,73.73,0.88
5,6,002550,千红制药,5.7,-0.35,-0.02,164668,94258676.23,2.1,5.78,5.66,5.73,5.72,1.81,17.67,2.95
6,7,002262,恩华药业,22.05,-0.54,-0.12,79133,174667383.0,1.58,22.26,21.91,22.18,22.17,0.9,16.47,3.14
7,8,601607,上海医药,19.09,-0.73,-0.14,110632,212518597.0,1.56,19.37,19.07,19.31,19.23,0.57,13.1,1.0
8,9,002004,华邦健康,3.95,-0.75,-0.03,191147,75842680.75,1.76,4.0,3.93,3.98,3.98,1.02,12.98,0.77
9,10,300300,ST峡创,3.07,-0.97,-0.03,134430,41145219.4,2.58,3.11,3.03,3.06,3.1,2.02,-29.51,14.96
10,11,002390,信邦制药,3.85,-1.03,-0.04,288203,112315233.31,2.83,3.96,3.85,3.94,3.89,1.56,31.78,1.1
11,12,603387,基蛋生物,8.68,-1.14,-0.1,50575,44171745.0,2.16,8.83,8.64,8.8,8.78,1.0,16.32,1.7
12,13,002022,科华生物,5.98,-1.48,-0.09,66631,40116131.52,2.47,6.11,5.96,6.06,6.07,1.3,-18.89,0.79
13,14,002675,东诚药业,13.16,-1.5,-0.2,56134,74470917.67,2.99,13.5,13.1,13.31,13.36,0.76,59.03,2.42
14,15,300003,乐普医疗,11.64,-1.52,-0.18,184939,216516326.42,2.12,11.85,11.6,11.78,11.82,1.14,20.45,1.4
15,16,300122,智飞生物,24.74,-1.63,-0.41,181382,451393984.15,2.35,25.25,24.66,25.1,25.15,1.28,20.65,1.88
16,17,300639,凯普生物,5.99,-1.64,-0.1,72956,43896327.54,2.3,6.11,5.97,6.06,6.09,1.15,-11.09,0.86
17,18,300009,安科生物,8.68,-1.7,-0.15,158417,138652849.65,2.72,8.89,8.65,8.82,8.83,1.3,18.46,3.85
18,19,300642,透景生命,15.15,-1.75,-0.27,34318,52283553.55,2.59,15.48,15.08,15.41,15.42,2.49,75.94,1.64
19,20,002030,达安基因,6.16,-1.75,-0.11,181814,112781355.64,2.71,6.3,6.13,6.25,6.27,1.3,-12.9,1.04
20,21,688317,之江生物,17.3,-1.93,-0.34,12926,22526488.0,2.1,17.62,17.25,17.58,17.64,0.67,-26.07,0.91
21,22,688217,睿昂基因,22.27,-1.94,-0.44,11099,24933119.0,2.69,22.82,22.21,22.74,22.71,1.99,-86.0,1.37
22,23,300289,利德曼,5.0,-1.96,-0.1,66838,33677889.0,2.55,5.11,4.98,5.08,5.1,1.23,1903.81,1.56
23,24,002584,西陇科学,7.66,-2.05,-0.16,171499,132044459.45,2.56,7.82,7.62,7.76,7.82,3.97,52.38,1.95
24,25,600645,中源协和,21.31,-2.07,-0.45,59560,127686704.0,2.85,21.8,21.18,21.73,21.76,1.27,56.02,2.76
25,26,300396,迪瑞医疗,15.65,-2.49,-0.4,48227,76323609.0,3.49,16.19,15.63,16.1,16.05,1.77,16.62,2.04
26,27,688180,君实生物-U,29.32,-2.59,-0.78,55633,164643277.0,3.72,30.28,29.16,30.14,30.1,0.73,-22.54,4.93
27,28,300685,艾德生物,22.7,-2.74,-0.64,66184,152223059.02,3.43,23.47,22.67,23.33,23.34,1.7,29.44,4.93
28,29,300151,昌红科技,15.64,-2.86,-0.46,70563,111391843.63,2.86,16.06,15.6,16.03,16.1,1.91,76.73,5.29
29,30,300030,阳普医疗,6.01,-2.91,-0.18,66244,40219502.7,3.72,6.22,5.99,6.19,6.19,2.43,-32.78,2.73
30,31,301293,三博脑科,53.18,-3.06,-1.68,151438,818663611.34,6.8,56.4,52.67,55.99,54.86,9.41,78.58,4.77
31,32,002172,澳洋健康,3.55,-3.27,-0.12,307897,110452538.55,3.54,3.67,3.54,3.64,3.67,4.02,52.71,20.51
32,33,300109,新开源,16.73,-3.46,-0.6,170877,292762292.05,5.14,17.62,16.73,17.16,17.33,3.81,19.54,2.31
