,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300057,万顺新材,5.46,2.25,0.12,462102,250883087.52,5.24,5.54,5.26,5.3,5.34,6.45,-100.6,0.9
1,2,002389,航天彩虹,21.23,0.95,0.2,201903,424867987.8,3.47,21.45,20.72,20.79,21.03,2.04,2566.13,2.64
2,3,600135,乐凯胶片,6.94,-0.72,-0.05,55758,38719819.0,2.15,7.03,6.88,7.01,6.99,1.01,-50.21,1.57
3,4,002652,扬子新材,3.01,-1.95,-0.06,147364,44661658.0,2.93,3.08,2.99,3.05,3.07,2.88,95.5,5.68
4,5,000823,超声电子,11.0,-2.05,-0.23,182251,202012469.28,3.03,11.28,10.94,11.19,11.23,3.39,27.38,1.27
5,6,300209,*ST有树,5.06,-2.13,-0.11,65672,33557240.71,4.06,5.25,5.04,5.25,5.17,1.34,-115.3,16.78
6,7,300331,苏大维格,21.26,-2.48,-0.54,57297,122601131.71,3.17,21.79,21.1,21.66,21.8,2.85,105.17,3.33
7,8,002149,西部材料,22.09,-3.37,-0.77,340205,780279349.08,7.79,23.77,21.99,22.5,22.86,6.97,58.68,3.66
8,9,300131,英唐智控,8.07,-3.47,-0.29,511602,417369325.52,4.43,8.38,8.01,8.31,8.36,4.91,148.45,5.26
9,10,002456,欧菲光,13.11,-6.76,-0.95,2578825,3438507304.0,4.69,13.74,13.08,13.71,14.06,7.93,691.03,11.98
