,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,001202,炬申股份,18.45,10.02,1.68,80533,144064583.35,12.16,18.45,16.41,16.56,16.77,8.9,26.35,3.22
1,2,002401,中远海科,20.79,4.79,0.95,714820,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
2,3,001317,三羊马,33.51,3.04,0.99,60246,200776897.85,7.38,34.7,32.3,32.3,32.52,14.35,173.26,3.31
3,4,833171,国航远洋,8.5,2.53,0.21,691984,604715884.62,14.23,9.38,8.2,8.3,8.29,24.12,154.55,3.44
4,5,002210,飞马国际,2.57,2.39,0.06,1639162,414558124.75,4.38,2.59,2.48,2.5,2.51,6.16,152.83,21.62
5,6,001213,中铁特货,4.07,0.49,0.02,221255,90147543.8,1.73,4.11,4.04,4.04,4.05,0.5,23.68,0.95
6,7,601022,宁波远洋,8.54,0.47,0.04,271159,232806781.0,3.18,8.69,8.42,8.43,8.5,10.91,20.7,1.98
7,8,000927,中国铁物,2.62,0.38,0.01,612817,160946846.69,1.92,2.65,2.6,2.61,2.61,1.01,27.19,1.7
8,9,600179,安通控股,2.93,0.34,0.01,609628,180268459.0,3.77,3.02,2.91,2.92,2.92,1.63,57.68,1.2
9,10,002589,瑞康医药,3.05,0.33,0.01,485584,149271773.1,2.63,3.12,3.04,3.06,3.04,3.56,88.7,0.84
10,11,600794,保税科技,3.55,0.28,0.01,149387,53107360.0,1.98,3.59,3.52,3.54,3.54,1.23,20.51,1.65
11,12,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
12,13,601598,中国外运,5.08,0.0,0.0,247056,126326616.0,1.57,5.15,5.07,5.08,5.08,0.47,9.84,0.96
13,14,603209,兴通股份,16.35,-0.18,-0.03,82074,135489088.0,4.09,16.86,16.19,16.33,16.38,4.48,12.35,1.87
14,15,300013,*ST新宁,3.66,-0.27,-0.01,65408,23903136.5,2.45,3.71,3.62,3.65,3.67,1.47,-48.19,8.45
15,16,600755,厦门国贸,6.48,-0.31,-0.02,122823,79814514.0,1.23,6.54,6.46,6.5,6.5,0.58,14.79,0.69
16,17,603569,长久物流,7.61,-0.39,-0.03,72877,55541780.0,1.7,7.7,7.57,7.6,7.64,1.21,56.31,1.61
17,18,600787,中储股份,5.9,-0.51,-0.03,317735,189142705.0,2.87,6.04,5.87,5.91,5.93,1.46,25.01,0.94
18,19,001228,永泰运,22.3,-0.58,-0.13,11801,26290794.0,1.87,22.5,22.08,22.44,22.43,2.15,19.2,1.36
19,20,000582,北部湾港,8.4,-0.59,-0.05,153173,129123812.8,1.89,8.51,8.35,8.41,8.45,0.87,15.69,1.09
20,21,603648,畅联股份,10.04,-0.69,-0.07,56271,56778496.0,3.07,10.27,9.96,10.11,10.11,1.55,27.8,1.97
21,22,002010,传化智联,5.53,-0.72,-0.04,367503,203407767.76,1.97,5.61,5.5,5.52,5.57,1.32,48.71,0.89
22,23,600603,ST广物,7.53,-0.92,-0.07,51376,38766742.0,3.29,7.69,7.44,7.46,7.6,0.43,15.97,1.3
23,24,300240,飞力达,6.79,-1.02,-0.07,138864,95349287.99,3.94,7.02,6.75,6.84,6.86,3.82,85.0,1.75
24,25,600662,外服控股,5.33,-1.11,-0.06,90261,48394372.0,2.23,5.42,5.3,5.33,5.39,0.4,18.19,2.73
25,26,300350,华鹏飞,5.58,-1.24,-0.07,164737,92338092.41,2.83,5.7,5.54,5.6,5.65,3.49,104.47,3.39
26,27,000564,供销大集,2.86,-1.38,-0.04,2125357,608869036.09,2.76,2.91,2.83,2.9,2.9,1.44,-348.97,3.13
27,28,002800,天顺股份,11.14,-1.5,-0.17,34739,38644304.16,3.36,11.36,10.98,11.25,11.31,2.45,70.3,3.21
28,29,603117,万林物流,5.8,-1.53,-0.09,82845,48061686.0,2.55,5.89,5.74,5.89,5.89,1.38,125.59,3.4
29,30,600119,长江投资,7.36,-1.6,-0.12,57424,42513747.0,2.27,7.5,7.33,7.45,7.48,1.57,-72.07,15.08
30,31,002314,南山控股,2.42,-1.63,-0.04,510527,126471445.34,5.69,2.55,2.41,2.46,2.46,3.81,-14.1,0.66
31,32,603535,嘉诚国际,13.01,-1.89,-0.25,37171,48726034.0,2.41,13.28,12.96,13.22,13.26,1.15,21.94,1.79
32,33,605151,西上海,17.25,-2.1,-0.37,17828,30845957.0,3.06,17.63,17.09,17.55,17.62,1.32,34.71,1.73
33,34,300873,海晨股份,22.89,-2.6,-0.61,176264,413346317.74,6.51,24.27,22.74,23.8,23.5,10.42,18.15,1.79
34,35,603611,诺力股份,19.62,-2.63,-0.53,62857,124204524.0,2.88,20.08,19.5,20.08,20.15,2.44,10.45,1.77
35,36,600693,东百集团,6.63,-2.79,-0.19,495276,328835329.0,3.08,6.76,6.55,6.75,6.82,5.7,50.62,1.64
36,37,002183,怡 亚 通,4.95,-3.51,-0.18,970406,487692961.84,4.09,5.14,4.93,5.11,5.13,3.74,157.36,1.43
37,38,688360,德马科技,23.04,-3.72,-0.89,58115,133851256.0,5.85,23.9,22.5,23.87,23.93,3.34,34.4,3.05
38,39,872351,华光源海,14.3,-3.9,-0.58,39518,58191504.19,8.0,15.4,14.21,14.76,14.88,11.21,57.31,2.82
39,40,300532,今天国际,13.19,-4.63,-0.64,210135,282840163.9,4.92,13.83,13.15,13.73,13.83,4.88,16.53,3.55
