,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300591,万里马,5.2,9.01,0.43,508755.0,256468023.81,9.64,5.29,4.83,4.84,4.77,14.51,-24.28,4.96
1,2,000541,佛山照明,7.79,5.41,0.4,2016131.0,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
2,3,300888,稳健医疗,45.26,4.0,1.74,116409.0,533122675.4,7.42,47.23,44.0,44.0,43.52,6.63,35.75,2.32
3,4,300846,首都在线,30.45,3.22,0.95,1505927.0,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
4,5,002875,安奈儿,13.54,2.5,0.33,107801.0,143541868.9,5.75,13.66,12.9,13.1,13.21,5.91,-27.82,3.88
5,6,600965,福成股份,5.02,2.24,0.11,194066.0,96596153.0,3.67,5.05,4.87,4.91,4.91,2.37,79.5,1.91
6,7,300094,国联水产,4.09,2.0,0.08,1761210.0,726535866.92,9.73,4.33,3.94,3.95,4.01,15.94,-43.5,1.85
7,8,603608,*ST天创,4.49,1.58,0.07,59917.0,26804476.0,3.85,4.57,4.4,4.47,4.42,1.43,-45.94,1.69
8,9,603196,日播时尚,18.18,1.0,0.18,70610.0,125552466.0,5.22,18.26,17.32,17.89,18.0,2.98,-27.16,6.77
9,10,600706,曲江文旅,10.92,0.83,0.09,97846.0,105751597.0,2.68,10.98,10.69,10.75,10.83,3.85,-11.55,4.75
10,11,002154,报 喜 鸟,4.28,0.71,0.03,479337.0,207791956.07,2.82,4.39,4.27,4.31,4.25,3.37,11.28,1.46
11,12,002397,梦洁股份,4.16,0.48,0.02,310674.0,128232083.81,2.42,4.18,4.08,4.1,4.14,5.28,113.23,2.63
12,13,603156,养元饮品,21.52,0.47,0.1,21207.0,45618685.0,1.68,21.68,21.32,21.51,21.42,0.17,16.55,2.75
13,14,000505,京粮控股,6.18,0.16,0.01,84405.0,52359086.0,1.94,6.27,6.15,6.17,6.17,1.33,120.97,1.43
14,15,002293,罗莱生活,8.24,0.12,0.01,67583.0,55992325.9,3.65,8.44,8.14,8.2,8.23,0.82,19.71,1.72
15,16,300144,宋城演艺,9.3,0.11,0.01,348831.0,323652917.4,2.15,9.38,9.18,9.21,9.29,1.48,18.15,3.02
16,17,600576,祥源文旅,9.2,0.11,0.01,88675.0,82275071.0,3.48,9.42,9.1,9.18,9.19,1.34,66.04,3.49
17,18,300740,水羊股份,12.47,0.08,0.01,75987.0,94757008.0,1.61,12.58,12.38,12.46,12.46,2.13,38.49,2.43
18,19,002853,皮阿诺,15.57,0.06,0.01,24537.0,38219693.5,2.96,15.76,15.3,15.5,15.56,1.85,264.79,2.2
19,20,002663,普邦股份,1.84,0.0,0.0,255796.0,47170455.83,2.72,1.87,1.82,1.85,1.84,1.83,-106.22,1.1
20,21,600479,千金药业,10.4,-0.1,-0.01,118985.0,124773895.0,2.59,10.63,10.36,10.61,10.41,2.84,19.68,1.83
21,22,603466,风语筑,10.9,-0.37,-0.04,564423.0,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
22,23,002818,富森美,13.55,-0.59,-0.08,19891.0,27045330.54,1.98,13.76,13.49,13.63,13.63,0.67,14.69,1.74
23,24,002726,龙大美食,6.47,-0.61,-0.04,99900.0,64616766.59,1.84,6.53,6.41,6.5,6.51,0.93,71.69,5.05
24,25,002832,比音勒芬,18.67,-0.64,-0.12,55425.0,103684476.52,1.86,18.89,18.54,18.72,18.79,1.42,10.49,2.09
25,26,600630,龙头股份,9.22,-0.75,-0.07,110381.0,101974124.0,1.72,9.32,9.16,9.25,9.29,2.6,77.8,5.2
26,27,300824,北鼎股份,9.97,-0.8,-0.08,52243.0,52302367.7,2.69,10.15,9.88,10.09,10.05,1.65,46.8,4.62
27,28,002327,富安娜,8.33,-0.83,-0.07,37739.0,31520487.0,2.02,8.44,8.27,8.37,8.4,0.77,17.87,1.92
28,29,600059,古越龙山,8.39,-0.83,-0.07,70275.0,59145992.0,1.65,8.49,8.35,8.43,8.46,0.77,42.59,1.31
29,30,600229,城市传媒,7.1,-0.84,-0.06,63946.0,45594651.0,1.96,7.2,7.06,7.06,7.16,0.95,27.1,1.48
30,31,605567,春雪食品,8.98,-0.88,-0.08,38166.0,34236668.0,1.88,9.07,8.9,9.06,9.06,1.91,564.89,1.67
31,32,002515,金字火腿,5.16,-0.96,-0.05,180880.0,93307129.02,2.11,5.21,5.1,5.18,5.21,1.56,156.96,2.41
32,33,603719,良品铺子,12.76,-1.09,-0.14,59786.0,76330773.0,1.86,12.89,12.65,12.81,12.9,1.49,197.91,2.21
33,34,002103,广博股份,9.84,-1.11,-0.11,129720.0,127736394.84,2.11,9.98,9.77,9.86,9.95,3.44,37.42,5.22
34,35,002344,海宁皮城,4.36,-1.13,-0.05,145532.0,63715237.66,2.04,4.43,4.34,4.4,4.41,1.14,58.15,0.67
35,36,600637,东方明珠,7.82,-1.14,-0.09,283398.0,222880912.0,1.77,7.94,7.8,7.89,7.91,0.84,27.43,0.88
36,37,002763,汇洁股份,6.9,-1.15,-0.08,31027.0,21488712.8,2.01,7.0,6.86,6.95,6.98,1.02,17.27,1.43
37,38,003010,若羽臣,38.99,-1.17,-0.46,37045.0,144917989.04,2.99,39.68,38.5,39.3,39.45,3.06,83.12,6.1
38,39,002563,森马服饰,6.61,-1.2,-0.08,96493.0,64138376.59,3.29,6.77,6.55,6.68,6.69,0.44,17.69,1.56
39,40,001219,青岛食品,13.2,-1.27,-0.17,27992.0,37102644.01,1.87,13.4,13.15,13.33,13.37,1.47,22.29,2.53
40,41,300329,海伦钢琴,6.89,-1.29,-0.09,63407.0,43802021.0,2.29,6.99,6.83,6.9,6.98,2.52,-89.45,2.14
41,42,300058,蓝色光标,9.89,-1.3,-0.13,1473525.0,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
42,43,603729,龙韵股份,16.3,-1.33,-0.22,36565.0,59817816.0,2.91,16.63,16.15,16.52,16.52,3.92,433.21,4.16
43,44,002127,南极电商,4.39,-1.35,-0.06,273130.0,119881844.59,2.92,4.46,4.33,4.43,4.45,1.37,149.05,2.41
44,45,603808,歌力思,7.26,-1.36,-0.1,45486.0,33137039.0,2.04,7.36,7.21,7.35,7.36,1.23,93.37,0.94
45,46,000564,供销大集,2.86,-1.38,-0.04,2125357.0,608869036.09,2.76,2.91,2.83,2.9,2.9,1.44,-348.97,3.13
46,47,002717,岭南股份,3.42,-1.44,-0.05,1090461.0,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
47,48,000716,黑芝麻,6.79,-1.45,-0.1,273486.0,186113083.48,2.47,6.92,6.75,6.91,6.89,3.9,91.9,2.02
48,49,603598,引力传媒,17.88,-1.54,-0.28,79755.0,143595926.0,2.42,18.25,17.81,18.04,18.16,2.98,184.56,22.02
49,50,000061,农 产 品,6.31,-1.56,-0.1,156213.0,98720246.87,1.87,6.39,6.27,6.35,6.41,0.92,25.63,1.72
50,51,600400,红豆股份,2.44,-1.61,-0.04,340243.0,83188911.0,2.02,2.47,2.42,2.47,2.48,1.48,1276.34,1.98
51,52,002264,新 华 都,6.12,-1.61,-0.1,93416.0,57265714.0,2.09,6.21,6.08,6.19,6.22,1.43,17.36,2.47
52,53,300413,芒果超媒,26.54,-1.67,-0.45,64088.0,171146895.96,2.74,27.15,26.41,26.95,26.99,0.63,25.78,2.2
53,54,603365,水星家纺,15.49,-1.71,-0.27,7621.0,11902323.0,2.09,15.82,15.49,15.78,15.76,0.3,14.55,1.42
54,55,002830,名雕股份,13.62,-1.73,-0.24,17851.0,24263755.0,2.74,13.81,13.43,13.76,13.86,2.67,84.6,2.81
55,56,002555,三七互娱,15.39,-1.79,-0.28,365326.0,566629157.68,2.81,15.77,15.33,15.64,15.67,2.28,13.46,2.7
56,57,002615,哈尔斯,8.09,-1.82,-0.15,77792.0,63331066.0,2.31,8.24,8.05,8.2,8.24,2.54,12.58,2.33
57,58,603511,爱慕股份,14.35,-1.85,-0.27,24254.0,34910806.0,2.6,14.62,14.24,14.45,14.62,0.6,30.97,1.33
58,59,603888,新华网,23.36,-1.85,-0.44,72299.0,170082325.0,2.61,23.87,23.25,23.71,23.8,1.39,58.36,3.49
59,60,002494,华斯股份,4.58,-1.93,-0.09,87882.0,40353300.0,2.36,4.66,4.55,4.65,4.67,3.06,467.99,1.43
60,61,300518,新迅达,10.59,-1.94,-0.21,36891.0,39291375.14,2.87,10.85,10.54,10.81,10.8,1.85,-18.87,2.09
61,62,600398,海澜之家,8.06,-1.95,-0.16,339086.0,276306853.0,3.89,8.33,8.01,8.22,8.22,0.71,15.22,2.31
62,63,002820,桂发祥,11.41,-1.98,-0.23,81627.0,93771885.0,2.15,11.65,11.4,11.6,11.64,4.08,48.13,2.47
63,64,002712,思美传媒,5.75,-2.04,-0.12,109848.0,63580019.89,2.39,5.87,5.73,5.86,5.87,2.03,-376.53,2.22
64,65,600556,天下秀,5.21,-2.07,-0.11,466420.0,244604228.0,2.63,5.33,5.19,5.31,5.32,2.58,107.98,2.43
65,66,002995,天地在线,19.98,-2.11,-0.43,37602.0,75568078.25,2.01,20.35,19.94,20.35,20.41,3.34,-85.79,3.66
66,67,002612,朗姿股份,15.72,-2.12,-0.34,69205.0,109606703.98,2.37,16.05,15.67,15.96,16.06,2.73,24.93,2.23
67,68,301262,海看股份,24.88,-2.12,-0.54,20679.0,51973665.0,2.95,25.54,24.79,25.38,25.42,1.69,23.64,2.97
68,69,603557,ST起步,2.29,-2.14,-0.05,51876.0,11907120.0,2.14,2.33,2.28,2.32,2.34,0.83,-19.15,11.97
69,70,300251,光线传媒,22.27,-2.15,-0.49,900821.0,2017303022.99,2.24,22.75,22.24,22.62,22.76,3.23,106.32,7.34
70,71,002291,遥望科技,6.8,-2.16,-0.15,355052.0,242690523.24,3.17,6.95,6.73,6.9,6.95,4.05,-11.61,1.55
71,72,300805,电声股份,10.75,-2.18,-0.24,75095.0,81330440.0,2.09,10.97,10.74,10.93,10.99,2.61,559.95,3.0
72,73,002878,元隆雅图,15.74,-2.18,-0.35,71796.0,113744517.56,2.42,16.09,15.7,15.92,16.09,3.07,138.99,2.67
73,74,300781,因赛集团,55.06,-2.19,-1.23,27961.0,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
74,75,300612,宣亚国际,15.4,-2.22,-0.35,50171.0,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
75,76,300059,东方财富,23.27,-2.27,-0.54,3308993.0,7778007075.49,2.86,23.91,23.23,23.71,23.81,2.48,38.22,4.55
76,77,300182,捷成股份,6.03,-2.27,-0.14,759838.0,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
77,78,000882,华联股份,2.56,-2.29,-0.06,1215508.0,312662572.0,2.29,2.61,2.55,2.6,2.62,4.44,173.87,1.01
78,79,002614,奥佳华,7.09,-2.34,-0.17,149137.0,106933500.5,3.03,7.31,7.09,7.25,7.26,3.38,65.0,1.01
79,80,300654,世纪天鸿,11.21,-2.35,-0.27,97944.0,110946578.0,2.79,11.52,11.2,11.35,11.48,3.0,97.78,4.87
80,81,002400,省广集团,8.17,-2.39,-0.2,700809.0,576800674.57,2.75,8.38,8.15,8.34,8.37,4.06,117.1,2.9
81,82,002467,二六三,6.08,-2.41,-0.15,479122.0,293442054.37,2.41,6.22,6.07,6.19,6.23,3.51,97.23,4.44
82,83,002131,利欧股份,3.96,-2.46,-0.1,3377277.0,1341928649.84,2.71,4.05,3.94,4.04,4.06,5.77,-126.05,2.08
83,84,301001,凯淳股份,31.5,-2.48,-0.8,17040.0,54025163.0,2.94,32.3,31.35,32.3,32.3,3.39,404.1,3.11
84,85,603721,中广天择,26.55,-2.64,-0.72,32906.0,88319162.0,2.09,27.12,26.55,27.02,27.27,2.53,-2697.79,6.72
85,86,300063,天龙集团,9.5,-2.66,-0.26,301767.0,288874833.5,2.46,9.74,9.5,9.58,9.76,4.83,111.61,4.48
86,87,603355,莱克电气,28.8,-2.67,-0.79,179924.0,535918353.0,7.71,31.0,28.72,30.0,29.59,3.15,14.1,3.7
87,88,300997,欢乐家,14.41,-2.7,-0.4,51855.0,75594348.41,3.04,14.82,14.37,14.81,14.81,1.34,56.45,5.91
88,89,600633,浙数文化,14.14,-2.82,-0.41,485955.0,698095785.0,4.05,14.73,14.14,14.4,14.55,3.83,28.33,1.79
89,90,300783,三只松鼠,27.77,-2.83,-0.81,148864.0,419928246.27,3.85,28.76,27.66,28.47,28.58,5.32,24.48,4.05
90,91,002187,广百股份,7.04,-2.9,-0.21,212763.0,150941823.2,2.9,7.2,6.99,7.19,7.25,4.11,70.77,1.22
91,92,300133,华策影视,7.49,-2.98,-0.23,607059.0,460325849.49,3.11,7.72,7.48,7.68,7.72,3.74,64.25,2.01
92,93,000668,荣丰控股,5.8,-3.01,-0.18,43052.0,25264810.0,3.01,5.96,5.78,5.94,5.98,2.93,-18.61,0.8
93,94,600818,中路股份,12.21,-3.02,-0.38,93815.0,115836240.0,3.73,12.66,12.19,12.51,12.59,3.94,1023.27,6.41
94,95,600415,小商品城,13.18,-3.02,-0.41,298829.0,396710412.0,3.68,13.57,13.07,13.5,13.59,0.55,23.28,3.66
95,96,002640,跨境通,4.01,-3.14,-0.13,811482.0,328391946.0,3.38,4.14,4.0,4.14,4.14,5.69,-263.78,4.69
96,97,002181,粤 传 媒,5.64,-3.26,-0.19,243530.0,139011375.0,3.26,5.83,5.64,5.76,5.83,2.15,-129.13,1.58
97,98,002582,好想你,9.74,-3.28,-0.33,377445.0,369406385.6,4.07,10.02,9.61,10.01,10.07,10.97,-54.38,1.23
98,99,300291,百纳千成,4.84,-3.39,-0.17,301103.0,147833747.0,3.99,5.02,4.82,5.0,5.01,3.24,-63.22,1.3
99,100,000676,智度股份,8.72,-3.43,-0.31,379840.0,334064458.69,2.66,8.94,8.7,8.94,9.03,3.01,53.3,2.8
100,101,300459,汤姆猫,6.46,-3.44,-0.23,2097921.0,1375206424.21,4.48,6.73,6.43,6.66,6.69,6.39,203.97,6.82
101,102,002416,爱施德,12.86,-3.45,-0.46,304453.0,397316918.95,3.15,13.27,12.85,13.25,13.32,2.49,22.77,2.66
102,103,603330,天洋新材,8.05,-3.48,-0.29,108046.0,87967137.0,4.44,8.38,8.01,8.29,8.34,2.5,-90.28,2.02
103,104,300785,值得买,33.86,-3.53,-1.24,49987.0,171716209.65,4.73,35.36,33.7,35.1,35.1,4.09,1327.33,3.68
