,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,838262,DR太湖雪,27.28,11.85,2.89,98861,274791521.51,26.53,30.5,24.03,24.08,24.39,31.7,58.31,5.86
1,2,300740,水羊股份,13.45,7.34,0.92,425853,575875503.27,12.93,14.1,12.48,12.53,12.53,11.92,31.18,2.56
2,3,300997,欢乐家,14.97,5.8,0.82,166882,244286161.69,9.54,15.27,13.92,14.14,14.15,4.32,47.8,6.29
3,4,600630,龙头股份,8.94,4.93,0.42,561893,509712830.0,9.74,9.37,8.54,8.57,8.52,13.23,52.31,4.91
4,5,603898,好莱客,10.81,4.55,0.47,83636,92082741.0,9.86,11.37,10.35,10.38,10.34,2.69,382.26,1.11
5,6,603365,水星家纺,16.48,4.11,0.65,44724,73002624.0,5.69,16.66,15.76,15.83,15.83,1.73,12.05,1.41
6,7,002345,潮宏基,9.76,3.5,0.33,368754,355316933.59,4.98,9.83,9.36,9.4,9.43,4.25,11.48,2.33
7,8,002875,安奈儿,14.14,3.36,0.46,138227,195016471.3,4.97,14.38,13.7,13.7,13.68,7.58,-90.36,4.32
8,9,300888,稳健医疗,51.45,3.31,1.65,60365,310134807.3,4.8,51.99,49.6,49.61,49.8,3.44,30.13,2.63
9,10,600415,小商品城,15.63,3.03,0.46,580664,899403825.0,4.55,15.78,15.09,15.2,15.17,1.06,26.67,4.02
10,11,603557,ST起步,2.77,2.97,0.08,530858,145591084.0,5.95,2.82,2.66,2.68,2.69,8.52,-218.24,10.92
11,12,002614,奥佳华,6.8,2.87,0.19,300242,205221123.61,9.53,7.18,6.55,6.58,6.61,6.81,530.75,0.97
12,13,300824,北鼎股份,12.3,2.5,0.3,306621,376220783.01,7.25,12.58,11.71,11.89,12.0,9.7,30.07,5.74
13,14,603156,养元饮品,24.67,2.32,0.56,36171,88831765.0,3.15,24.77,24.01,24.11,24.11,0.29,12.11,2.93
14,15,002762,*ST金比,4.9,1.87,0.09,129260,63187230.79,4.57,4.99,4.77,4.83,4.81,6.12,-199.46,2.0
15,16,600358,ST联合,4.44,1.6,0.07,125872,55512209.0,1.83,4.45,4.37,4.4,4.37,2.49,-65.66,29.37
16,17,002397,梦洁股份,3.87,1.57,0.06,197232,75778451.33,3.94,3.9,3.75,3.82,3.81,3.22,72.09,2.42
17,18,002830,名雕股份,14.4,1.41,0.2,28060,40291485.26,4.01,14.61,14.04,14.28,14.2,4.2,164.49,2.85
18,19,002612,朗姿股份,16.93,1.26,0.21,217498,368595572.06,4.43,17.24,16.5,16.66,16.72,8.54,19.66,2.6
19,20,300329,海伦钢琴,7.27,1.25,0.09,97589,70184662.42,4.87,7.36,7.01,7.15,7.18,3.87,-47.46,2.6
20,21,002327,富安娜,8.01,1.01,0.08,48499,38740762.0,1.13,8.02,7.93,7.96,7.93,0.99,29.92,1.7
21,22,000505,京粮控股,6.59,0.92,0.06,229861,151416934.8,3.37,6.7,6.48,6.53,6.53,3.69,92.98,1.52
22,23,002264,新 华 都,6.59,0.92,0.06,280452,183814846.0,4.44,6.7,6.41,6.5,6.53,4.28,12.74,2.42
23,24,603721,*ST天择,16.5,0.86,0.14,101208,166335805.0,4.77,16.85,16.07,16.16,16.36,7.79,-75.52,4.37
24,25,003010,若羽臣,47.27,0.85,0.4,48016,226707595.2,4.48,47.9,45.8,46.5,46.87,3.97,70.69,7.28
25,26,002563,森马服饰,5.85,0.69,0.04,199114,116122455.2,1.55,5.87,5.78,5.82,5.81,0.9,18.38,1.42
26,27,603196,日播时尚,14.64,0.69,0.1,23988,35061498.0,2.06,14.78,14.48,14.48,14.54,1.01,115.37,5.39
27,28,002293,罗莱生活,9.16,0.55,0.05,63981,58701360.72,2.52,9.28,9.05,9.09,9.11,0.77,16.9,1.78
28,29,002494,华斯股份,4.67,0.43,0.02,150607,70974580.03,6.67,4.95,4.64,4.7,4.65,5.25,350.12,1.43
29,30,600398,海澜之家,7.89,0.38,0.03,297958,234059052.0,1.53,7.9,7.78,7.87,7.86,0.62,10.13,2.11
30,31,605567,春雪食品,9.55,0.32,0.03,56542,54138260.0,2.42,9.68,9.45,9.5,9.52,2.83,42.76,1.75
31,32,300908,仲景食品,30.02,0.2,0.06,14848,44639611.89,2.37,30.39,29.68,29.98,29.96,1.2,22.63,2.65
32,33,600839,四川长虹,10.98,0.18,0.02,2612357,2896799211.0,3.19,11.25,10.9,11.03,10.96,5.66,36.68,3.38
33,34,002763,汇洁股份,6.96,0.14,0.01,38744,27000954.6,1.44,7.01,6.91,6.95,6.95,1.28,9.26,1.42
34,35,300591,万里马,5.36,0.0,0.0,317894,171792391.5,5.78,5.6,5.29,5.48,5.36,9.07,-42.07,7.22
35,36,002726,龙大美食,6.13,0.0,0.0,81931,50449664.26,1.31,6.2,6.12,6.13,6.13,0.76,385.18,4.95
36,37,000793,ST华闻,2.81,0.0,0.0,1008414,280759208.8,9.96,2.95,2.67,2.95,2.81,5.14,-46.0,30.25
37,38,002329,皇氏集团,3.3,0.0,0.0,407992,134195098.5,3.94,3.35,3.22,3.3,3.3,6.27,120.83,2.89
38,39,000061,农 产 品,6.51,0.0,0.0,77099,50071230.16,1.69,6.54,6.43,6.5,6.51,0.45,37.09,1.73
39,40,600576,祥源文旅,9.68,0.0,0.0,71205,68779235.0,2.38,9.78,9.55,9.63,9.68,1.08,81.81,3.59
