,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600892,大晟文化,3.87,9.94,0.35,776848.0,294400834.0,11.65,3.87,3.46,3.52,3.52,13.89,-104.87,17.3
1,2,300081,恒信东方,8.84,6.38,0.53,1292921.0,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
2,3,300307,慈星股份,10.73,4.17,0.43,939319.0,992526103.2,7.38,10.85,10.09,10.2,10.3,11.98,20.65,2.64
3,4,300846,首都在线,30.45,3.22,0.95,1505927.0,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
4,5,600234,*ST科新,6.26,2.45,0.15,17411.0,10781029.0,3.93,6.29,6.05,6.05,6.11,0.66,107.4,3.73
5,6,600715,*ST文投,2.18,1.87,0.04,239273.0,51973267.0,3.27,2.21,2.14,2.14,2.14,0.9,-16.69,5.6
6,7,601928,凤凰传媒,10.62,1.53,0.16,210886.0,223322625.0,2.01,10.65,10.44,10.46,10.46,0.83,15.09,1.41
7,8,002571,德力股份,6.48,-0.31,-0.02,208590.0,133773584.0,7.54,6.73,6.24,6.49,6.5,6.99,-58.15,2.12
8,9,300052,ST中青宝,11.61,-0.34,-0.04,333228.0,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
9,10,603466,风语筑,10.9,-0.37,-0.04,564423.0,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
10,11,600373,中文传媒,11.17,-0.53,-0.06,96305.0,107867595.0,1.07,11.26,11.14,11.23,11.23,0.71,16.05,0.84
11,12,300242,佳云科技,5.06,-0.59,-0.03,366524.0,188086204.5,5.11,5.27,5.01,5.14,5.09,5.82,-58.2,8.86
12,13,300533,冰川网络,25.62,-0.66,-0.17,59438.0,153175156.18,4.5,26.36,25.2,25.47,25.79,3.61,-9.64,5.63
13,14,601801,皖新传媒,6.81,-0.73,-0.05,135344.0,92582270.0,1.6,6.9,6.79,6.85,6.86,0.69,12.32,1.15
14,15,603444,吉比特,220.35,-1.02,-2.26,10205.0,226264654.0,2.16,224.58,219.78,222.0,222.61,1.42,18.11,3.35
15,16,000917,电广传媒,7.98,-1.12,-0.09,453495.0,363394100.47,2.23,8.11,7.93,8.07,8.07,3.2,139.11,1.09
16,17,600637,东方明珠,7.82,-1.14,-0.09,283398.0,222880912.0,1.77,7.94,7.8,7.89,7.91,0.84,27.43,0.88
17,18,002168,ST惠程,2.52,-1.18,-0.03,280224.0,70930629.21,7.45,2.65,2.46,2.58,2.55,3.57,-17.84,-28.51
18,19,603000,人民网,21.64,-1.23,-0.27,122184.0,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
19,20,002739,万达电影,11.72,-1.26,-0.15,255728.0,300891217.9,1.85,11.9,11.68,11.81,11.87,1.23,110.04,3.04
20,21,002148,北纬科技,7.38,-1.34,-0.1,225638.0,169140501.4,3.61,7.65,7.38,7.48,7.48,5.02,158.11,3.37
21,22,600226,亨通股份,2.8,-1.41,-0.04,221904.0,62490211.0,2.46,2.86,2.79,2.85,2.84,0.73,34.28,2.51
22,23,002425,ST凯文,2.26,-1.74,-0.04,205793.0,46810024.3,3.04,2.31,2.24,2.29,2.3,2.15,-16.95,0.63
23,24,002558,巨人网络,14.91,-1.78,-0.27,247304.0,373393280.2,3.89,15.46,14.87,15.13,15.18,1.28,20.2,2.37
24,25,002555,三七互娱,15.39,-1.79,-0.28,365326.0,566629157.68,2.81,15.77,15.33,15.64,15.67,2.28,13.46,2.7
25,26,600037,歌华有线,7.63,-1.8,-0.14,227385.0,175429083.0,2.96,7.82,7.59,7.76,7.77,1.63,-146.38,0.84
26,27,002605,姚记科技,27.89,-1.86,-0.53,82386.0,232628241.04,3.98,28.92,27.79,28.33,28.42,2.47,20.46,3.49
27,28,300518,新迅达,10.59,-1.94,-0.21,36891.0,39291375.14,2.87,10.85,10.54,10.81,10.8,1.85,-18.87,2.09
28,29,300043,星辉娱乐,4.03,-1.95,-0.08,632196.0,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
29,30,600770,综艺股份,4.48,-1.97,-0.09,144096.0,64771972.0,2.63,4.57,4.45,4.56,4.57,1.11,60.54,1.76
30,31,002919,名臣健康,17.37,-1.98,-0.35,63232.0,110840939.34,3.39,17.86,17.26,17.55,17.72,2.39,35.88,5.3
31,32,600880,博瑞传播,4.84,-2.02,-0.1,345300.0,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
32,33,300494,盛天网络,12.64,-2.02,-0.26,137422.0,175031027.96,2.87,12.95,12.58,12.88,12.9,3.45,1901.32,3.64
33,34,603258,电魂网络,23.41,-2.05,-0.49,44847.0,105803683.0,2.76,24.01,23.35,23.73,23.9,1.86,57.45,2.57
34,35,600556,天下秀,5.21,-2.07,-0.11,466420.0,244604228.0,2.63,5.33,5.19,5.31,5.32,2.58,107.98,2.43
35,36,300288,朗玛信息,16.01,-2.08,-0.34,96542.0,155296919.3,2.45,16.33,15.93,16.33,16.35,3.76,99.02,3.31
36,37,002174,游族网络,9.74,-2.11,-0.21,197566.0,194680683.69,3.82,10.09,9.71,10.08,9.95,2.16,1292.16,2.01
37,38,002291,遥望科技,6.8,-2.16,-0.15,355052.0,242690523.24,3.17,6.95,6.73,6.9,6.95,4.05,-11.61,1.55
38,39,300418,昆仑万维,36.34,-2.21,-0.82,228935.0,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
39,40,600173,卧龙地产,5.86,-2.33,-0.14,81707.0,48181076.0,3.17,6.0,5.81,5.99,6.0,1.17,28.48,1.07
40,41,300467,迅游科技,20.39,-2.44,-0.51,149487.0,311458052.73,4.98,21.39,20.35,20.97,20.9,8.87,140.85,6.67
41,42,300002,神州泰岳,13.72,-2.56,-0.36,637755.0,882881690.04,3.27,14.12,13.66,14.01,14.08,3.5,18.69,3.83
42,43,000004,国华网安,11.65,-2.59,-0.31,48749.0,57100365.48,3.01,11.96,11.6,11.95,11.96,3.86,-32.29,9.65
43,44,300315,掌趣科技,5.62,-2.6,-0.15,985716.0,558441435.72,3.12,5.77,5.59,5.75,5.77,3.82,58.51,3.13
