,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300878,维康药业,17.99,12.09,1.94,110343,192621975.34,12.27,18.3,16.33,16.57,16.05,7.66,44.3,1.93
1,2,603139,康惠制药,20.7,9.99,1.88,5261,10890270.0,0.0,20.7,20.7,20.7,18.82,0.53,-40.5,2.27
2,3,300519,新光药业,15.0,6.76,0.95,179631,270412845.64,8.68,15.88,14.66,14.66,14.05,15.74,47.64,2.93
3,4,688068,热景生物,91.33,4.12,3.61,32660,296952985.0,11.97,96.0,85.5,86.57,87.72,3.53,-47.12,2.74
4,5,300039,上海凯宝,6.4,1.75,0.11,825320,539924585.39,6.36,6.8,6.4,6.59,6.29,9.0,23.13,1.74
5,6,605199,葫芦娃,16.99,1.55,0.26,296414,515707486.0,8.73,18.3,16.84,17.51,16.73,7.41,60.78,5.89
6,7,300529,健帆生物,26.05,1.01,0.26,74339,193079313.25,1.94,26.23,25.73,25.79,25.79,1.45,19.71,6.56
7,8,002422,科伦药业,31.58,0.96,0.3,154553,482345687.11,2.72,31.65,30.8,31.25,31.28,1.18,15.32,2.24
8,9,002317,众生药业,11.32,0.8,0.09,289249,329322069.15,2.23,11.53,11.28,11.45,11.23,3.8,48.59,2.2
9,10,300199,翰宇药业,13.24,0.53,0.07,451105,603791496.06,2.89,13.6,13.22,13.23,13.17,6.39,-251.99,16.54
10,11,002412,汉森制药,6.31,0.48,0.03,225866,144090540.73,3.5,6.51,6.29,6.46,6.28,4.54,18.21,1.51
11,12,688799,华纳药厂,40.25,0.42,0.17,13784,55585542.0,1.85,40.75,40.01,40.48,40.08,1.47,21.9,2.08
12,13,002728,特一药业,8.28,0.12,0.01,242312,203768363.07,3.99,8.6,8.27,8.5,8.27,6.47,527.8,2.43
13,14,002424,ST百灵,4.25,0.0,0.0,756637,328762783.81,5.65,4.46,4.22,4.3,4.25,6.24,50.5,1.71
14,15,002737,葵花药业,18.29,0.0,0.0,82390,151714758.24,2.62,18.68,18.2,18.61,18.29,1.41,13.65,2.38
15,16,300158,振东制药,4.22,0.0,0.0,571531,246930162.06,7.11,4.52,4.22,4.32,4.22,5.71,79.3,0.83
16,17,600479,千金药业,10.4,-0.1,-0.01,118985,124773895.0,2.59,10.63,10.36,10.61,10.41,2.84,19.68,1.83
17,18,000705,浙江震元,8.22,-0.12,-0.01,133605,110484516.68,3.16,8.43,8.17,8.35,8.23,4.74,47.28,1.39
18,19,002644,佛慈制药,7.92,-0.13,-0.01,99759,80086347.4,4.16,8.21,7.88,8.12,7.93,1.95,77.63,2.29
19,20,002038,双鹭药业,6.89,-0.72,-0.05,109191,75651049.65,2.02,7.0,6.86,6.95,6.94,1.28,-317.22,1.26
20,21,002437,誉衡药业,2.51,-0.79,-0.02,565484,142921936.0,3.16,2.57,2.49,2.53,2.53,2.58,23.39,3.0
21,22,688278,特宝生物,80.95,-0.81,-0.66,25698,208742753.0,2.03,82.31,80.65,81.92,81.61,0.63,39.79,12.9
22,23,600664,哈药股份,3.66,-0.81,-0.03,398314,147027198.0,2.71,3.74,3.64,3.71,3.69,1.58,13.6,1.77
23,24,300049,福瑞股份,33.8,-0.97,-0.33,36010,122531259.11,2.08,34.43,33.72,34.3,34.13,1.54,66.2,5.6
24,25,002898,赛隆药业,8.77,-1.02,-0.09,84833,74221852.14,3.16,8.9,8.62,8.86,8.86,8.38,-313.47,2.92
25,26,003020,立方制药,18.71,-1.11,-0.21,9301,17519756.95,2.38,19.12,18.67,18.87,18.92,0.67,22.56,2.11
26,27,300194,福安药业,4.4,-1.12,-0.05,280436,124636762.91,2.7,4.51,4.39,4.46,4.45,2.9,13.02,1.19
27,28,603538,美诺华,13.76,-1.15,-0.16,31978,44113049.0,2.3,13.98,13.66,13.87,13.92,1.5,35.67,1.43
28,29,300110,华仁药业,3.2,-1.23,-0.04,233711,75248117.4,2.47,3.26,3.18,3.24,3.24,1.98,29.7,1.37
29,30,300485,赛升药业,7.32,-1.48,-0.11,41464,30685655.2,2.83,7.52,7.31,7.44,7.43,1.51,-26.93,1.06
30,31,300482,万孚生物,23.48,-1.51,-0.36,49178,116105717.33,1.89,23.9,23.45,23.84,23.84,1.14,19.45,2.11
31,32,600721,百花医药,6.67,-1.62,-0.11,109521,73628086.0,3.24,6.86,6.64,6.8,6.78,2.85,61.75,3.38
32,33,300639,凯普生物,5.99,-1.64,-0.1,72956,43896327.54,2.3,6.11,5.97,6.06,6.09,1.15,-11.09,0.86
33,34,300009,安科生物,8.68,-1.7,-0.15,158417,138652849.65,2.72,8.89,8.65,8.82,8.83,1.3,18.46,3.85
34,35,688298,东方生物,33.51,-1.7,-0.58,50368,171559787.0,4.4,34.91,33.41,34.09,34.09,2.5,-13.2,1.01
35,36,002030,达安基因,6.16,-1.75,-0.11,181814,112781355.64,2.71,6.3,6.13,6.25,6.27,1.3,-12.9,1.04
36,37,300347,泰格医药,54.9,-2.4,-1.35,90131,496324610.62,3.54,56.29,54.3,56.01,56.25,1.59,43.78,2.25
37,38,002693,双成药业,10.02,-3.56,-0.37,238050,240651710.07,3.56,10.35,9.98,10.35,10.39,5.79,-82.36,9.58
38,39,300676,华大基因,55.97,-4.0,-2.33,97470,551277653.07,4.36,58.29,55.75,58.01,58.3,2.36,-140.58,2.37
39,40,300244,迪安诊断,16.0,-4.48,-0.75,257530,418216936.48,4.0,16.65,15.98,16.64,16.75,5.14,57.31,1.42
40,41,300463,迈克生物,13.7,-4.66,-0.67,168600,234827583.48,5.64,14.44,13.63,14.36,14.37,3.43,22.37,1.28
41,42,688076,诺泰生物,56.6,-4.71,-2.8,50447,292279409.0,5.64,59.8,56.45,59.09,59.4,2.3,31.04,4.67
42,43,300436,广生堂,34.58,-5.16,-1.88,43112,152647061.0,6.12,36.8,34.57,36.53,36.46,3.15,-58.47,12.35
43,44,688289,圣湘生物,22.76,-6.07,-1.47,165491,385888379.0,6.77,24.33,22.69,24.23,24.23,2.86,50.91,1.82
44,45,300723,一品红,22.55,-8.18,-2.01,115749,268315539.0,10.55,25.0,22.41,24.82,24.56,2.74,-30.99,4.67
