,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300255,常山药业,20.5,3.27,0.65,213441,433330653.29,6.4,20.93,19.66,19.95,19.85,2.33,1938.32,10.36
1,2,603707,健友股份,14.38,1.34,0.19,110542,159242999.0,3.66,14.7,14.18,14.21,14.19,0.68,28.76,3.73
2,3,300026,红日药业,3.63,0.28,0.01,1175914,435582069.43,5.25,3.81,3.62,3.74,3.62,4.38,213.61,1.26
3,4,002550,千红制药,5.7,-0.35,-0.02,164668,94258676.23,2.1,5.78,5.66,5.73,5.72,1.81,17.67,2.95
4,5,000153,丰原药业,6.19,-0.48,-0.03,80320,49958528.2,2.57,6.3,6.14,6.24,6.22,1.77,14.65,1.44
5,6,603367,辰欣药业,13.7,-0.65,-0.09,26091,35922197.0,1.89,13.91,13.65,13.8,13.79,0.58,11.69,1.06
6,7,600062,华润双鹤,18.85,-0.68,-0.13,168490,318051038.0,1.58,19.06,18.76,19.0,18.98,1.64,12.03,1.88
7,8,002399,海普瑞,11.0,-0.72,-0.08,40219,44316490.0,2.26,11.17,10.92,11.1,11.08,0.32,15.52,1.33
8,9,002038,双鹭药业,6.89,-0.72,-0.05,109191,75651049.65,2.02,7.0,6.86,6.95,6.94,1.28,-317.22,1.26
9,10,600812,华北制药,6.3,-1.25,-0.08,174357,110472449.0,2.51,6.44,6.28,6.4,6.38,1.02,79.12,2.01
10,11,002675,东诚药业,13.16,-1.5,-0.2,56134,74470917.67,2.99,13.5,13.1,13.31,13.36,0.76,59.03,2.42
11,12,600196,复星医药,24.5,-1.8,-0.45,117445,290311453.0,2.28,25.05,24.48,24.94,24.95,0.55,24.41,1.38
12,13,002393,力生制药,17.04,-4.43,-0.79,59142,101465289.24,3.59,17.64,17.0,17.62,17.83,2.36,23.8,0.92
