,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300393,中来股份,6.32,2.6,0.16,428697,268164576.22,5.36,6.46,6.13,6.13,6.16,4.49,-17.01,1.74
1,2,300290,荣科科技,18.9,2.16,0.4,311267,578762791.0,6.7,19.16,17.92,18.23,18.5,4.87,-1370.16,14.76
2,3,002490,ST墨龙,3.72,1.36,0.05,137320,50744757.64,3.54,3.76,3.63,3.67,3.67,2.54,34.04,6.05
3,4,002802,洪汇新材,14.55,1.25,0.18,32985,47448737.06,3.83,14.65,14.1,14.31,14.37,1.81,45.01,4.18
4,5,000428,华天酒店,3.21,0.94,0.03,145365,46385002.8,1.89,3.22,3.16,3.19,3.18,1.43,-21.98,2.01
5,6,002159,三特索道,15.56,0.58,0.09,43075,66495736.52,1.81,15.58,15.3,15.4,15.47,3.11,13.31,2.0
6,7,688550,瑞联新材,38.77,-0.21,-0.08,39622,154754975.0,5.07,40.36,38.39,38.4,38.85,2.3,26.66,2.2
7,8,002108,沧州明珠,3.58,-0.28,-0.01,301613,107860016.62,1.95,3.61,3.54,3.6,3.59,1.83,32.31,1.17
8,9,300697,电工合金,14.45,-0.34,-0.05,103664,150530723.24,3.45,14.76,14.26,14.38,14.5,4.07,36.8,4.28
9,10,600844,丹化科技,2.74,-0.36,-0.01,179788,49341914.0,2.18,2.78,2.72,2.76,2.75,2.19,-10.52,8.2
10,11,600149,廊坊发展,4.5,-0.44,-0.02,69017,31167309.0,2.21,4.58,4.48,4.51,4.52,1.82,18.35,7.88
11,12,603329,上海雅仕,13.7,-0.51,-0.07,22938,31419988.0,2.03,13.86,13.58,13.81,13.77,1.44,50.3,1.96
12,13,000531,穗恒运Ａ,6.7,-0.59,-0.04,97633,65557906.8,2.23,6.8,6.65,6.68,6.74,1.07,28.49,1.05
13,14,002817,黄山胶囊,6.76,-0.59,-0.04,53397,36130499.98,3.38,6.91,6.68,6.77,6.8,1.84,37.4,2.23
14,15,600354,敦煌种业,5.63,-1.05,-0.06,96802,54765703.0,1.23,5.7,5.63,5.67,5.69,1.83,123.92,4.82
15,16,600052,东望时代,4.45,-1.11,-0.05,63577,28471042.0,2.22,4.54,4.44,4.49,4.5,0.75,30.23,1.25
16,17,002005,ST德豪,1.77,-1.12,-0.02,80599,14256865.0,2.79,1.8,1.75,1.8,1.79,0.46,-45.85,9.65
17,18,002022,科华生物,5.98,-1.48,-0.09,66631,40116131.52,2.47,6.11,5.96,6.06,6.07,1.3,-18.89,0.79
18,19,300205,ST天喻,4.6,-1.5,-0.07,60414,27839216.0,2.78,4.68,4.55,4.63,4.67,1.42,-13.13,1.46
19,20,603117,万林物流,5.8,-1.53,-0.09,82845,48061686.0,2.55,5.89,5.74,5.89,5.89,1.38,125.59,3.4
20,21,300239,东宝生物,5.49,-1.79,-0.1,103307,57372330.0,2.86,5.63,5.47,5.6,5.59,1.75,36.88,1.92
21,22,300061,旗天科技,12.66,-2.16,-0.28,196152,249669836.16,2.63,12.91,12.57,12.9,12.94,3.16,-312.37,11.16
22,23,300561,汇金科技,43.15,-2.27,-1.0,156523,689722788.66,4.3,44.98,43.08,43.8,44.15,8.68,-2603.91,22.58
23,24,300149,睿智医药,6.37,-2.6,-0.17,82700,53208583.7,3.36,6.58,6.36,6.54,6.54,1.66,-38.58,2.32
24,25,300668,杰恩设计,18.83,-2.69,-0.52,18974,36085013.0,2.58,19.31,18.81,19.22,19.35,2.15,162.33,2.99
25,26,000711,*ST京蓝,1.76,-2.76,-0.05,403831,71490891.0,3.87,1.81,1.74,1.8,1.81,1.77,-57.63,7.46
26,27,300103,达刚控股,6.66,-2.77,-0.19,70321,47151200.5,3.36,6.85,6.62,6.79,6.85,2.22,-57.42,3.52
27,28,300746,汉嘉设计,12.93,-3.0,-0.4,61663,80468754.4,3.23,13.33,12.9,13.3,13.33,2.78,497.47,2.47
28,29,300859,西域旅游,37.33,-3.09,-1.19,72460,270460987.24,4.85,38.4,36.53,38.14,38.52,4.67,37.63,7.36
29,30,000702,正虹科技,7.04,-3.43,-0.25,111102,79066677.26,3.84,7.3,7.02,7.3,7.29,4.17,-82.29,5.96
30,31,300270,中威电子,8.01,-3.61,-0.3,110619,89671051.33,3.97,8.31,7.98,8.26,8.31,4.31,-36.12,3.92
31,32,002510,天汽模,5.89,-3.76,-0.23,515119,306398421.46,3.76,6.1,5.87,6.06,6.12,5.13,49.61,2.47
32,33,002024,ST易购,2.24,-3.86,-0.09,814814,185137681.91,4.29,2.33,2.23,2.33,2.33,0.89,25.98,1.72
33,34,002348,高乐股份,3.62,-4.23,-0.16,320969,117728549.0,3.97,3.76,3.61,3.76,3.78,3.61,-75.1,7.16
34,35,002708,光洋股份,13.35,-5.25,-0.74,971747,1331437205.32,8.52,14.45,13.25,13.64,14.09,18.91,140.06,4.29
35,36,600615,丰华股份,12.49,-5.45,-0.72,71388,90944092.0,4.92,13.13,12.48,13.08,13.21,3.8,379.17,3.66
36,37,430198,微创光电,13.37,-6.83,-0.98,75326,102963170.34,7.25,14.35,13.31,14.22,14.35,10.72,393.48,4.87
37,38,300134,大富科技,13.21,-8.77,-1.27,456514,614081528.09,4.97,13.9,13.18,13.88,14.48,6.41,-33.92,2.4
38,39,603677,奇精机械,27.91,-10.0,-3.1,264536,751804171.0,5.93,29.75,27.91,28.79,31.01,13.73,79.7,4.66
