,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601163,三角轮胎,15.29,-0.2,-0.03,52299,80173691.0,1.7,15.48,15.22,15.32,15.32,0.65,10.38,0.92
1,2,002666,德联集团,4.94,-0.6,-0.03,232722,115448217.5,2.62,5.03,4.9,4.94,4.97,4.65,37.23,1.11
2,3,000589,贵州轮胎,5.01,-0.79,-0.04,313451,157954627.97,1.78,5.08,4.99,5.04,5.05,2.04,10.43,0.89
3,4,688208,道通科技,44.13,-1.28,-0.57,137928,613728418.0,5.57,46.07,43.58,44.91,44.7,3.05,31.14,5.61
4,5,300014,亿纬锂能,50.96,-1.43,-0.74,280522,1427474714.14,2.55,51.63,50.31,51.58,51.7,1.51,24.52,2.85
5,6,002405,四维图新,9.0,-1.64,-0.15,395740,358789438.08,2.62,9.21,8.97,9.15,9.15,1.68,-32.9,2.27
6,7,603266,天龙股份,18.51,-2.53,-0.48,128000,237813122.0,4.69,19.15,18.26,18.92,18.99,6.44,33.44,2.5
7,8,002079,苏州固锝,10.27,-2.56,-0.27,177487,183940265.52,2.56,10.53,10.26,10.5,10.54,2.19,154.4,2.79
8,9,601965,中国汽研,18.92,-2.87,-0.56,81073,153957091.0,3.54,19.46,18.77,19.43,19.48,0.82,20.76,2.69
9,10,300462,华铭智能,9.86,-3.05,-0.31,68780,68490019.0,4.62,10.25,9.78,10.1,10.17,5.03,-25.43,1.29
10,11,002073,软控股份,9.76,-3.08,-0.31,469782,462730265.9,2.88,10.01,9.72,9.98,10.07,4.74,21.73,1.77
11,12,002813,路畅科技,23.79,-3.21,-0.79,21442,51608926.5,3.25,24.5,23.7,24.49,24.58,1.81,-53.12,8.72
12,13,603390,通达电气,11.25,-3.27,-0.38,186405,212273644.0,4.39,11.75,11.24,11.6,11.63,5.33,177.64,2.51
13,14,603358,华达科技,38.79,-3.34,-1.34,48911,191042944.0,4.86,40.2,38.25,40.0,40.13,1.11,66.79,5.35
14,15,002232,启明信息,19.99,-3.62,-0.75,159398,324387067.5,5.74,21.1,19.91,20.77,20.74,3.9,-182.87,6.06
15,16,002906,华阳集团,34.87,-3.7,-1.34,97412,343461692.98,5.0,36.48,34.67,36.48,36.21,1.86,29.54,2.92
16,17,002593,日上集团,5.45,-3.88,-0.22,374924,205961290.5,3.53,5.63,5.43,5.62,5.67,6.57,105.9,1.84
17,18,002284,亚太股份,9.74,-3.94,-0.4,311520,307098422.25,3.85,10.1,9.71,10.07,10.14,4.26,34.38,2.51
18,19,300643,万通智控,14.44,-4.05,-0.61,68439,99871908.52,3.92,15.0,14.41,15.0,15.05,2.97,29.5,3.02
19,20,002213,大为股份,15.74,-4.78,-0.79,154156,246113800.4,4.84,16.5,15.7,16.5,16.53,7.48,-105.73,6.37
20,21,300304,云意电气,8.9,-4.81,-0.45,387984,347349237.8,4.39,9.23,8.82,9.14,9.35,4.53,19.49,2.6
21,22,603023,*ST威帝,3.06,-4.97,-0.16,109256,33857578.0,4.97,3.22,3.06,3.17,3.22,1.96,360.98,2.2
22,23,603197,保隆科技,44.48,-5.76,-2.72,57914,261327161.0,5.91,47.0,44.21,47.0,47.2,2.74,28.46,3.05
23,24,688288,鸿泉物联,33.44,-5.8,-2.06,67778,233272379.0,7.97,36.16,33.33,36.12,35.5,6.73,-966.02,4.64
24,25,002766,索菱股份,6.49,-5.81,-0.4,514697,341237522.92,5.37,6.85,6.48,6.81,6.89,6.05,93.11,6.9
25,26,300445,康斯特,20.41,-6.16,-1.34,107399,223719135.3,5.06,21.48,20.38,21.44,21.75,7.56,36.37,3.75
26,27,300507,苏奥传感,8.52,-6.48,-0.59,706367,610582765.99,5.71,9.0,8.48,9.0,9.11,9.14,46.32,3.32
27,28,300007,汉威科技,43.05,-7.32,-3.4,416065,1815630669.44,8.31,46.52,42.66,45.65,46.45,14.7,132.5,4.93
