,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301396,宏景科技,86.25,3.98,3.3,185315,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
1,2,300846,首都在线,30.45,3.22,0.95,1505927,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
2,3,002837,英维克,44.15,-1.19,-0.53,174678,770935924.45,2.98,44.89,43.56,44.64,44.68,2.7,69.82,11.77
3,4,300657,弘信电子,37.85,-1.23,-0.47,520284,1987111117.6,3.94,38.92,37.41,38.03,38.32,11.39,253.44,13.93
4,5,603296,华勤技术,78.95,-1.77,-1.42,63434,502755515.0,2.4,80.43,78.5,80.0,80.37,1.11,29.35,3.71
5,6,002467,二六三,6.08,-2.41,-0.15,479122,293442054.37,2.41,6.22,6.07,6.19,6.23,3.51,97.23,4.44
6,7,002335,科华数据,48.19,-2.59,-1.28,394785,1922296000.44,3.74,49.84,47.99,49.3,49.47,9.85,70.07,3.95
7,8,300271,华宇软件,8.2,-2.61,-0.22,227164,188464852.54,3.21,8.47,8.2,8.33,8.42,2.85,-18.95,1.64
8,9,603039,泛微网络,65.81,-2.65,-1.79,20621,136528062.0,3.33,67.67,65.42,66.4,67.6,0.79,149.18,8.36
9,10,600633,浙数文化,14.14,-2.82,-0.41,485955,698095785.0,4.05,14.73,14.14,14.4,14.55,3.83,28.33,1.79
10,11,301165,锐捷网络,71.51,-2.85,-2.1,59993,435012689.33,3.23,73.78,71.4,73.0,73.61,8.8,74.01,9.23
11,12,000977,浪潮信息,56.63,-2.86,-1.67,443668,2536951292.44,2.88,58.18,56.5,57.88,58.3,3.02,48.31,4.43
12,13,300348,长亮科技,14.79,-3.08,-0.47,306628,458355469.5,2.88,15.2,14.76,15.03,15.26,4.33,2262.85,5.94
13,14,600845,宝信软件,30.38,-3.28,-1.03,251649,775186236.0,3.31,31.39,30.35,31.23,31.41,1.18,34.04,7.86
14,15,301428,世纪恒通,46.16,-3.43,-1.64,66879,315484687.93,5.23,48.5,46.0,47.57,47.8,10.93,52.04,3.67
15,16,834021,流金科技,6.88,-3.51,-0.25,165718,115305662.31,5.75,7.19,6.78,7.05,7.13,6.58,-70.76,3.33
16,17,300454,深信服,104.48,-3.75,-4.07,74929,794633403.58,3.71,108.5,104.47,107.36,108.55,2.69,223.9,4.81
17,18,002599,盛通股份,10.79,-4.26,-0.48,359281,390023116.58,4.44,11.2,10.7,11.19,11.27,8.92,9620.0,4.02
18,19,002212,天融信,8.47,-4.4,-0.39,486695,418159694.3,3.27,8.76,8.47,8.76,8.86,4.17,-44.26,1.08
19,20,002065,东华软件,11.21,-4.51,-0.53,1602839,1825837556.72,4.34,11.7,11.19,11.63,11.74,5.51,55.01,3.04
20,21,000034,神州数码,45.07,-4.82,-2.28,470830,2152420367.15,4.03,46.86,44.95,46.8,47.35,8.37,25.7,2.96
21,22,300380,安硕信息,47.99,-4.97,-2.51,161324,796217565.38,6.95,51.5,47.99,50.41,50.5,12.67,993.11,17.91
22,23,600602,云赛智联,24.27,-7.08,-1.85,1086032,2731601648.0,8.69,26.35,24.08,25.83,26.12,10.11,157.63,7.05
23,24,603881,数据港,37.35,-8.5,-3.47,791608,3048668724.0,8.16,40.07,36.74,39.5,40.82,13.22,169.15,6.93
