,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300067,安诺其,7.41,15.6,1.0,4137554.0,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
1,2,300541,先进数通,15.94,4.46,0.68,1113823.0,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
2,3,603985,恒润股份,15.31,3.45,0.51,398200.0,610552025.0,7.64,15.78,14.65,14.66,14.8,9.03,-68.7,2.06
3,4,603228,景旺电子,35.69,1.97,0.69,270611.0,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
4,5,600745,闻泰科技,34.89,0.58,0.2,322446.0,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
5,6,300476,胜宏科技,85.16,0.54,0.46,543697.0,4691312803.89,5.63,88.77,84.0,84.0,84.7,6.36,63.28,8.22
6,7,688316,青云科技-U,76.03,-0.48,-0.37,50825.0,391116152.0,6.92,78.98,73.69,73.69,76.4,14.14,-36.98,42.96
7,8,002151,北斗星通,26.54,-0.75,-0.2,68595.0,182998464.25,2.02,27.02,26.48,26.53,26.74,1.55,-169.76,2.63
8,9,603629,利通电子,30.15,-0.99,-0.3,295036.0,891570324.0,5.42,31.26,29.61,30.13,30.45,11.58,111.53,4.73
9,10,300679,电连技术,55.79,-0.99,-0.56,64425.0,356196249.82,3.25,56.37,54.54,56.2,56.35,1.8,38.67,4.97
10,11,002229,鸿博股份,13.05,-1.06,-0.14,216661.0,281149768.12,2.65,13.19,12.84,13.01,13.19,4.39,-78.3,4.36
11,12,601138,工业富联,20.63,-1.06,-0.22,714499.0,1479176185.0,1.58,20.91,20.58,20.78,20.85,0.36,17.65,2.68
12,13,603296,华勤技术,78.95,-1.77,-1.42,63434.0,502755515.0,2.4,80.43,78.5,80.0,80.37,1.11,29.35,3.71
13,14,688661,和林微纳,48.6,-1.8,-0.89,31508.0,151942731.0,5.05,49.5,47.0,49.5,49.49,2.7,-645.97,4.7
14,15,603283,赛腾股份,61.19,-2.06,-1.29,36812.0,226940880.0,2.61,62.67,61.04,62.31,62.48,1.89,19.31,4.24
15,16,300811,铂科新材,49.09,-2.15,-1.08,36100.0,178772326.36,2.73,50.33,48.96,49.83,50.17,1.57,37.03,5.68
16,17,300612,宣亚国际,15.4,-2.22,-0.35,50171.0,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
17,18,002929,润建股份,58.6,-2.35,-1.41,164637.0,972260205.34,5.58,60.35,57.0,59.48,60.01,7.72,42.76,2.66
18,19,300036,超图软件,16.92,-2.37,-0.41,91153.0,155863895.55,2.77,17.36,16.88,17.24,17.33,2.08,237.7,2.92
19,20,300825,阿尔特,12.93,-2.49,-0.33,275986.0,364756548.38,4.98,13.56,12.9,13.38,13.26,5.7,3889.36,2.65
20,21,688112,鼎阳科技,29.58,-2.54,-0.77,8991.0,26866046.0,2.87,30.42,29.55,30.24,30.35,0.56,42.24,3.07
21,22,300315,掌趣科技,5.62,-2.6,-0.15,985716.0,558441435.72,3.12,5.77,5.59,5.75,5.77,3.82,58.51,3.13
22,23,603002,宏昌电子,6.3,-2.78,-0.18,334888.0,214290962.0,3.24,6.51,6.3,6.42,6.48,3.04,145.94,2.08
23,24,300496,中科创达,61.83,-2.86,-1.82,174632.0,1097420513.95,5.0,64.98,61.8,63.01,63.65,4.76,140.37,2.96
24,25,000977,浪潮信息,56.63,-2.86,-1.67,443668.0,2536951292.44,2.88,58.18,56.5,57.88,58.3,3.02,48.31,4.43
25,26,300560,中富通,14.16,-3.08,-0.45,83562.0,119083642.31,3.29,14.57,14.09,14.48,14.61,4.47,185.18,2.99
26,27,002611,东方精工,13.45,-3.1,-0.43,2029317.0,2819493020.53,7.71,14.34,13.27,13.77,13.88,20.25,32.72,3.29
27,28,002851,麦格米特,59.93,-3.12,-1.93,223113.0,1347906598.82,3.85,61.79,59.41,61.25,61.86,4.89,59.65,5.66
28,29,001287,中电港,20.5,-3.21,-0.68,121480.0,252556102.0,3.16,21.17,20.5,21.07,21.18,2.78,78.5,3.05
29,30,002913,奥士康,27.57,-3.26,-0.93,36768.0,102661823.14,3.33,28.5,27.55,28.33,28.5,1.44,23.54,2.03
