,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300461,田中精机,25.6,10.44,2.42,198138,496016992.0,17.26,26.65,22.65,22.86,23.18,24.62,-87.83,6.19
1,2,600456,宝钛股份,36.68,2.43,0.87,673885,2514465969.0,8.91,39.08,35.89,35.92,35.81,14.1,25.44,2.54
2,3,300050,世纪鼎利,6.14,1.99,0.12,459234,274105343.0,5.81,6.15,5.8,6.03,6.02,8.43,-44.96,8.48
3,4,002129,TCL中环,9.32,1.86,0.17,1377266,1291151630.51,3.72,9.53,9.19,9.19,9.15,3.41,-4.66,1.09
4,5,873726,卓兆点胶,29.6,1.09,0.32,25198,74213882.97,4.47,30.01,28.7,29.4,29.28,10.83,-88.58,4.26
5,6,002947,恒铭达,40.31,0.98,0.39,95964,383347954.9,4.53,40.98,39.17,39.6,39.92,4.99,24.92,3.43
6,7,600745,闻泰科技,34.89,0.58,0.2,322446,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
7,8,601208,东材科技,9.47,0.53,0.05,157034,147395256.0,2.76,9.53,9.27,9.42,9.42,1.75,26.97,1.94
8,9,002903,宇环数控,24.59,0.24,0.06,618143,1595578767.49,13.05,26.98,23.78,25.89,24.53,59.39,215.14,4.86
9,10,301338,凯格精机,37.23,0.0,0.0,49529,184243101.3,4.27,37.99,36.4,36.82,37.23,14.44,67.46,2.75
10,11,002613,北玻股份,4.48,0.0,0.0,217136,97285165.5,2.01,4.52,4.43,4.45,4.48,3.57,39.6,2.21
11,12,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
12,13,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
13,14,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
14,15,603648,畅联股份,10.04,-0.69,-0.07,56271,56778496.0,3.07,10.27,9.96,10.11,10.11,1.55,27.8,1.97
15,16,001391,国货航,6.64,-0.75,-0.05,322885,215115438.04,1.2,6.7,6.62,6.69,6.69,3.85,55.04,3.41
16,17,688157,松井股份,44.3,-0.83,-0.37,4745,20955471.0,1.75,44.64,43.86,44.5,44.67,0.42,55.53,3.74
17,18,002384,东山精密,34.13,-0.9,-0.31,450815,1541631886.37,2.82,34.78,33.81,34.44,34.44,3.25,40.91,3.09
18,19,601138,工业富联,20.63,-1.06,-0.22,714499,1479176185.0,1.58,20.91,20.58,20.78,20.85,0.36,17.65,2.68
19,20,002426,胜利精密,3.7,-1.07,-0.04,3832857,1415625210.37,8.02,3.85,3.55,3.71,3.74,11.26,-329.62,3.81
20,21,300227,光韵达,9.22,-1.07,-0.1,436720,409652001.44,5.47,9.62,9.11,9.2,9.32,10.58,105.49,2.87
21,22,002916,深南电路,131.05,-1.08,-1.43,78778,1033946831.81,2.77,133.48,129.81,132.22,132.48,1.54,35.8,4.6
22,23,601231,环旭电子,16.98,-1.11,-0.19,151414,257924783.0,2.85,17.33,16.84,17.1,17.17,0.69,22.51,2.12
23,24,002938,鹏鼎控股,36.24,-1.12,-0.41,77248,281169434.27,2.1,36.87,36.1,36.51,36.65,0.34,23.21,2.62
24,25,301389,隆扬电子,23.81,-1.2,-0.29,91218,219265705.0,2.9,24.46,23.76,24.27,24.1,11.11,82.09,3.04
25,26,000970,中科三环,12.82,-1.23,-0.16,250374,323067305.53,2.7,13.09,12.74,12.95,12.98,2.06,1297.96,2.42
26,27,688559,海目星,33.3,-1.25,-0.42,45162,151577532.0,2.79,34.15,33.21,33.59,33.72,1.83,-53.9,2.53
27,28,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
28,29,002475,立讯精密,39.86,-1.39,-0.56,644422,2592809766.74,3.93,41.19,39.6,40.65,40.42,0.89,23.86,4.5
29,30,600703,三安光电,12.4,-1.43,-0.18,399107,497472559.0,2.38,12.64,12.34,12.56,12.58,0.8,187.72,1.68
30,31,301021,英诺激光,31.32,-1.45,-0.46,59156,184860113.0,3.02,31.86,30.9,31.2,31.78,3.89,4149.63,4.86
31,32,600884,杉杉股份,7.82,-1.51,-0.12,690224,542840437.0,2.39,7.99,7.8,7.89,7.94,3.93,569.35,0.8
32,33,688093,世华科技,23.52,-1.55,-0.37,31275,73192793.0,4.98,24.2,23.01,23.86,23.89,1.19,22.09,3.15
33,34,002008,大族激光,29.11,-1.59,-0.47,463934,1374724723.35,4.73,30.44,29.04,29.35,29.58,4.74,16.11,1.93
34,35,603203,快克智能,25.48,-1.66,-0.43,29135,74491169.0,2.16,25.95,25.39,25.95,25.91,1.17,29.23,4.65
35,36,301392,汇成真空,83.48,-1.67,-1.42,13094,109961513.61,3.8,85.5,82.27,84.11,84.9,5.82,97.09,11.37
36,37,002635,安洁科技,16.63,-1.77,-0.3,187212,315396308.44,3.25,17.17,16.62,16.8,16.93,4.73,37.14,1.89
37,38,688661,和林微纳,48.6,-1.8,-0.89,31508,151942731.0,5.05,49.5,47.0,49.5,49.49,2.7,-645.97,4.7
38,39,000049,德赛电池,23.61,-1.99,-0.48,64127,152547251.89,2.49,24.11,23.51,24.05,24.09,1.67,30.8,1.42
39,40,600584,长电科技,36.26,-2.03,-0.75,312769,1142045152.0,2.54,37.04,36.1,36.91,37.01,1.75,45.21,2.42
40,41,000823,超声电子,11.0,-2.05,-0.23,182251,202012469.28,3.03,11.28,10.94,11.19,11.23,3.39,27.38,1.27
41,42,603283,赛腾股份,61.19,-2.06,-1.29,36812,226940880.0,2.61,62.67,61.04,62.31,62.48,1.89,19.31,4.24
42,43,688371,菲沃泰,16.35,-2.1,-0.35,16005,26375563.0,2.93,16.78,16.29,16.59,16.7,1.26,119.51,2.88
43,44,300207,欣旺达,22.63,-2.12,-0.49,255161,582548237.17,3.03,23.26,22.56,23.04,23.12,1.49,25.84,1.77
44,45,601609,金田股份,6.41,-2.14,-0.14,197545,128135422.0,3.51,6.62,6.39,6.55,6.55,1.33,24.8,1.21
45,46,000050,深天马Ａ,8.55,-2.17,-0.19,171858,147957196.46,2.4,8.72,8.51,8.71,8.74,0.7,-31.43,0.77
46,47,002182,宝武镁业,12.92,-2.2,-0.29,229317,298581222.67,2.8,13.23,12.86,13.18,13.21,2.65,62.5,2.4
47,48,300218,安利股份,16.85,-2.21,-0.38,41358,70137512.6,2.73,17.22,16.75,17.12,17.23,1.91,18.25,2.64
48,49,688035,德邦科技,39.06,-2.28,-0.91,31390,123817403.0,3.45,40.28,38.9,39.67,39.97,3.53,57.21,2.42
49,50,300868,杰美特,31.51,-2.29,-0.74,30012,95045482.0,3.84,32.29,31.05,31.65,32.25,3.74,299.96,2.63
50,51,301180,万祥科技,14.26,-2.33,-0.34,36640,52893954.99,3.84,14.77,14.21,14.6,14.6,0.92,198.91,4.25
51,52,300787,海能实业,13.55,-2.38,-0.33,40029,54633702.8,2.74,13.88,13.5,13.88,13.88,2.48,52.49,2.45
52,53,603328,依顿电子,10.63,-2.39,-0.26,159196,170716886.0,3.12,10.92,10.58,10.82,10.89,1.59,23.81,2.63
53,54,600392,盛和资源,11.32,-2.41,-0.28,290706,331298590.0,3.19,11.6,11.23,11.57,11.6,1.66,160.24,2.26
54,55,002655,共达电声,15.15,-2.45,-0.38,1402904,2163931601.76,13.01,16.47,14.45,14.85,15.53,38.98,70.04,8.21
55,56,688112,鼎阳科技,29.58,-2.54,-0.77,8991,26866046.0,2.87,30.42,29.55,30.24,30.35,0.56,42.24,3.07
56,57,002079,苏州固锝,10.27,-2.56,-0.27,177487,183940265.52,2.56,10.53,10.26,10.5,10.54,2.19,154.4,2.79
57,58,002241,歌尔股份,26.99,-2.56,-0.71,542249,1478896912.92,4.15,28.04,26.89,27.59,27.7,1.77,30.0,2.93
58,59,300802,矩子科技,19.02,-2.61,-0.51,36980,70877954.57,2.82,19.5,18.95,19.48,19.53,1.9,66.94,3.37
59,60,300073,当升科技,42.15,-2.66,-1.15,127215,543610314.47,3.26,43.55,42.14,43.19,43.3,2.52,34.49,1.62
60,61,600361,创新新材,4.38,-2.67,-0.12,892666,394385738.0,3.78,4.52,4.35,4.47,4.5,5.35,17.07,1.7
61,62,300686,智动力,9.01,-2.8,-0.26,75842,68744917.72,3.24,9.27,8.97,9.19,9.27,3.92,-21.87,2.11
62,63,300088,长信科技,6.46,-2.86,-0.19,748887,487604117.37,3.31,6.63,6.41,6.6,6.65,3.01,41.31,1.88
63,64,300836,佰奥智能,51.28,-2.86,-1.51,7888,40974631.2,5.08,53.48,50.8,53.0,52.79,1.85,135.21,6.3
64,65,301086,鸿富瀚,51.05,-3.04,-1.6,21529,111055869.5,3.3,52.63,50.89,52.48,52.65,6.63,31.32,2.36
65,66,300460,惠伦晶体,12.75,-3.12,-0.41,91720,117327379.4,2.89,13.05,12.67,13.0,13.16,3.27,1575.65,4.02
66,67,300951,博硕科技,31.7,-3.15,-1.03,24393,78225743.74,3.36,32.72,31.62,32.62,32.73,1.61,24.93,2.35
67,68,002957,科瑞技术,17.47,-3.16,-0.57,130943,231373833.32,3.6,17.98,17.33,17.84,18.04,3.19,33.39,2.42
68,69,300556,丝路视觉,19.83,-3.17,-0.65,53163,106394151.0,3.42,20.4,19.7,20.4,20.48,5.17,-8.36,3.39
69,70,603256,宏和科技,9.08,-3.3,-0.31,67751,61932882.0,3.83,9.38,9.02,9.38,9.39,0.77,775.34,5.56
70,71,688518,联赢激光,16.35,-3.31,-0.56,88791,147373255.0,3.84,16.97,16.32,16.83,16.91,2.6,31.82,1.77
71,72,688125,安达智能,39.13,-3.33,-1.35,10102,39883069.0,3.85,40.4,38.84,40.13,40.48,4.63,-103.55,1.68
72,73,002981,朝阳科技,23.7,-3.34,-0.82,30872,73740289.9,3.55,24.51,23.64,24.48,24.52,2.58,31.74,3.23
73,74,002273,水晶光电,23.11,-3.39,-0.81,353833,827096434.66,3.26,23.86,23.08,23.72,23.92,2.61,27.98,3.64
74,75,688079,美迪凯,9.93,-3.4,-0.35,45532,45763196.0,3.4,10.27,9.92,10.23,10.28,1.14,-41.09,2.96
75,76,603271,永杰新材,39.4,-3.43,-1.4,65627,261135176.0,3.46,40.8,39.39,40.8,40.8,17.01,24.26,2.97
76,77,002416,爱施德,12.86,-3.45,-0.46,304453,397316918.95,3.15,13.27,12.85,13.25,13.32,2.49,22.77,2.66
77,78,301312,智立方,48.6,-3.48,-1.75,26708,131320945.4,3.71,50.33,48.46,50.01,50.35,10.34,71.6,3.61
78,79,688025,杰普特,54.66,-3.53,-2.0,38242,210170869.0,4.82,56.83,54.1,56.77,56.66,4.02,37.54,2.55
79,80,300410,正业科技,5.69,-3.56,-0.21,151676,87392017.0,4.41,5.92,5.66,5.84,5.9,4.13,-13.73,6.42
80,81,688678,福立旺,28.16,-3.56,-1.04,129340,355595266.0,7.84,28.9,26.61,28.9,29.2,5.18,129.63,3.95
81,82,002587,奥拓电子,6.21,-3.57,-0.23,235159,147336962.93,4.04,6.43,6.17,6.41,6.44,4.56,-153.1,3.04
82,83,605588,冠石科技,44.88,-3.59,-1.67,31516,142704056.0,4.6,46.6,44.46,46.5,46.55,4.31,211.04,3.09
83,84,688312,燕麦科技,28.98,-3.59,-1.08,14917,43838611.0,4.69,30.21,28.8,30.06,30.06,1.03,42.68,2.94
84,85,688210,统联精密,21.75,-3.59,-0.81,44785,98270741.0,4.34,22.51,21.53,22.35,22.56,4.17,47.0,2.73
85,86,300567,精测电子,68.89,-3.64,-2.6,110070,772265909.77,4.85,72.15,68.68,71.01,71.49,5.43,172.26,5.4
86,87,603327,福蓉科技,12.95,-3.65,-0.49,113200,147952168.0,3.42,13.39,12.93,13.39,13.44,1.47,52.44,4.78
87,88,300433,蓝思科技,25.14,-3.83,-1.0,503084,1275703714.23,4.09,26.02,24.95,25.94,26.14,1.01,39.63,2.65
