,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000651,格力电器,43.74,2.41,1.03,708548,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
1,2,603486,科沃斯,65.11,1.8,1.15,99793,663286012.0,7.41,68.39,63.65,63.95,63.96,1.75,45.68,5.47
2,3,600436,片仔癀,206.02,0.69,1.41,38587,801214379.0,2.93,211.0,205.01,206.51,204.61,0.64,41.79,8.7
3,4,603899,晨光股份,29.33,0.41,0.12,57319,169452533.0,3.63,30.26,29.2,29.26,29.21,0.62,19.89,3.15
4,5,000333,美的集团,75.28,0.15,0.11,384528,2903191224.54,2.21,76.43,74.77,74.77,75.17,0.56,13.64,2.76
5,6,688169,石头科技,250.0,0.09,0.22,40099,1025831309.0,6.11,264.77,249.5,256.0,249.78,2.17,23.31,3.59
6,7,002271,东方雨虹,13.5,-0.59,-0.08,393792,533216567.12,2.95,13.79,13.39,13.58,13.58,2.06,298.11,1.29
7,8,600690,海尔智家,27.5,-0.65,-0.18,381761,1056147916.0,2.42,28.05,27.38,27.57,27.68,0.61,12.77,2.36
8,9,600763,通策医疗,46.6,-0.87,-0.41,60744,284251455.0,1.79,47.23,46.39,46.75,47.01,1.36,31.37,5.05
9,10,600900,长江电力,27.4,-0.87,-0.24,741877,2042970840.0,1.41,27.76,27.37,27.67,27.64,0.31,20.62,3.25
10,11,000858,五 粮 液,134.6,-1.02,-1.39,197130,2669031188.2,2.43,137.5,134.19,135.7,135.99,0.51,15.72,4.13
11,12,688363,华熙生物,50.18,-1.03,-0.52,27292,137287733.0,2.09,50.86,49.8,50.4,50.7,0.57,147.1,3.55
12,13,600036,招商银行,44.7,-1.19,-0.54,675412,3030118215.0,1.81,45.34,44.52,45.12,45.24,0.33,7.6,0.92
13,14,300999,金龙鱼,31.56,-1.22,-0.39,73894,235096940.34,2.07,32.19,31.53,31.83,31.95,1.36,68.39,1.83
14,15,600031,三一重工,19.59,-1.31,-0.26,541887,1066483294.0,2.07,19.95,19.54,19.85,19.85,0.64,25.58,2.34
15,16,600309,万华化学,67.4,-1.36,-0.93,223937,1520653911.0,2.08,68.78,67.36,68.26,68.33,0.71,16.24,2.24
16,17,002475,立讯精密,39.86,-1.39,-0.56,644422,2592809766.74,3.93,41.19,39.6,40.65,40.42,0.89,23.86,4.5
17,18,300274,阳光电源,67.6,-1.41,-0.97,252847,1721796743.53,2.26,69.08,67.53,68.26,68.57,1.59,13.83,4.1
18,19,603501,韦尔股份,136.0,-1.42,-1.96,134741,1832940852.0,2.88,138.66,134.68,138.3,137.96,1.11,52.22,7.38
19,20,601888,中国中免,61.82,-1.43,-0.9,184301,1144253217.0,2.5,62.98,61.41,62.52,62.72,0.94,30.0,2.32
20,21,300760,迈瑞医疗,240.5,-1.43,-3.48,49600,1202174321.08,2.31,245.88,240.25,243.62,243.98,0.41,20.56,7.86
21,22,300014,亿纬锂能,50.96,-1.43,-0.74,280522,1427474714.14,2.55,51.63,50.31,51.58,51.7,1.51,24.52,2.85
22,23,300122,智飞生物,24.74,-1.63,-0.41,181382,451393984.15,2.35,25.25,24.66,25.1,25.15,1.28,20.65,1.88
