,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002115,三维通信,9.38,9.96,0.85,1694326,1565939432.87,11.96,9.38,8.36,8.51,8.53,22.53,-231.69,3.26
1,2,300081,恒信东方,8.84,6.38,0.53,1292921,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
2,3,300846,首都在线,30.45,3.22,0.95,1505927,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
3,4,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
4,5,600941,中国移动,106.65,1.57,1.65,354595,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
5,6,300500,启迪设计,11.9,0.59,0.07,102221,121421292.13,4.73,12.19,11.63,11.8,11.83,6.1,-90.7,1.75
6,7,600986,浙文互联,10.29,0.59,0.06,2324738,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
7,8,300338,*ST开元,3.81,0.53,0.02,65922,25162653.0,3.17,3.88,3.76,3.77,3.79,1.91,-31.86,-10.35
8,9,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
9,10,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
10,11,300052,ST中青宝,11.61,-0.34,-0.04,333228,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
11,12,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
12,13,003012,东鹏控股,6.34,-0.47,-0.03,55471,35271552.0,1.88,6.42,6.3,6.37,6.37,0.48,17.83,0.96
13,14,603189,网达软件,19.12,-0.62,-0.12,311815,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
14,15,002799,环球印务,7.75,-0.77,-0.06,40872,31838505.16,2.05,7.88,7.72,7.81,7.81,1.28,67.73,1.81
15,16,603237,五芳斋,18.16,-1.14,-0.21,11368,20756049.0,1.74,18.42,18.1,18.3,18.37,0.93,12.83,2.0
16,17,605168,三人行,30.38,-1.24,-0.38,24656,75171325.0,2.24,30.84,30.15,30.76,30.76,1.17,26.44,2.3
17,18,300058,蓝色光标,9.89,-1.3,-0.13,1473525,1470688899.81,2.79,10.14,9.86,9.95,10.02,6.02,152.19,3.14
18,19,300770,新媒股份,39.17,-1.34,-0.53,21201,83424289.28,1.84,39.75,39.02,39.6,39.7,0.93,13.64,2.49
19,20,002646,天佑德酒,9.48,-1.35,-0.13,68161,65300407.85,2.19,9.68,9.47,9.67,9.61,1.43,59.65,1.61
20,21,603808,歌力思,7.26,-1.36,-0.1,45486,33137039.0,2.04,7.36,7.21,7.35,7.36,1.23,93.37,0.94
21,22,002059,云南旅游,5.67,-1.39,-0.08,257844,146733612.8,2.96,5.78,5.61,5.71,5.75,2.55,31.56,3.6
22,23,002717,岭南股份,3.42,-1.44,-0.05,1090461,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
23,24,688500,慧辰股份,29.9,-1.52,-0.46,11337,34098165.0,3.99,30.88,29.67,30.26,30.36,1.53,-39.84,3.0
24,25,603598,引力传媒,17.88,-1.54,-0.28,79755,143595926.0,2.42,18.25,17.81,18.04,18.16,2.98,184.56,22.02
25,26,300413,芒果超媒,26.54,-1.67,-0.45,64088,171146895.96,2.74,27.15,26.41,26.95,26.99,0.63,25.78,2.2
26,27,603888,新华网,23.36,-1.85,-0.44,72299,170082325.0,2.61,23.87,23.25,23.71,23.8,1.39,58.36,3.49
27,28,600880,博瑞传播,4.84,-2.02,-0.1,345300,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
28,29,002712,思美传媒,5.75,-2.04,-0.12,109848,63580019.89,2.39,5.87,5.73,5.86,5.87,2.03,-376.53,2.22
29,30,600556,天下秀,5.21,-2.07,-0.11,466420,244604228.0,2.63,5.33,5.19,5.31,5.32,2.58,107.98,2.43
30,31,600640,国脉文化,12.58,-2.1,-0.27,68256,86553088.0,2.41,12.85,12.54,12.81,12.85,0.86,565.4,2.52
31,32,300860,锋尚文化,27.06,-2.1,-0.58,41304,112989885.58,3.58,27.9,26.91,27.45,27.64,3.69,175.83,1.63
32,33,002230,科大讯飞,48.54,-2.1,-1.04,352148,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
33,34,002995,天地在线,19.98,-2.11,-0.43,37602,75568078.25,2.01,20.35,19.94,20.35,20.41,3.34,-85.79,3.66
34,35,002291,遥望科技,6.8,-2.16,-0.15,355052,242690523.24,3.17,6.95,6.73,6.9,6.95,4.05,-11.61,1.55
35,36,000925,众合科技,8.91,-2.2,-0.2,459177,410755545.0,3.95,9.16,8.8,9.02,9.11,6.8,-51.97,1.83
36,37,300612,宣亚国际,15.4,-2.22,-0.35,50171,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
37,38,300182,捷成股份,6.03,-2.27,-0.14,759838,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
38,39,300235,方直科技,11.47,-2.3,-0.27,55881,64602951.54,2.73,11.77,11.45,11.77,11.74,2.75,115.61,4.09
39,40,301313,凡拓数创,23.64,-2.31,-0.56,28555,67957318.0,2.52,24.15,23.54,24.12,24.2,4.28,-14.6,2.81
40,41,300949,奥雅股份,34.99,-2.4,-0.86,10791,37873190.0,3.85,35.99,34.61,35.85,35.85,3.15,-15.31,2.42
41,42,002467,二六三,6.08,-2.41,-0.15,479122,293442054.37,2.41,6.22,6.07,6.19,6.23,3.51,97.23,4.44
42,43,002131,利欧股份,3.96,-2.46,-0.1,3377277,1341928649.84,2.71,4.05,3.94,4.04,4.06,5.77,-126.05,2.08
43,44,300987,川网传媒,15.85,-2.46,-0.4,40810,65054330.0,3.26,16.3,15.77,16.13,16.25,2.35,198.62,3.47
44,45,300551,古鳌科技,10.2,-2.49,-0.26,115874,118772703.95,2.96,10.46,10.15,10.4,10.46,3.36,-13.95,4.69
45,46,300364,中文在线,24.28,-2.57,-0.64,173274,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
46,47,300027,华谊兄弟,2.59,-2.63,-0.07,804974,210429350.19,3.76,2.67,2.57,2.65,2.66,3.24,-126.88,11.53
47,48,603018,华设集团,8.49,-2.64,-0.23,130625,111501994.0,3.1,8.71,8.44,8.71,8.72,1.91,18.76,1.18
