,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300378,鼎捷数智,34.92,5.72,1.89,155090,539365175.0,6.48,35.5,33.36,33.36,33.03,5.75,142.47,4.55
1,2,836208,青矩技术,37.99,5.18,1.87,22010,82098156.88,6.73,38.0,35.57,36.29,36.12,3.64,14.94,3.72
2,3,603687,大胜达,6.93,2.06,0.14,154879,106752637.0,5.01,7.09,6.75,6.75,6.79,2.82,34.56,1.17
3,4,601519,大智慧,8.67,1.88,0.16,268260,231173364.0,3.88,8.75,8.42,8.42,8.51,1.34,-86.32,12.12
4,5,300264,佳创视讯,4.86,1.67,0.08,75841,36665991.0,2.93,4.88,4.74,4.78,4.78,2.05,-47.29,40.31
5,6,301171,易点天下,23.81,1.02,0.24,156863,373617101.9,4.29,24.23,23.22,23.22,23.57,5.08,43.22,3.2
6,7,300033,同花顺,263.98,0.93,2.43,35474,930615743.95,2.45,264.6,258.19,258.19,261.55,1.29,77.84,22.31
7,8,002929,润建股份,46.18,0.76,0.35,47447,220353681.0,2.88,47.15,45.83,45.93,45.83,2.25,33.96,2.1
8,9,300059,东方财富,20.38,0.3,0.06,1206658,2452266582.42,1.38,20.44,20.16,20.2,20.32,0.9,33.48,4.03
9,10,001314,亿道信息,40.84,-0.15,-0.06,16879,69234955.12,2.3,41.42,40.48,40.48,40.9,3.26,206.26,2.82
10,11,600446,金证股份,14.97,-0.33,-0.05,75387,113172813.0,2.4,15.18,14.82,14.9,15.02,0.8,-92.03,3.8
11,12,300663,科蓝软件,14.82,-0.87,-0.13,96010,142767886.9,1.94,14.99,14.7,14.72,14.95,2.17,-781.16,5.55
