,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300081,恒信东方,8.84,6.38,0.53,1292921,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
1,2,301178,天亿马,36.47,5.4,1.87,75089,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
2,3,300307,慈星股份,10.73,4.17,0.43,939319,992526103.2,7.38,10.85,10.09,10.2,10.3,11.98,20.65,2.64
3,4,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
4,5,300177,中海达,12.8,3.23,0.4,1456461,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
5,6,300290,荣科科技,18.9,2.16,0.4,311267,578762791.0,6.7,19.16,17.92,18.23,18.5,4.87,-1370.16,14.76
6,7,600715,*ST文投,2.18,1.87,0.04,239273,51973267.0,3.27,2.21,2.14,2.14,2.14,0.9,-16.69,5.6
7,8,603579,荣泰健康,18.77,1.79,0.33,75170,142005349.0,5.75,19.35,18.29,18.29,18.44,4.24,17.52,1.75
8,9,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
9,10,601928,凤凰传媒,10.62,1.53,0.16,210886,223322625.0,2.01,10.65,10.44,10.46,10.46,0.83,15.09,1.41
10,11,002047,宝鹰股份,2.68,1.13,0.03,275578,73628550.9,4.53,2.72,2.6,2.63,2.65,1.82,-7.03,-21.24
11,12,002947,恒铭达,40.31,0.98,0.39,95964,383347954.9,4.53,40.98,39.17,39.6,39.92,4.99,24.92,3.43
12,13,002771,真视通,18.64,0.87,0.16,169607,315592646.25,8.06,19.49,18.0,18.29,18.48,9.72,-127.15,6.06
13,14,688519,南亚新材,35.32,0.71,0.25,60093,214965226.0,6.24,36.96,34.77,35.75,35.07,2.59,162.09,3.47
14,15,688195,腾景科技,42.43,0.62,0.26,36678,154907585.0,2.51,42.78,41.72,42.08,42.17,2.84,79.12,5.96
15,16,300500,启迪设计,11.9,0.59,0.07,102221,121421292.13,4.73,12.19,11.63,11.8,11.83,6.1,-90.7,1.75
16,17,600745,闻泰科技,34.89,0.58,0.2,322446,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
17,18,002765,蓝黛科技,16.07,0.44,0.07,1659055,2730151340.11,8.19,17.12,15.81,15.98,16.0,27.84,75.85,4.28
18,19,000547,航天发展,7.69,0.39,0.03,324145,250802740.68,4.05,7.91,7.6,7.63,7.66,2.04,-16.53,1.95
19,20,300504,天邑股份,17.32,0.23,0.04,84022,144576110.4,4.57,17.61,16.82,17.05,17.28,3.85,91.51,2.1
20,21,301213,观想科技,50.18,0.16,0.08,13264,66097024.28,2.22,50.37,49.26,50.1,50.1,2.56,546.7,5.03
21,22,605287,德才股份,14.43,0.14,0.02,21218,30708674.0,3.4,14.74,14.25,14.25,14.41,1.52,19.32,1.06
22,23,300144,宋城演艺,9.3,0.11,0.01,348831,323652917.4,2.15,9.38,9.18,9.21,9.29,1.48,18.15,3.02
23,24,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
24,25,600363,联创光电,65.16,-0.03,-0.02,226040,1506287640.0,7.23,68.91,64.2,64.7,65.18,4.98,66.07,6.94
