,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603776,永安行,24.61,10.01,2.24,148743,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
1,2,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
2,3,300541,先进数通,15.94,4.46,0.68,1113823,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
3,4,002609,捷顺科技,9.7,3.19,0.3,281162,270058197.56,5.11,9.72,9.24,9.35,9.4,6.12,109.16,2.62
4,5,300096,ST易联众,3.91,2.36,0.09,119347,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
5,6,601928,凤凰传媒,10.62,1.53,0.16,210886,223322625.0,2.01,10.65,10.44,10.46,10.46,0.83,15.09,1.41
6,7,600928,西安银行,3.54,0.28,0.01,200701,70955592.0,1.7,3.56,3.5,3.53,3.53,0.45,6.12,0.48
7,8,601886,江河集团,6.27,0.16,0.01,661533,420315715.0,5.75,6.55,6.19,6.19,6.26,5.84,11.14,0.97
8,9,002223,鱼跃医疗,35.89,0.11,0.04,55652,200028027.1,1.87,36.36,35.69,35.9,35.85,0.59,17.62,2.87
9,10,002958,青农商行,3.05,0.0,0.0,536898,163686209.11,2.3,3.08,3.01,3.05,3.05,1.09,3.97,0.48
10,11,300099,尤洛卡,7.37,-0.14,-0.01,268964,196094436.0,2.71,7.41,7.21,7.28,7.38,4.63,71.55,2.3
11,12,002191,劲嘉股份,3.81,-0.26,-0.01,153590,58593525.6,1.83,3.85,3.78,3.82,3.82,1.07,17.48,0.83
12,13,601916,浙商银行,2.93,-0.34,-0.01,1383086,406729172.0,1.36,2.96,2.92,2.94,2.94,0.64,4.68,0.47
13,14,601319,中国人保,6.87,-0.43,-0.03,575427,398235190.0,2.46,7.01,6.84,6.92,6.9,0.16,6.27,1.14
14,15,601601,中国太保,31.73,-0.47,-0.15,377555,1206579662.0,2.73,32.45,31.58,31.9,31.88,0.55,5.98,1.12
15,16,002010,传化智联,5.53,-0.72,-0.04,367503,203407767.76,1.97,5.61,5.5,5.52,5.57,1.32,48.71,0.89
16,17,601658,邮储银行,5.33,-0.74,-0.04,1505070,806587288.0,1.49,5.4,5.32,5.36,5.37,0.22,5.23,0.65
17,18,601628,中国人寿,37.54,-1.11,-0.42,136419,515653612.0,2.87,38.49,37.4,37.92,37.96,0.07,7.61,1.87
18,19,603000,人民网,21.64,-1.23,-0.27,122184,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
19,20,600380,健康元,11.21,-1.23,-0.14,165543,186380746.0,2.29,11.42,11.16,11.39,11.35,0.9,13.84,1.42
20,21,601108,财通证券,7.98,-1.24,-0.1,465150,373589318.0,1.73,8.11,7.97,8.06,8.08,1.0,18.88,1.05
21,22,600109,国金证券,8.57,-1.38,-0.12,281902,242837712.0,2.19,8.72,8.53,8.68,8.69,0.88,26.7,0.97
22,23,600999,招商证券,17.92,-1.54,-0.28,175843,317358693.0,2.14,18.28,17.89,18.2,18.2,0.24,15.03,1.2
23,24,000156,华数传媒,8.76,-1.57,-0.14,413443,366612668.0,3.03,9.01,8.74,8.84,8.9,2.43,30.4,1.09
24,25,002470,金正大,1.85,-1.6,-0.03,652983,121580049.88,2.66,1.89,1.84,1.87,1.88,1.99,25.31,2.76
