,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300026,红日药业,3.63,0.28,0.01,1175914,435582069.43,5.25,3.81,3.62,3.74,3.62,4.38,213.61,1.26
1,2,002223,鱼跃医疗,35.89,0.11,0.04,55652,200028027.1,1.87,36.36,35.69,35.9,35.85,0.59,17.62,2.87
2,3,002432,九安医疗,41.44,-1.03,-0.43,48097,200278973.16,1.86,42.09,41.31,41.85,41.87,1.09,10.74,1.02
3,4,835892,中科美菱,18.68,-1.06,-0.2,42349,76956756.31,7.57,19.1,17.67,19.0,18.88,15.18,99.9,2.95
4,5,301087,可孚医疗,35.61,-1.28,-0.46,16134,57636589.57,2.55,36.23,35.31,36.18,36.07,1.78,22.17,1.57
5,6,300003,乐普医疗,11.64,-1.52,-0.18,184939,216516326.42,2.12,11.85,11.6,11.78,11.82,1.14,20.45,1.4
6,7,300206,理邦仪器,12.17,-1.7,-0.21,50229,61442476.0,2.26,12.41,12.13,12.35,12.38,1.48,30.78,3.5
7,8,300246,宝莱特,7.31,-1.75,-0.13,64435,47362163.52,2.82,7.49,7.28,7.43,7.44,3.05,-106.34,1.58
8,9,300869,康泰医学,14.18,-1.8,-0.26,34190,48876655.0,2.49,14.5,14.14,14.42,14.44,1.36,431.51,2.99
9,10,301290,东星医疗,24.0,-1.88,-0.46,12572,30323447.91,2.86,24.56,23.86,24.5,24.46,1.84,27.5,1.09
10,11,002614,奥佳华,7.09,-2.34,-0.17,149137,106933500.5,3.03,7.31,7.09,7.25,7.26,3.38,65.0,1.01
11,12,002449,国星光电,10.1,-2.79,-0.29,283222,288804450.2,2.69,10.36,10.08,10.35,10.39,4.59,70.23,1.63
12,13,002980,华盛昌,28.2,-3.72,-1.09,60305,172013929.47,3.14,28.99,28.07,28.8,29.29,8.4,27.47,3.47
13,14,300753,爱朋医疗,26.9,-8.81,-2.6,288959,806857340.82,15.15,30.97,26.5,30.04,29.5,35.06,667.93,4.9
