,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002789,建艺集团,10.4,10.05,0.95,326840,317277984.56,17.04,10.4,8.79,8.79,9.45,24.86,298.55,50.13
1,2,002165,红 宝 丽,5.48,10.04,0.5,1046017,555926006.92,8.63,5.48,5.05,5.08,4.98,14.38,65.56,2.0
2,3,002713,东易日盛,7.05,9.98,0.64,49340,34784841.0,0.0,7.05,7.05,7.05,6.41,1.2,-3.82,-5.72
3,4,000039,中集集团,9.56,4.71,0.43,1345893,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
4,5,300117,*ST嘉寓,0.89,4.71,0.04,613515,55159277.0,11.76,0.95,0.85,0.86,0.85,8.56,-2.31,-0.38
5,6,301027,华蓝集团,14.41,2.86,0.4,38179,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
6,7,002628,成都路桥,4.53,2.49,0.11,520202,235997098.0,3.17,4.61,4.47,4.5,4.42,6.89,-124.22,1.16
7,8,600528,中铁工业,8.0,1.52,0.12,270846,217484138.0,3.05,8.11,7.87,7.88,7.88,1.22,10.11,0.75
8,9,002822,ST中装,3.58,1.42,0.05,80447,28459181.43,3.68,3.6,3.47,3.52,3.53,1.47,-2.48,1.38
9,10,300767,震安科技,11.1,1.28,0.14,165371,182913312.35,4.29,11.28,10.81,11.03,10.96,6.9,-40.46,1.84
10,11,603273,天元智能,19.6,1.24,0.24,99329,195076142.0,4.08,19.89,19.1,19.1,19.36,17.72,120.6,4.89
11,12,002047,宝鹰股份,2.68,1.13,0.03,275578,73628550.9,4.53,2.72,2.6,2.63,2.65,1.82,-7.03,-21.24
12,13,600585,海螺水泥,24.92,1.01,0.25,222178,556476960.0,3.04,25.36,24.61,24.67,24.67,0.56,19.05,0.71
13,14,300517,海波重科,9.91,0.92,0.09,80607,80495544.4,5.09,10.21,9.71,9.79,9.82,6.5,84.08,1.91
14,15,600496,精工钢构,3.31,0.61,0.02,330749,109716990.0,2.13,3.35,3.28,3.29,3.29,1.64,10.51,0.76
15,16,300500,启迪设计,11.9,0.59,0.07,102221,121421292.13,4.73,12.19,11.63,11.8,11.83,6.1,-90.7,1.75
16,17,600170,上海建工,2.54,0.4,0.01,1492594,381262487.0,2.37,2.58,2.52,2.53,2.53,1.68,12.53,0.73
