,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002724,海洋王,8.48,5.74,0.46,1161113,995693957.26,9.98,8.82,8.02,8.69,8.02,20.31,93.88,2.31
1,2,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
2,3,000006,深振业Ａ,6.76,4.32,0.28,505532,334417286.98,8.49,6.94,6.39,6.45,6.48,3.74,-13.07,1.42
3,4,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
4,5,601808,中海油服,15.53,3.95,0.59,499918,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
5,6,601989,中国重工,4.51,2.97,0.13,4213906,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
6,7,000651,格力电器,43.74,2.41,1.03,708548,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
7,8,000973,佛塑科技,7.08,2.16,0.15,442698,309436203.54,4.62,7.1,6.78,6.89,6.93,4.58,61.72,2.42
8,9,002246,北化股份,11.2,2.0,0.22,191427,211426437.36,4.46,11.28,10.79,10.95,10.98,3.49,-99.1,2.2
9,10,600019,宝钢股份,7.51,1.76,0.13,936612,703466052.0,2.17,7.54,7.38,7.38,7.38,0.43,20.98,0.83
10,11,000600,建投能源,5.8,1.75,0.1,540123,314332067.83,4.56,5.92,5.66,5.7,5.7,4.96,18.04,1.03
11,12,002225,濮耐股份,5.84,1.74,0.1,224699,129921208.7,4.36,5.89,5.64,5.72,5.74,2.72,36.01,1.76
12,13,000898,鞍钢股份,2.53,1.61,0.04,688256,175169106.48,3.61,2.57,2.48,2.48,2.49,0.86,-3.5,0.48
13,14,600120,浙江东方,7.14,1.56,0.11,2619515,1885985783.0,6.4,7.34,6.89,7.0,7.03,7.67,43.72,1.56
14,15,600886,国投电力,14.41,1.26,0.18,601380,864788101.0,1.83,14.46,14.2,14.2,14.23,0.81,13.15,1.82
15,16,002202,金风科技,9.67,1.26,0.12,990531,961288112.37,4.4,9.89,9.47,9.52,9.55,2.95,17.1,1.11
16,17,600557,康缘药业,14.71,1.24,0.18,194610,288249533.0,3.79,15.15,14.6,15.0,14.53,3.44,17.59,1.63
17,18,600780,通宝能源,5.77,1.23,0.07,107971,62196857.0,2.28,5.82,5.69,5.71,5.7,0.94,12.91,0.88
18,19,600757,长江传媒,8.44,1.08,0.09,162279,136555002.0,1.68,8.46,8.32,8.33,8.35,1.34,11.15,1.1
19,20,002242,九阳股份,10.38,1.07,0.11,164829,173513782.24,6.13,10.84,10.21,10.22,10.27,2.15,60.89,2.3
20,21,600585,海螺水泥,24.92,1.01,0.25,222178,556476960.0,3.04,25.36,24.61,24.67,24.67,0.56,19.05,0.71
21,22,601000,唐山港,4.19,0.96,0.04,522767,218968723.0,1.45,4.21,4.15,4.15,4.15,0.88,11.78,1.22
22,23,600017,日照港,3.17,0.96,0.03,525452,166668088.0,2.23,3.2,3.13,3.13,3.14,1.71,11.51,0.71
23,24,601225,陕西煤业,19.9,0.86,0.17,536995,1070292762.0,2.38,20.08,19.61,19.61,19.73,0.55,8.69,2.14
24,25,600736,苏州高新,6.08,0.83,0.05,288652,173609593.0,3.98,6.15,5.91,6.05,6.03,2.51,22.15,0.94
25,26,601006,大秦铁路,6.46,0.78,0.05,1033672,665713057.0,1.09,6.47,6.4,6.42,6.41,0.51,11.35,0.79
26,27,600750,江中药业,22.35,0.77,0.17,124476,276784660.0,3.16,22.68,21.98,22.52,22.18,1.98,17.84,3.64
27,28,600436,片仔癀,206.02,0.69,1.41,38587,801214379.0,2.93,211.0,205.01,206.51,204.61,0.64,41.79,8.7
28,29,601117,中国化学,7.51,0.67,0.05,764415,576481405.0,2.14,7.61,7.45,7.45,7.46,1.26,8.97,0.76
29,30,600085,同仁堂,36.9,0.63,0.23,137223,508609389.0,2.35,37.49,36.63,37.4,36.67,1.0,28.11,3.9
30,31,601018,宁波港,3.71,0.54,0.02,701949,262334702.0,2.44,3.77,3.68,3.68,3.69,0.44,14.79,0.92
31,32,600018,上港集团,5.63,0.54,0.03,516429,291728230.0,1.79,5.69,5.59,5.6,5.6,0.22,8.98,0.99
32,33,600863,内蒙华电,3.98,0.51,0.02,721593,287928311.0,1.52,4.02,3.96,3.96,3.96,1.11,7.89,1.56
33,34,000900,现代投资,4.22,0.48,0.02,135544,57135733.39,1.43,4.24,4.18,4.2,4.2,0.89,11.83,0.58
34,35,600674,川投能源,15.51,0.45,0.07,223510,347163099.0,1.42,15.62,15.4,15.4,15.44,0.46,12.82,1.8
35,36,601868,中国能建,2.31,0.43,0.01,3681949,854649091.0,1.74,2.34,2.3,2.3,2.3,1.14,20.04,0.94
