,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002650,ST加加,5.02,0.6,0.03,56254,28187016.0,3.01,5.08,4.93,4.96,4.99,0.49,-64.11,2.86
1,2,600873,梅花生物,10.3,0.49,0.05,257058,262903523.0,2.54,10.38,10.12,10.2,10.25,0.9,10.72,2.02
2,3,603299,苏盐井神,11.08,0.45,0.05,75869,83873002.0,1.18,11.11,10.98,11.0,11.03,0.98,9.91,1.46
3,4,002495,佳隆股份,2.46,0.41,0.01,340354,83648962.2,2.45,2.49,2.43,2.45,2.45,4.77,108.58,2.08
4,5,603317,天味食品,13.66,0.29,0.04,44924,61574668.0,2.57,13.87,13.52,13.52,13.62,0.42,23.26,3.18
5,6,600251,冠农股份,7.19,0.28,0.02,70878,50872635.0,1.12,7.22,7.14,7.14,7.17,0.91,12.63,1.51
6,7,000505,京粮控股,6.18,0.16,0.01,84405,52359086.0,1.94,6.27,6.15,6.17,6.17,1.33,120.97,1.43
7,8,600328,中盐化工,7.62,0.13,0.01,164244,125436682.0,1.84,7.7,7.56,7.6,7.61,1.12,14.65,0.94
8,9,600929,雪天盐业,5.33,-0.19,-0.01,127590,68361968.0,1.5,5.4,5.32,5.34,5.34,0.78,19.36,1.14
9,10,002507,涪陵榨菜,13.75,-0.22,-0.03,146580,201570030.8,1.81,13.86,13.61,13.75,13.78,1.28,19.25,1.82
10,11,601065,江盐集团,8.83,-0.23,-0.02,55149,48787349.0,1.36,8.91,8.79,8.85,8.85,1.32,11.93,1.33
11,12,002053,云南能投,11.4,-0.26,-0.03,50493,57796559.0,1.4,11.54,11.38,11.44,11.43,0.55,15.64,1.42
12,13,600737,中粮糖业,9.61,-0.41,-0.04,162573,157033607.0,1.97,9.75,9.56,9.63,9.65,0.76,13.26,1.87
13,14,603020,爱普股份,8.89,-0.45,-0.04,42827,38117183.0,1.79,8.99,8.83,8.89,8.93,1.12,28.73,1.07
14,15,000019,深粮控股,6.55,-0.46,-0.03,43248,28408219.1,1.37,6.61,6.52,6.58,6.58,1.04,23.15,1.56
15,16,603755,日辰股份,27.35,-0.55,-0.15,7197,19718482.0,1.78,27.66,27.17,27.32,27.5,0.73,37.16,3.89
16,17,002597,金禾实业,24.85,-0.8,-0.2,60932,151541826.43,2.12,25.18,24.65,24.93,25.05,1.07,25.96,1.9
17,18,002539,云图控股,7.88,-0.88,-0.07,87617,69444400.52,1.89,8.01,7.86,7.94,7.95,0.99,11.83,1.09
18,19,301206,三元生物,26.11,-0.91,-0.24,9699,25470370.83,1.94,26.52,26.01,26.34,26.35,0.9,48.91,1.18
19,20,600872,中炬高新,21.11,-0.98,-0.21,69944,148461730.0,1.78,21.43,21.05,21.31,21.32,0.91,21.52,3.38
20,21,600305,恒顺醋业,7.39,-1.07,-0.08,75194,55853196.0,1.74,7.5,7.37,7.44,7.47,0.68,51.16,2.47
21,22,300741,华宝股份,16.72,-1.12,-0.19,23426,39308825.48,2.66,17.01,16.56,16.9,16.91,0.38,43.11,1.44
22,23,300999,金龙鱼,31.56,-1.22,-0.39,73894,235096940.34,2.07,32.19,31.53,31.83,31.95,1.36,68.39,1.83
23,24,001219,青岛食品,13.2,-1.27,-0.17,27992,37102644.01,1.87,13.4,13.15,13.33,13.37,1.47,22.29,2.53
24,25,603288,海天味业,40.08,-1.74,-0.71,145836,588574734.0,2.21,40.98,40.08,40.71,40.79,0.26,34.72,7.59
25,26,002568,百润股份,27.38,-1.76,-0.49,88961,243962697.42,4.41,28.2,26.97,27.87,27.87,1.24,37.52,6.57
26,27,002286,保龄宝,7.97,-2.45,-0.2,105797,85029944.96,3.79,8.22,7.91,8.13,8.17,2.86,21.87,1.46
27,28,300138,晨光生物,9.62,-3.12,-0.31,117077,114092807.29,4.33,10.01,9.58,9.86,9.93,2.94,55.67,1.52
28,29,600186,莲花控股,6.78,-3.42,-0.24,1707991,1171991980.0,4.42,7.07,6.76,6.95,7.02,9.56,55.24,7.09
29,30,603696,安记食品,8.44,-3.43,-0.3,57560,49065920.0,4.23,8.77,8.4,8.73,8.74,2.45,69.87,3.54
30,31,603027,千禾味业,11.34,-3.9,-0.46,359130,408465944.0,3.05,11.55,11.19,11.5,11.8,3.74,24.86,3.32
31,32,832786,骑士乳业,9.31,-5.19,-0.51,238462,226067883.88,5.6,9.82,9.27,9.52,9.82,21.78,-167.75,2.55
32,33,300908,仲景食品,28.88,-7.23,-2.25,47824,140740808.82,4.85,30.26,28.75,29.86,31.13,3.87,21.21,2.48
