,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300081,恒信东方,8.84,6.38,0.53,1292921,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
1,2,301231,荣信文化,24.35,3.62,0.85,58258,139358431.78,5.19,24.62,23.4,23.62,23.5,10.81,-61.7,2.33
2,3,600593,大连圣亚,28.12,0.5,0.14,70009,194435083.0,3.65,28.42,27.4,27.95,27.98,5.44,25.83,11.08
3,4,603899,晨光股份,29.33,0.41,0.12,57319,169452533.0,3.63,30.26,29.2,29.26,29.21,0.62,19.89,3.15
4,5,600576,祥源文旅,9.2,0.11,0.01,88675,82275071.0,3.48,9.42,9.1,9.18,9.19,1.34,66.04,3.49
5,6,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
6,7,601595,上海电影,29.19,-0.68,-0.2,75989,219831736.0,3.57,29.45,28.4,29.21,29.39,1.7,91.35,7.68
7,8,300788,中信出版,32.25,-0.74,-0.24,21875,71209472.0,3.08,33.1,32.1,32.61,32.49,1.15,51.68,2.83
8,9,600229,城市传媒,7.1,-0.84,-0.06,63946,45594651.0,1.96,7.2,7.06,7.06,7.16,0.95,27.1,1.48
9,10,603444,吉比特,220.35,-1.02,-2.26,10205,226264654.0,2.16,224.58,219.78,222.0,222.61,1.42,18.11,3.35
10,11,603607,京华激光,17.97,-1.05,-0.19,35381,63831259.0,1.6,18.21,17.92,18.05,18.16,1.98,33.7,3.12
11,12,600977,中国电影,10.8,-1.1,-0.12,83235,90325489.0,1.47,10.94,10.78,10.88,10.92,0.45,70.16,1.82
12,13,002103,广博股份,9.84,-1.11,-0.11,129720,127736394.84,2.11,9.98,9.77,9.86,9.95,3.44,37.42,5.22
13,14,002739,万达电影,11.72,-1.26,-0.15,255728,300891217.9,1.85,11.9,11.68,11.81,11.87,1.23,110.04,3.04
14,15,002646,天佑德酒,9.48,-1.35,-0.13,68161,65300407.85,2.19,9.68,9.47,9.67,9.61,1.43,59.65,1.61
15,16,600628,新世界,7.55,-1.56,-0.12,106531,80946126.0,2.22,7.7,7.53,7.67,7.67,1.65,55.98,1.16
16,17,002161,远 望 谷,6.16,-1.6,-0.1,242114,150529812.03,4.15,6.38,6.12,6.2,6.26,3.39,53.97,2.92
17,18,603103,横店影视,13.14,-1.65,-0.22,38400,50768446.0,2.17,13.4,13.11,13.35,13.36,0.61,-86.47,7.14
18,19,002425,ST凯文,2.26,-1.74,-0.04,205793,46810024.3,3.04,2.31,2.24,2.29,2.3,2.15,-16.95,0.63
19,20,002615,哈尔斯,8.09,-1.82,-0.15,77792,63331066.0,2.31,8.24,8.05,8.2,8.24,2.54,12.58,2.33
20,21,002605,姚记科技,27.89,-1.86,-0.53,82386,232628241.04,3.98,28.92,27.79,28.33,28.42,2.47,20.46,3.49
21,22,300043,星辉娱乐,4.03,-1.95,-0.08,632196,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
22,23,600880,博瑞传播,4.84,-2.02,-0.1,345300,169671120.0,4.86,5.08,4.84,4.92,4.94,3.16,323.86,1.74
23,24,300494,盛天网络,12.64,-2.02,-0.26,137422,175031027.96,2.87,12.95,12.58,12.88,12.9,3.45,1901.32,3.64
24,25,300640,德艺文创,5.79,-2.03,-0.12,94052,54796054.0,2.37,5.91,5.77,5.87,5.91,4.26,119.62,2.23
25,26,301052,果麦文化,29.02,-2.03,-0.6,38492,112577873.18,3.54,29.95,28.9,29.5,29.62,4.8,101.42,4.13
26,27,001209,洪兴股份,17.7,-2.05,-0.37,40845,72790551.0,1.94,18.03,17.68,18.02,18.07,4.25,24.28,1.81
27,28,300860,锋尚文化,27.06,-2.1,-0.58,41304,112989885.58,3.58,27.9,26.91,27.45,27.64,3.69,175.83,1.63
28,29,300220,金运激光,16.46,-2.14,-0.36,46063,76426738.0,2.2,16.83,16.46,16.7,16.82,3.05,1825.14,40.87
29,30,300251,光线传媒,22.27,-2.15,-0.49,900821,2017303022.99,2.24,22.75,22.24,22.62,22.76,3.23,106.32,7.34
30,31,002878,元隆雅图,15.74,-2.18,-0.35,71796,113744517.56,2.42,16.09,15.7,15.92,16.09,3.07,138.99,2.67
