,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000555,神州信息,15.96,9.99,1.45,1360664,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
1,2,301178,天亿马,36.47,5.4,1.87,75089,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
2,3,301396,宏景科技,86.25,3.98,3.3,185315,1556738701.96,12.3,88.36,78.16,82.8,82.95,36.38,-230.19,7.63
3,4,301316,慧博云通,29.33,2.2,0.63,316593,933062097.28,6.72,30.19,28.26,28.66,28.7,13.04,232.77,10.9
4,5,300010,豆神教育,8.11,0.0,0.0,875623,708138810.04,2.84,8.2,7.97,8.02,8.11,5.26,113.37,15.45
5,6,600662,外服控股,5.33,-1.11,-0.06,90261,48394372.0,2.23,5.42,5.3,5.33,5.39,0.4,18.19,2.73
6,7,600271,航天信息,9.24,-1.7,-0.16,126345,117690124.0,2.13,9.43,9.23,9.4,9.4,0.68,-681.26,1.23
7,8,688369,致远互联,34.58,-1.71,-0.6,27047,93678146.0,4.78,35.76,34.08,34.33,35.18,2.35,-23.76,3.57
8,9,002995,天地在线,19.98,-2.11,-0.43,37602,75568078.25,2.01,20.35,19.94,20.35,20.41,3.34,-85.79,3.66
9,10,300579,数字认证,29.33,-2.3,-0.69,41087,121612943.1,3.26,30.2,29.22,29.88,30.02,1.57,-218.86,8.83
10,11,002117,东港股份,13.75,-2.41,-0.34,338778,464139800.75,4.19,14.0,13.41,13.95,14.09,6.47,67.32,5.35
11,12,300188,国投智能,14.81,-2.44,-0.37,178380,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
12,13,002063,远光软件,6.55,-2.53,-0.17,545972,361853410.42,2.98,6.74,6.54,6.69,6.72,3.1,42.63,3.39
13,14,002368,太极股份,25.64,-2.55,-0.67,119727,309485436.31,2.77,26.29,25.56,26.06,26.31,1.93,-423.83,3.18
14,15,300271,华宇软件,8.2,-2.61,-0.22,227164,188464852.54,3.21,8.47,8.2,8.33,8.42,2.85,-18.95,1.64
15,16,000948,南天信息,18.74,-2.65,-0.51,116250,219263817.0,2.91,19.19,18.63,19.05,19.25,2.98,98.95,2.78
16,17,002657,中科金财,21.81,-2.72,-0.61,300296,658167400.0,4.77,22.6,21.53,22.09,22.42,8.93,-71.01,4.1
17,18,300170,汉得信息,19.69,-2.96,-0.6,948554,1918418317.85,7.44,21.11,19.6,20.0,20.29,10.01,107.1,3.88
18,19,300768,迪普科技,19.08,-3.0,-0.59,52095,100446318.35,3.15,19.65,19.03,19.6,19.67,1.24,99.73,3.79
19,20,301153,中科江南,27.05,-3.05,-0.85,54527,150889725.96,6.63,28.85,27.0,28.81,27.9,2.65,1047.63,5.64
20,21,300348,长亮科技,14.79,-3.08,-0.47,306628,458355469.5,2.88,15.2,14.76,15.03,15.26,4.33,2262.85,5.94
21,22,300525,博思软件,17.57,-3.25,-0.59,185864,330373005.52,3.58,18.15,17.5,18.06,18.16,3.01,285.67,5.68
22,23,600536,中国软件,44.25,-3.36,-1.54,183386,821703299.0,4.06,45.87,44.01,45.55,45.79,2.17,-83.57,17.32
23,24,688228,开普云,60.18,-3.4,-2.12,19742,120467624.0,4.82,62.59,59.59,60.8,62.3,2.92,196.63,3.12
24,25,300996,普联软件,23.91,-3.47,-0.86,63649,154077217.6,3.51,24.75,23.88,24.57,24.77,3.77,243.28,4.08
25,26,301169,零点有数,39.77,-3.61,-1.49,13938,55978413.0,4.17,41.3,39.58,41.3,41.26,1.94,-32.0,5.5
26,27,300542,新晨科技,18.56,-3.73,-0.72,68623,128851178.7,4.25,19.32,18.5,19.3,19.28,2.79,-234.31,8.83
27,28,002279,久其软件,6.93,-3.75,-0.27,383041,269445691.52,3.89,7.2,6.92,7.19,7.2,4.85,-19.72,4.48
28,29,600756,浪潮软件,16.28,-3.78,-0.64,123835,204069244.0,3.84,16.85,16.2,16.8,16.92,3.82,-41.77,2.38
29,30,300730,科创信息,14.18,-3.99,-0.59,153306,220207602.5,4.47,14.76,14.1,14.7,14.77,7.79,-40.64,11.0
30,31,301221,光庭信息,50.95,-4.23,-2.25,34071,176814849.0,4.32,53.15,50.85,52.81,53.2,7.81,322.93,2.35
31,32,600588,用友网络,15.81,-4.24,-0.7,804336,1285846917.0,4.36,16.44,15.72,16.2,16.51,2.35,-27.84,6.18
32,33,002530,金财互联,10.62,-4.32,-0.48,477834,516055739.4,4.95,11.17,10.62,11.06,11.1,6.87,1939.76,6.42
33,34,300663,科蓝软件,17.08,-4.58,-0.82,234006,405883055.16,4.41,17.86,17.07,17.8,17.9,5.46,-900.28,6.4
34,35,603171,税友股份,45.12,-4.69,-2.22,48348,219877082.0,6.06,47.31,44.44,47.0,47.34,1.19,118.73,7.36
