,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
1,2,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
2,3,603516,淳中科技,50.17,1.58,0.78,120167,594085796.0,8.63,51.86,47.6,49.43,49.39,5.95,147.44,7.44
3,4,002512,达华智能,5.71,1.42,0.08,1408026,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
4,5,300628,亿联网络,40.92,0.34,0.14,85858,353425684.91,2.94,41.68,40.48,40.61,40.78,1.19,19.56,5.78
5,6,300504,天邑股份,17.32,0.23,0.04,84022,144576110.4,4.57,17.61,16.82,17.05,17.28,3.85,91.51,2.1
6,7,002519,银河电子,5.43,-0.18,-0.01,1047873,574468782.47,4.78,5.6,5.34,5.4,5.44,9.37,32.32,1.91
7,8,600050,中国联通,5.7,-0.18,-0.01,5022475,2856257924.0,2.28,5.75,5.62,5.7,5.71,1.63,19.74,1.08
8,9,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
9,10,603189,网达软件,19.12,-0.62,-0.12,311815,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
10,11,600330,天通股份,7.33,-0.81,-0.06,245486,181817652.0,2.71,7.52,7.32,7.4,7.39,1.99,54.59,1.13
11,12,600060,海信视像,22.93,-0.82,-0.19,111789,256090214.0,3.46,23.43,22.63,23.06,23.12,0.86,17.13,1.59
12,13,600936,广西广电,3.56,-0.84,-0.03,209614,74865751.0,1.67,3.6,3.54,3.6,3.59,1.25,-7.33,6.42
13,14,600088,中视传媒,16.64,-1.01,-0.17,33161,55400426.0,1.73,16.87,16.58,16.77,16.81,0.83,44.86,4.82
14,15,600637,东方明珠,7.82,-1.14,-0.09,283398,222880912.0,1.77,7.94,7.8,7.89,7.91,0.84,27.43,0.88
15,16,300770,新媒股份,39.17,-1.34,-0.53,21201,83424289.28,1.84,39.75,39.02,39.6,39.7,0.93,13.64,2.49
16,17,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
17,18,603501,韦尔股份,136.0,-1.42,-1.96,134741,1832940852.0,2.88,138.66,134.68,138.3,137.96,1.11,52.22,7.38
18,19,601929,吉视传媒,1.98,-1.49,-0.03,1086762,216309145.0,2.99,2.02,1.96,2.0,2.01,3.11,-14.87,1.29
19,20,000156,华数传媒,8.76,-1.57,-0.14,413443,366612668.0,3.03,9.01,8.74,8.84,8.9,2.43,30.4,1.09
20,21,002429,兆驰股份,5.44,-1.63,-0.09,627378,344447804.0,2.71,5.57,5.42,5.54,5.53,1.39,13.46,1.57
21,22,300710,万隆光电,18.72,-1.63,-0.31,30411,56975385.8,3.15,19.1,18.5,19.07,19.03,3.41,105.26,2.77
22,23,002405,四维图新,9.0,-1.64,-0.15,395740,358789438.08,2.62,9.21,8.97,9.15,9.15,1.68,-32.9,2.27
23,24,600996,贵广网络,9.87,-1.69,-0.17,252271,250838389.0,4.68,10.24,9.77,10.07,10.04,2.02,-13.58,3.48
24,25,600831,ST广网,2.85,-1.72,-0.05,80691,23110311.0,2.76,2.91,2.83,2.89,2.9,1.13,-2.7,0.79
25,26,300097,ST智云,5.15,-1.72,-0.09,128983,66543299.6,2.29,5.23,5.11,5.21,5.24,4.78,87.36,2.33
26,27,002415,海康威视,31.33,-1.76,-0.56,355063,1118983882.67,2.13,31.94,31.26,31.85,31.89,0.39,24.19,3.59
27,28,603888,新华网,23.36,-1.85,-0.44,72299,170082325.0,2.61,23.87,23.25,23.71,23.8,1.39,58.36,3.49
28,29,000045,深纺织Ａ,10.97,-2.05,-0.23,79700,87601453.0,2.68,11.16,10.86,11.16,11.2,1.74,52.82,1.9
29,30,002841,视源股份,39.8,-2.09,-0.85,42491,170039124.14,3.32,40.92,39.57,40.5,40.65,0.82,28.51,2.18
30,31,002230,科大讯飞,48.54,-2.1,-1.04,352148,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
31,32,301262,海看股份,24.88,-2.12,-0.54,20679,51973665.0,2.95,25.54,24.79,25.38,25.42,1.69,23.64,2.97
32,33,300566,激智科技,20.54,-2.14,-0.45,83845,172532988.65,2.43,20.9,20.39,20.85,20.99,3.67,23.99,2.77
33,34,000050,深天马Ａ,8.55,-2.17,-0.19,171858,147957196.46,2.4,8.72,8.51,8.71,8.74,0.7,-31.43,0.77
34,35,601869,长飞光纤,35.26,-2.22,-0.8,41135,146468993.0,2.44,36.14,35.26,35.81,36.06,1.01,34.98,2.31
35,36,002585,双星新材,5.25,-2.23,-0.12,165266,87595378.55,2.98,5.39,5.23,5.35,5.37,1.85,-19.84,0.67
36,37,300182,捷成股份,6.03,-2.27,-0.14,759838,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
37,38,000016,深康佳Ａ,5.02,-2.33,-0.12,626125,315642925.88,3.31,5.15,4.98,5.13,5.14,3.92,-5.64,2.99
38,39,300578,会畅通讯,20.21,-2.37,-0.49,42433,86578926.0,2.51,20.7,20.18,20.65,20.7,2.19,130.68,3.41
39,40,300079,数码视讯,5.67,-2.41,-0.14,285945,163726862.67,2.58,5.82,5.67,5.77,5.81,2.23,272.05,1.92
40,41,301318,维海德,32.06,-2.58,-0.85,20343,66185479.02,3.16,33.1,32.06,32.71,32.91,3.48,36.85,2.41
41,42,603721,中广天择,26.55,-2.64,-0.72,32906,88319162.0,2.09,27.12,26.55,27.02,27.27,2.53,-2697.79,6.72
42,43,002373,千方科技,9.76,-2.69,-0.27,238657,235656404.0,3.09,10.05,9.74,10.0,10.03,1.73,734.02,1.23
43,44,300389,艾比森,11.58,-2.69,-0.32,49118,57358344.99,3.19,11.91,11.53,11.9,11.9,2.11,36.45,2.83
44,45,002222,福晶科技,34.39,-2.74,-0.97,137462,477207063.9,4.33,35.58,34.05,35.33,35.36,2.94,73.91,10.26
45,46,000810,创维数字,13.58,-2.79,-0.39,261690,357777492.16,2.51,13.89,13.54,13.8,13.97,2.34,49.54,2.46
46,47,002449,国星光电,10.1,-2.79,-0.29,283222,288804450.2,2.69,10.36,10.08,10.35,10.39,4.59,70.23,1.63
47,48,600288,大恒科技,9.46,-2.87,-0.28,140746,134222569.0,3.59,9.77,9.42,9.65,9.74,3.22,-483.19,2.22
48,49,002236,大华股份,17.85,-2.88,-0.53,1062577,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
49,50,300223,北京君正,74.83,-2.88,-2.22,160831,1214356137.84,3.67,77.38,74.55,76.25,77.05,3.83,88.78,3.03
50,51,300661,圣邦股份,88.92,-2.92,-2.67,58406,524782180.55,4.01,91.97,88.3,91.48,91.59,1.29,110.48,9.78
51,52,688010,福光股份,35.91,-2.92,-1.08,20106,73103553.0,4.14,37.23,35.7,37.0,36.99,1.25,573.25,3.39
52,53,000063,中兴通讯,35.11,-3.01,-1.09,1275809,4519847650.36,3.29,36.19,35.0,36.01,36.2,3.17,19.94,2.31
53,54,300474,景嘉微,83.89,-3.1,-2.68,101742,863070400.13,3.28,86.7,83.86,86.18,86.57,3.11,1377.29,6.04
54,55,000909,ST数源,5.93,-3.1,-0.19,84998,50876050.0,3.92,6.13,5.89,6.09,6.12,1.94,40.39,2.18
55,56,300400,劲拓股份,17.45,-3.11,-0.56,65752,115933156.0,3.22,17.98,17.4,17.83,18.01,2.74,52.63,5.45
56,57,002876,三利谱,26.29,-3.13,-0.85,37042,98609438.0,3.17,27.11,26.25,27.04,27.14,2.49,52.96,1.94
57,58,688004,博汇科技,16.89,-3.26,-0.57,15299,26001471.0,3.44,17.38,16.78,17.38,17.46,1.91,-35.05,2.2
58,59,300327,中颖电子,24.03,-3.26,-0.81,87981,213752909.99,2.98,24.76,24.02,24.76,24.84,2.59,68.39,4.83
59,60,600845,宝信软件,30.38,-3.28,-1.03,251649,775186236.0,3.31,31.39,30.35,31.23,31.41,1.18,34.04,7.86
60,61,002848,高斯贝尔,6.7,-3.32,-0.23,77933,52802646.9,3.75,6.94,6.68,6.89,6.93,4.77,-12.13,10.18
61,62,300232,洲明科技,7.71,-3.38,-0.27,275455,214800776.43,3.38,7.95,7.68,7.94,7.98,3.11,49.41,1.75
62,63,002273,水晶光电,23.11,-3.39,-0.81,353833,827096434.66,3.26,23.86,23.08,23.72,23.92,2.61,27.98,3.64
63,64,300074,华平股份,4.81,-3.41,-0.17,214787,104482491.0,3.41,4.98,4.81,4.98,4.98,4.03,-32.62,2.53
64,65,834021,流金科技,6.88,-3.51,-0.25,165718,115305662.31,5.75,7.19,6.78,7.05,7.13,6.58,-70.76,3.33
65,66,688099,晶晨股份,79.79,-3.52,-2.91,83983,674713989.0,5.02,83.15,79.0,82.18,82.7,2.0,40.81,5.19
66,67,603660,苏州科达,7.61,-3.55,-0.28,231907,178731038.0,3.3,7.87,7.61,7.87,7.89,4.36,-8.6,4.79
67,68,002587,奥拓电子,6.21,-3.57,-0.23,235159,147336962.93,4.04,6.43,6.17,6.41,6.44,4.56,-153.1,3.04
68,69,300270,中威电子,8.01,-3.61,-0.3,110619,89671051.33,3.97,8.31,7.98,8.26,8.31,4.31,-36.12,3.92
69,70,300567,精测电子,68.89,-3.64,-2.6,110070,772265909.77,4.85,72.15,68.68,71.01,71.49,5.43,172.26,5.4
70,71,300269,联建光电,4.14,-3.72,-0.16,250813,104813613.0,3.95,4.3,4.13,4.27,4.3,4.77,-247.45,29.03
71,72,603986,兆易创新,123.61,-3.73,-4.79,166106,2077608093.0,3.86,128.13,123.18,127.0,128.4,2.51,73.98,5.13
72,73,600728,佳都科技,5.41,-3.74,-0.21,803487,439873331.0,3.38,5.59,5.4,5.59,5.62,3.75,-45.04,1.55
73,74,300672,国科微,72.62,-3.75,-2.83,53576,392599153.55,4.8,75.72,72.1,75.25,75.45,2.55,168.9,3.87
74,75,002238,天威视讯,9.2,-3.77,-0.36,205566,191973578.76,4.18,9.6,9.2,9.56,9.56,2.56,362.1,3.23
75,76,000801,四川九洲,16.62,-3.93,-0.68,433747,730189241.9,3.29,17.19,16.62,17.13,17.3,4.24,106.39,5.71
76,77,300162,雷曼光电,7.34,-3.93,-0.3,136917,101674194.0,4.19,7.64,7.32,7.62,7.64,4.02,-53.29,3.28
77,78,600839,四川长虹,11.13,-3.97,-0.46,2401479,2694651226.0,3.36,11.49,11.1,11.45,11.59,5.2,111.83,3.61
78,79,300682,朗新集团,13.24,-4.2,-0.58,144442,194192272.99,4.34,13.81,13.21,13.7,13.82,1.4,66.98,1.91
79,80,002189,中光学,20.2,-4.36,-0.92,80308,164624475.2,3.88,20.99,20.17,20.96,21.12,3.08,-177.33,4.91
80,81,300017,网宿科技,12.37,-4.4,-0.57,1233742,1549448425.53,3.86,12.86,12.36,12.81,12.94,5.39,52.87,3.15
81,82,300545,联得装备,33.79,-4.41,-1.56,63497,216694320.0,3.85,35.02,33.66,35.01,35.35,5.56,23.4,3.29
82,83,603297,永新光学,93.39,-4.57,-4.47,21217,200215561.0,4.92,97.51,92.7,97.51,97.86,1.92,55.51,5.58
