,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601608,中信重工,5.26,10.04,0.48,1713251,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
1,2,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
2,3,002389,航天彩虹,21.23,0.95,0.2,201903,424867987.8,3.47,21.45,20.72,20.79,21.03,2.04,2566.13,2.64
3,4,002951,*ST金时,7.17,0.7,0.05,5578,3965522.0,2.67,7.2,7.01,7.12,7.12,0.14,-47.49,1.58
4,5,600563,法拉电子,124.0,0.65,0.8,31326,388256018.0,2.35,125.5,122.61,124.0,123.2,1.39,26.85,5.28
5,6,300726,宏达电子,40.0,0.63,0.25,136647,546404008.35,4.1,40.68,39.05,39.05,39.75,6.4,47.22,3.36
6,7,000733,振华科技,54.72,0.39,0.21,148765,820772173.0,4.62,56.32,53.8,54.04,54.51,2.69,35.29,2.1
7,8,002091,江苏国泰,7.71,0.39,0.03,176669,136409131.67,1.69,7.79,7.66,7.66,7.68,1.11,11.26,0.8
8,9,002356,赫美集团,3.15,0.32,0.01,184825,58843203.12,4.78,3.27,3.12,3.17,3.14,1.41,-97.14,7.34
9,10,002028,思源电气,71.74,-0.22,-0.16,50402,363945699.91,2.53,73.32,71.5,71.81,71.9,0.83,26.69,4.48
10,11,603733,仙鹤股份,22.24,-0.58,-0.13,39999,88883596.0,1.92,22.43,22.0,22.3,22.37,0.57,14.41,2.06
11,12,000009,中国宝安,8.46,-0.7,-0.06,211580,179536921.14,1.53,8.55,8.42,8.52,8.52,0.83,42.46,2.15
12,13,600773,西藏城投,10.49,-0.76,-0.08,55556,58465617.0,1.61,10.62,10.45,10.57,10.57,0.58,-50.22,2.14
13,14,300960,通业科技,25.1,-0.95,-0.24,20545,51428969.0,2.37,25.4,24.8,25.16,25.34,2.21,61.32,4.3
14,15,605589,圣泉集团,28.18,-1.02,-0.29,84172,237994573.0,2.28,28.65,28.0,28.29,28.47,1.08,30.81,2.36
15,16,000636,风华高科,14.78,-1.2,-0.18,171624,254967404.78,2.34,15.05,14.7,14.9,14.96,1.48,48.31,1.41
16,17,600510,黑牡丹,5.28,-1.31,-0.07,89164,47106684.0,2.43,5.36,5.23,5.34,5.35,0.86,51.49,0.54
17,18,300174,元力股份,16.05,-1.53,-0.25,70116,112919358.0,2.21,16.34,15.98,16.27,16.3,1.93,20.68,1.81
18,19,002350,北京科锐,6.84,-1.72,-0.12,132091,91077959.6,3.02,7.03,6.82,6.94,6.96,2.5,1456.47,2.18
19,20,000021,深科技,19.54,-1.76,-0.35,356132,700950044.61,2.51,19.96,19.46,19.83,19.89,2.28,34.58,2.64
20,21,002480,新筑股份,5.43,-1.81,-0.1,215072,118354153.68,5.42,5.7,5.4,5.68,5.53,2.8,-12.31,3.59
21,22,600110,诺德股份,4.07,-1.93,-0.08,217985,89297655.0,2.65,4.16,4.05,4.12,4.15,1.26,-24.35,1.22
22,23,002484,江海股份,21.61,-2.04,-0.45,237790,515753939.0,3.35,22.14,21.4,21.73,22.06,2.9,27.88,3.22
23,24,002598,山东章鼓,10.83,-2.08,-0.23,92576,101039164.0,2.44,11.09,10.82,10.99,11.06,3.28,38.63,2.61
24,25,300037,新宙邦,33.7,-2.21,-0.76,103072,350242146.29,2.81,34.57,33.6,34.3,34.46,1.89,27.16,2.74
25,26,002418,康盛股份,3.51,-2.5,-0.09,655344,230819261.0,3.06,3.59,3.48,3.57,3.6,5.77,-303.23,2.64
26,27,000723,美锦能源,4.71,-3.29,-0.16,1156935,550598914.33,3.49,4.85,4.68,4.82,4.87,2.63,-23.91,1.43
27,28,002808,ST恒久,3.21,-3.31,-0.11,58588,19028669.0,4.22,3.33,3.19,3.29,3.32,3.14,-37.96,2.69
28,29,301238,瑞泰新材,19.11,-3.68,-0.73,142372,275134357.0,4.33,19.86,19.0,19.75,19.84,6.67,70.31,1.95
29,30,605376,博迁新材,40.06,-3.93,-1.64,57693,237140832.0,7.05,42.82,39.88,41.58,41.7,2.21,92.38,6.84
30,31,300466,赛摩智能,8.94,-5.6,-0.53,248972,225894296.0,4.65,9.37,8.93,9.37,9.47,5.93,-183.31,6.0
31,32,002347,泰尔股份,8.99,-5.96,-0.57,587443,541133087.78,6.07,9.56,8.98,9.36,9.56,11.91,-215.68,3.85
