,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000753,漳州发展,5.04,10.04,0.46,1730304,848309603.92,11.14,5.04,4.53,4.56,4.58,17.45,76.06,1.84
1,2,603280,南方路机,28.0,10.02,2.55,92157,249020109.0,12.89,28.0,24.72,24.96,25.45,32.98,27.02,2.33
2,3,300888,稳健医疗,45.26,4.0,1.74,116409,533122675.4,7.42,47.23,44.0,44.0,43.52,6.63,35.75,2.32
3,4,002444,巨星科技,29.19,2.03,0.58,221899,645123361.88,2.45,29.36,28.66,28.68,28.61,1.94,13.51,2.15
4,5,300993,玉马科技,10.87,1.12,0.12,143943,155796117.95,3.91,11.0,10.58,10.73,10.75,5.97,19.62,2.43
5,6,002769,普路通,7.7,0.39,0.03,79179,60635415.39,2.48,7.74,7.55,7.6,7.67,2.38,-48.44,2.42
6,7,002356,赫美集团,3.15,0.32,0.01,184825,58843203.12,4.78,3.27,3.12,3.17,3.14,1.41,-97.14,7.34
7,8,002315,焦点科技,43.38,0.3,0.13,87718,375697827.84,3.84,43.68,42.02,43.0,43.25,4.34,30.5,5.48
8,9,603069,海汽集团,19.4,0.15,0.03,91933,178880201.0,4.28,19.83,19.0,19.26,19.37,2.91,-767.99,6.8
9,10,300740,水羊股份,12.47,0.08,0.01,75987,94757008.0,1.61,12.58,12.38,12.46,12.46,2.13,38.49,2.43
10,11,600250,南京商旅,8.82,0.0,0.0,90325,79649826.0,1.59,8.9,8.76,8.82,8.82,2.91,52.55,4.56
11,12,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
12,13,601598,中国外运,5.08,0.0,0.0,247056,126326616.0,1.57,5.15,5.07,5.08,5.08,0.47,9.84,0.96
13,14,002404,嘉欣丝绸,6.53,0.0,0.0,120282,78807474.5,2.14,6.63,6.49,6.54,6.53,2.64,18.06,1.84
14,15,000417,合百集团,5.83,-0.17,-0.01,174112,101084474.32,1.54,5.85,5.76,5.8,5.84,2.23,16.34,0.96
15,16,300013,*ST新宁,3.66,-0.27,-0.01,65408,23903136.5,2.45,3.71,3.62,3.65,3.67,1.47,-48.19,8.45
16,17,603056,德邦股份,15.05,-0.27,-0.04,61558,93194411.0,2.72,15.38,14.97,15.03,15.09,0.6,17.83,1.81
17,18,000797,中国武夷,2.92,-0.34,-0.01,225769,65913540.0,2.05,2.95,2.89,2.93,2.93,1.44,73.73,0.88
18,19,603408,建霖家居,13.54,-0.44,-0.06,33856,46208380.0,3.38,13.91,13.45,13.64,13.6,0.76,11.46,1.9
19,20,603059,倍加洁,25.17,-0.47,-0.12,8288,20925031.0,2.85,25.58,24.86,25.3,25.29,0.83,45.42,2.26
20,21,300213,佳讯飞鸿,10.43,-0.48,-0.05,1288602,1375472492.87,5.73,10.96,10.36,10.8,10.48,23.38,126.37,2.79
21,22,001300,三柏硕,12.59,-0.55,-0.07,38690,48897174.5,3.48,12.91,12.47,12.56,12.66,5.84,111.3,2.91
22,23,000632,三木集团,3.58,-0.56,-0.02,178029,64167715.77,4.17,3.7,3.55,3.59,3.6,3.82,-13.71,1.14
23,24,300464,星徽股份,5.14,-0.58,-0.03,129486,67146746.0,2.32,5.25,5.13,5.19,5.17,3.64,-41.08,4.3
24,25,002352,顺丰控股,42.73,-0.72,-0.31,156278,670942226.14,2.25,43.48,42.51,43.0,43.04,0.33,20.98,2.54
25,26,600630,龙头股份,9.22,-0.75,-0.07,110381,101974124.0,1.72,9.32,9.16,9.25,9.29,2.6,77.8,5.2
26,27,001391,国货航,6.64,-0.75,-0.05,322885,215115438.04,1.2,6.7,6.62,6.69,6.69,3.85,55.04,3.41
