,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301136,招标股份,13.95,10.1,1.28,319982.0,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
1,2,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
2,3,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
3,4,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
4,5,300807,天迈科技,41.15,5.51,2.15,83334.0,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
5,6,000851,ST高鸿,2.74,4.98,0.13,589538.0,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
6,7,300252,金信诺,12.06,3.52,0.41,801192.0,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
7,8,300698,万马科技,41.95,3.38,1.37,69156.0,284732598.32,8.5,42.8,39.35,40.9,40.58,5.83,135.02,11.85
8,9,300177,中海达,12.8,3.23,0.4,1456461.0,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
9,10,300846,首都在线,30.45,3.22,0.95,1505927.0,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
10,11,002609,捷顺科技,9.7,3.19,0.3,281162.0,270058197.56,5.11,9.72,9.24,9.35,9.4,6.12,109.16,2.62
11,12,301027,华蓝集团,14.41,2.86,0.4,38179.0,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
12,13,600764,中国海防,31.64,2.56,0.79,371930.0,1205940057.0,10.02,33.94,30.85,30.98,30.85,5.23,113.12,2.79
13,14,002383,合众思壮,8.82,2.44,0.21,383237.0,336332254.04,5.11,8.95,8.51,8.63,8.61,6.22,-76.85,3.57
14,15,300386,飞天诚信,16.95,1.44,0.24,140107.0,235460152.0,2.87,16.98,16.5,16.69,16.71,5.64,-235.75,4.65
15,16,600733,北汽蓝谷,8.54,1.3,0.11,2376444.0,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
16,17,002682,龙洲股份,4.93,1.23,0.06,579335.0,285736351.54,5.13,5.03,4.78,4.82,4.87,10.3,-28.8,1.93
17,18,688787,海天瑞声,111.4,1.09,1.2,46774.0,528852875.0,7.69,117.88,109.41,111.3,110.2,7.75,599.22,9.04
18,19,600720,中交设计,8.77,0.92,0.08,95372.0,83700609.0,2.19,8.85,8.66,8.7,8.69,1.23,15.39,1.41
19,20,300500,启迪设计,11.9,0.59,0.07,102221.0,121421292.13,4.73,12.19,11.63,11.8,11.83,6.1,-90.7,1.75
20,21,600745,闻泰科技,34.89,0.58,0.2,322446.0,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
21,22,600035,楚天高速,4.29,0.23,0.01,149808.0,64383004.0,1.4,4.32,4.26,4.28,4.28,0.93,8.75,0.8
22,23,000572,海马汽车,4.22,0.0,0.0,871475.0,366159953.0,5.69,4.35,4.11,4.19,4.22,5.31,92.78,3.56
23,24,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
24,25,300732,设研院,6.89,-0.29,-0.02,63621.0,43847858.9,1.88,6.96,6.83,6.88,6.91,1.97,-11.3,0.85
25,26,002352,顺丰控股,42.73,-0.72,-0.31,156278.0,670942226.14,2.25,43.48,42.51,43.0,43.04,0.33,20.98,2.54
26,27,688489,三未信安,36.96,-0.75,-0.28,7985.0,29480089.0,3.03,37.33,36.2,37.01,37.24,1.58,100.46,2.29
27,28,002151,北斗星通,26.54,-0.75,-0.2,68595.0,182998464.25,2.02,27.02,26.48,26.53,26.74,1.55,-169.76,2.63
28,29,002446,盛路通信,6.71,-0.89,-0.06,333580.0,225411896.93,3.55,6.91,6.67,6.73,6.77,3.94,69.31,1.87
29,30,688648,中邮科技,24.43,-0.89,-0.22,10162.0,24931703.0,2.15,24.83,24.3,24.7,24.65,1.54,-22.15,2.13
30,31,603341,龙旗科技,45.5,-1.04,-0.48,42895.0,195432575.0,3.89,46.41,44.62,45.67,45.98,1.61,36.84,3.83
31,32,601138,工业富联,20.63,-1.06,-0.22,714499.0,1479176185.0,1.58,20.91,20.58,20.78,20.85,0.36,17.65,2.68
32,33,688009,中国通号,5.61,-1.06,-0.06,365166.0,207122840.0,2.29,5.74,5.61,5.66,5.67,0.42,17.04,1.24
33,34,301508,中机认检,34.29,-1.15,-0.4,18134.0,62558144.0,2.31,34.98,34.18,34.61,34.69,3.08,58.68,4.0
34,35,603357,设计总院,9.33,-1.17,-0.11,96243.0,90605250.0,2.44,9.54,9.31,9.41,9.44,1.75,12.48,1.47
35,36,002413,雷科防务,4.95,-1.2,-0.06,454374.0,228288556.08,3.19,5.1,4.94,4.99,5.01,3.63,-36.36,1.77
36,37,000800,一汽解放,8.06,-1.23,-0.1,135355.0,109977642.34,2.33,8.23,8.04,8.15,8.16,0.29,81.83,1.52
37,38,002148,北纬科技,7.38,-1.34,-0.1,225638.0,169140501.4,3.61,7.65,7.38,7.48,7.48,5.02,158.11,3.37
38,39,301099,雅创电子,51.0,-1.35,-0.7,52562.0,270859415.31,3.83,52.53,50.55,51.43,51.7,7.71,41.76,4.12
39,40,600335,国机汽车,6.84,-1.44,-0.1,269698.0,186267294.0,2.88,7.02,6.82,6.89,6.94,1.8,25.02,0.92
40,41,301505,苏州规划,23.9,-1.44,-0.35,13032.0,31237885.0,1.53,24.18,23.81,24.18,24.25,2.24,94.86,2.15
41,42,301139,元道通信,34.27,-1.44,-0.5,117785.0,400412792.86,6.56,35.17,32.89,34.22,34.77,16.42,66.92,2.14
42,43,000901,航天科技,11.81,-1.5,-0.18,206401.0,246095907.42,2.17,12.05,11.79,11.94,11.99,2.59,-653.26,2.25
43,44,600406,国电南瑞,22.15,-1.51,-0.34,370082.0,826761565.0,2.31,22.67,22.15,22.44,22.49,0.46,29.83,3.86
44,45,000625,长安汽车,12.91,-1.53,-0.2,916534.0,1188739579.58,1.53,13.1,12.9,13.08,13.11,1.11,26.81,1.76
45,46,300845,捷安高科,14.08,-1.54,-0.22,68368.0,97752965.82,4.41,14.66,14.03,14.27,14.3,6.68,173.3,2.61
46,47,002161,远 望 谷,6.16,-1.6,-0.1,242114.0,150529812.03,4.15,6.38,6.12,6.2,6.26,3.39,53.97,2.92
47,48,600166,福田汽车,2.45,-1.61,-0.04,1333615.0,330414949.0,2.81,2.51,2.44,2.49,2.49,2.06,33.66,1.33
48,49,600855,航天长峰,11.55,-1.62,-0.19,82615.0,96014599.0,2.64,11.78,11.47,11.69,11.74,1.77,-40.81,3.08
49,50,002314,南山控股,2.42,-1.63,-0.04,510527.0,126471445.34,5.69,2.55,2.41,2.46,2.46,3.81,-14.1,0.66
50,51,002405,四维图新,9.0,-1.64,-0.15,395740.0,358789438.08,2.62,9.21,8.97,9.15,9.15,1.68,-32.9,2.27
51,52,688515,裕太微-U,101.77,-1.68,-1.74,13956.0,145037522.0,5.27,106.96,101.5,104.99,103.51,2.8,-41.2,5.05
52,53,600104,上汽集团,15.32,-1.73,-0.27,376165.0,580088801.0,1.92,15.61,15.31,15.55,15.59,0.32,19.25,0.61
53,54,300597,吉大通信,9.5,-1.76,-0.17,82346.0,78670188.28,2.59,9.7,9.45,9.63,9.67,3.03,231.38,2.54
54,55,002415,海康威视,31.33,-1.76,-0.56,355063.0,1118983882.67,2.13,31.94,31.26,31.85,31.89,0.39,24.19,3.59
55,56,601799,星宇股份,134.01,-1.77,-2.42,47016.0,633719752.0,3.98,138.48,133.05,136.52,136.43,1.65,27.18,3.76
56,57,601500,通用股份,5.45,-1.8,-0.1,382230.0,209822926.0,2.52,5.57,5.43,5.52,5.55,2.42,17.1,1.46
57,58,002912,中新赛克,28.86,-1.8,-0.53,40135.0,116171431.8,2.28,29.34,28.67,29.32,29.39,2.47,82.23,2.93
58,59,301215,中汽股份,5.92,-1.82,-0.11,128337.0,76597749.07,2.82,6.07,5.9,6.01,6.03,0.97,53.06,2.8
59,60,688631,莱斯信息,97.86,-1.83,-1.82,19932.0,194997620.0,3.02,99.87,96.86,99.5,99.68,3.25,123.36,8.3
60,61,002268,电科网安,17.06,-1.84,-0.32,95738.0,164676479.0,2.53,17.45,17.01,17.38,17.38,1.13,-50.75,2.74
61,62,002465,海格通信,11.92,-1.89,-0.23,466325.0,556962763.49,3.62,12.21,11.77,12.07,12.15,1.92,119.98,2.33
62,63,002414,高德红外,8.24,-1.9,-0.16,343956.0,284802174.87,3.1,8.44,8.18,8.36,8.4,1.01,525.63,5.17
63,64,002806,华锋股份,12.7,-1.93,-0.25,69728.0,88896768.78,2.93,12.98,12.6,12.83,12.95,4.42,355.74,2.8
64,65,603232,格尔软件,15.23,-1.93,-0.3,92435.0,141544625.0,4.89,15.79,15.03,15.38,15.53,4.0,-70.89,2.68
65,66,002439,启明星辰,17.59,-1.95,-0.35,309157.0,546286075.98,2.29,17.92,17.51,17.68,17.94,4.27,-76.51,1.87
66,67,002357,富临运业,8.0,-1.96,-0.16,132117.0,106313024.8,2.57,8.18,7.97,8.13,8.16,4.21,20.93,1.65
67,68,300469,信息发展,36.05,-1.98,-0.73,124051.0,442499280.08,4.05,36.7,35.21,36.28,36.78,5.0,-103.07,17.47
68,69,301282,金禄电子,24.11,-2.03,-0.5,42548.0,103280799.0,3.09,24.71,23.95,24.57,24.61,5.9,48.0,2.18
69,70,603528,多伦科技,9.04,-2.06,-0.19,314975.0,293012704.0,8.02,9.75,9.01,9.2,9.23,4.46,113.97,3.21
70,71,600476,湘邮科技,16.51,-2.08,-0.35,59592.0,99431921.0,3.08,17.02,16.5,16.8,16.86,3.7,-467.28,20.93
71,72,003019,宸展光电,36.07,-2.09,-0.77,61365.0,223001460.24,3.12,37.14,35.99,37.0,36.84,3.64,28.97,4.25
72,73,002230,科大讯飞,48.54,-2.1,-1.04,352148.0,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
73,74,001339,智微智能,56.09,-2.13,-1.22,117868.0,671751652.54,6.0,58.75,55.31,56.11,57.31,16.12,128.15,6.91
74,75,603508,思维列控,23.77,-2.18,-0.53,40126.0,96297880.0,2.55,24.36,23.74,24.17,24.3,1.05,20.74,2.01
75,76,000925,众合科技,8.91,-2.2,-0.2,459177.0,410755545.0,3.95,9.16,8.8,9.02,9.11,6.8,-51.97,1.83
76,77,600850,电科数字,25.13,-2.22,-0.57,105008.0,266409356.0,2.61,25.77,25.1,25.58,25.7,1.71,42.76,3.74
77,78,002819,东方中科,26.71,-2.27,-0.62,61716.0,165011057.33,3.11,27.23,26.38,27.05,27.33,2.62,-71.53,1.97
78,79,300579,数字认证,29.33,-2.3,-0.69,41087.0,121612943.1,3.26,30.2,29.22,29.88,30.02,1.57,-218.86,8.83
79,80,301313,凡拓数创,23.64,-2.31,-0.56,28555.0,67957318.0,2.52,24.15,23.54,24.12,24.2,4.28,-14.6,2.81
80,81,002396,星网锐捷,20.74,-2.35,-0.5,119862.0,251806424.45,2.87,21.33,20.72,21.15,21.24,2.05,34.84,1.86
81,82,002017,东信和平,10.75,-2.36,-0.26,120933.0,131055271.28,2.63,11.01,10.72,10.93,11.01,2.08,39.35,3.71
82,83,300036,超图软件,16.92,-2.37,-0.41,91153.0,155863895.55,2.77,17.36,16.88,17.24,17.33,2.08,237.7,2.92
83,84,601238,广汽集团,8.54,-2.4,-0.21,351442.0,303163661.0,2.63,8.75,8.52,8.75,8.75,0.48,543.99,0.76
84,85,002920,德赛西威,115.4,-2.41,-2.85,50068.0,583537761.89,3.48,119.11,115.0,118.03,118.25,0.91,31.94,6.64
85,86,301132,满坤科技,28.3,-2.41,-0.7,20265.0,58020730.0,3.14,29.17,28.26,28.82,29.0,4.4,43.85,2.4
86,87,300188,国投智能,14.81,-2.44,-0.37,178380.0,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
87,88,688015,交控科技,20.43,-2.48,-0.52,14185.0,29174175.0,2.77,20.88,20.3,20.76,20.95,0.75,46.04,1.51
88,89,300825,阿尔特,12.93,-2.49,-0.33,275986.0,364756548.38,4.98,13.56,12.9,13.38,13.26,5.7,3889.36,2.65
89,90,688060,云涌科技,36.23,-2.5,-0.93,2853.0,10459189.0,3.77,37.57,36.17,37.0,37.16,0.47,-224.34,2.33
90,91,002883,中设股份,11.21,-2.52,-0.29,58399.0,66147620.8,2.87,11.53,11.2,11.47,11.5,4.29,68.57,2.55
91,92,603927,中科软,22.0,-2.53,-0.57,135453.0,300617634.0,3.28,22.62,21.88,22.58,22.57,1.63,47.32,5.67
92,93,000030,富奥股份,6.06,-2.57,-0.16,240480.0,146862450.8,4.02,6.27,6.02,6.23,6.22,1.42,17.83,1.37
