,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300569,天能重工,6.32,19.92,1.05,1277900,770810997.99,19.92,6.32,5.27,5.38,5.27,12.56,841.41,1.18
1,2,300798,锦鸡股份,10.32,10.97,1.02,1137502,1119519762.34,23.12,10.86,8.71,8.8,9.3,30.55,411.11,2.85
2,3,603776,永安行,24.61,10.01,2.24,148743,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
3,4,300185,通裕重工,2.9,7.41,0.2,3683071,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
4,5,300850,新强联,28.76,6.76,1.82,204246,590345612.99,12.84,30.28,26.82,26.82,26.94,8.32,-214.42,2.13
5,6,300265,通光线缆,10.06,6.46,0.61,852913,870031475.61,16.61,11.0,9.43,9.43,9.45,18.62,66.51,2.05
6,7,001212,中旗新材,27.9,6.41,1.68,83970,226725334.76,8.7,27.98,25.7,26.21,26.22,8.2,67.69,2.15
7,8,603685,晨丰科技,13.63,5.99,0.77,67607,89256091.0,8.79,13.66,12.53,12.86,12.86,4.0,123.6,2.05
8,9,300692,中环环保,6.78,4.47,0.29,238637,158216236.63,9.09,6.96,6.37,6.39,6.49,6.36,29.05,1.34
9,10,300501,海顺新材,16.44,4.25,0.67,125635,203376876.26,5.45,16.51,15.65,15.85,15.77,10.03,29.93,1.97
10,11,600810,神马股份,8.86,4.24,0.36,394810,344007950.0,8.82,9.15,8.4,8.41,8.5,3.93,268.23,1.3
11,12,300826,测绘股份,16.98,3.85,0.63,97271,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
12,13,600482,中国动力,23.4,3.54,0.8,616091,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
13,14,603131,上海沪工,20.75,3.54,0.71,312022,643272548.0,8.48,21.58,19.88,20.12,20.04,9.81,105.3,5.33
14,15,688357,建龙微纳,27.78,3.54,0.95,24966,68103682.0,5.4,27.99,26.54,27.05,26.83,2.5,37.35,1.55
15,16,300527,中船应急,8.88,3.5,0.3,691342,612408034.68,6.41,9.06,8.51,8.53,8.58,7.01,1302.74,3.35
16,17,001317,三羊马,33.51,3.04,0.99,60246,200776897.85,7.38,34.7,32.3,32.3,32.52,14.35,173.26,3.31
17,18,300779,惠城环保,150.0,2.74,4.0,38114,567294752.7,3.32,150.0,145.15,145.15,146.0,2.43,507.73,22.31
18,19,603112,华翔股份,15.18,2.71,0.4,219118,336644015.0,7.65,15.88,14.75,14.87,14.78,5.02,15.7,2.42
19,20,000708,中信特钢,12.95,2.61,0.33,414051,537282470.2,5.23,13.18,12.52,12.61,12.62,0.82,12.75,1.62
20,21,002034,旺能环境,19.3,2.55,0.48,132868,253936374.92,4.09,19.49,18.72,18.72,18.82,3.11,12.12,1.22
21,22,300057,万顺新材,5.46,2.25,0.12,462102,250883087.52,5.24,5.54,5.26,5.3,5.34,6.45,-100.6,0.9
22,23,603228,景旺电子,35.69,1.97,0.69,270611,959242410.0,3.4,35.85,34.66,34.73,35.0,2.94,27.6,3.07
23,24,300952,恒辉安防,33.58,1.97,0.65,175462,603691030.71,7.99,35.58,32.95,32.95,32.93,19.56,42.23,3.74
24,25,301216,万凯新材,13.39,1.9,0.25,83676,111147720.91,2.82,13.45,13.08,13.1,13.14,2.94,-55.64,1.25
25,26,300483,首华燃气,9.67,1.9,0.18,106286,101739508.7,5.16,9.85,9.36,9.43,9.49,4.1,-24.84,1.06
26,27,605222,起帆电缆,16.39,1.86,0.3,91293,150112096.0,4.85,16.79,16.01,16.04,16.09,2.21,24.14,1.49
27,28,603486,科沃斯,65.11,1.8,1.15,99793,663286012.0,7.41,68.39,63.65,63.95,63.96,1.75,45.68,5.47
28,29,603579,荣泰健康,18.77,1.79,0.33,75170,142005349.0,5.75,19.35,18.29,18.29,18.44,4.24,17.52,1.75
29,30,300933,中辰股份,8.16,1.75,0.14,468626,382523368.56,7.73,8.48,7.86,8.01,8.02,10.06,59.8,2.44
30,31,002540,亚太科技,6.4,1.75,0.11,249184,157916640.72,3.18,6.44,6.24,6.31,6.29,2.87,17.14,1.5
31,32,002225,濮耐股份,5.84,1.74,0.1,224699,129921208.7,4.36,5.89,5.64,5.72,5.74,2.72,36.01,1.76
32,33,003036,泰坦股份,12.98,1.72,0.22,78570,100090027.0,8.23,13.23,12.18,12.75,12.76,3.64,25.99,2.07
33,34,601963,重庆银行,9.45,1.61,0.15,158144,149115014.0,2.26,9.5,9.29,9.35,9.3,0.84,6.42,0.62
34,35,603608,*ST天创,4.49,1.58,0.07,59917,26804476.0,3.85,4.57,4.4,4.47,4.42,1.43,-45.94,1.69
35,36,603878,武进不锈,5.85,1.56,0.09,147499,86953756.0,4.34,6.0,5.75,5.76,5.76,2.63,14.43,1.24
36,37,002822,ST中装,3.58,1.42,0.05,80447,28459181.43,3.68,3.6,3.47,3.52,3.53,1.47,-2.48,1.38
37,38,688388,嘉元科技,19.24,1.42,0.27,123026,237298820.0,3.85,19.62,18.89,18.9,18.97,2.89,-37.17,1.19
38,39,603707,健友股份,14.38,1.34,0.19,110542,159242999.0,3.66,14.7,14.18,14.21,14.19,0.68,28.76,3.73
39,40,300776,帝尔激光,64.04,1.3,0.82,49035,312850790.46,4.16,65.15,62.52,63.17,63.22,2.93,34.26,5.48
40,41,002459,晶澳科技,12.82,1.26,0.16,630570,809412607.85,3.55,13.02,12.57,12.65,12.66,1.91,-65.7,1.36
41,42,603912,佳力图,10.92,1.2,0.13,671924,728482848.0,5.47,11.16,10.57,10.65,10.79,12.4,164.99,3.22
42,43,601515,东峰集团,3.44,1.18,0.04,492855,167848718.0,4.41,3.47,3.32,3.38,3.4,2.63,-25.41,1.17
43,44,603477,巨星农牧,18.81,1.13,0.21,147970,275480918.0,2.85,18.86,18.33,18.5,18.6,2.9,18.5,3.12
44,45,600231,凌钢股份,1.83,1.1,0.02,279854,51485036.0,3.87,1.87,1.8,1.81,1.81,0.99,-2.87,0.88
45,46,002408,齐翔腾达,4.92,1.03,0.05,245551,120696217.0,2.87,4.99,4.85,4.87,4.87,0.9,53.39,1.23
46,47,605162,新中港,7.91,1.02,0.08,90429,71525340.0,2.17,7.97,7.8,7.82,7.83,2.26,26.52,2.59
47,48,300529,健帆生物,26.05,1.01,0.26,74339,193079313.25,1.94,26.23,25.73,25.79,25.79,1.45,19.71,6.56
48,49,603810,丰山集团,12.62,0.96,0.12,65713,84057330.0,5.44,13.1,12.42,12.45,12.5,3.98,-63.15,1.42
49,50,003009,中天火箭,40.56,0.95,0.38,24190,98127751.87,2.34,40.94,40.0,40.15,40.18,1.56,275.07,4.02
50,51,300517,海波重科,9.91,0.92,0.09,80607,80495544.4,5.09,10.21,9.71,9.79,9.82,6.5,84.08,1.91
51,52,002714,牧原股份,38.58,0.84,0.32,542622,2082103680.81,4.0,39.25,37.72,38.26,38.26,1.42,11.79,2.97
52,53,300870,欧陆通,148.3,0.77,1.13,31075,461576205.73,3.74,151.5,146.0,146.0,147.17,2.94,75.01,7.26
53,54,688599,天合光能,17.8,0.74,0.13,292183,520531517.0,2.38,18.0,17.58,17.6,17.67,1.34,-11.23,1.47
54,55,003043,华亚智能,50.38,0.72,0.36,18816,93910919.72,3.68,51.0,49.16,49.61,50.02,3.86,54.26,2.49
55,56,603757,大元泵业,25.4,0.71,0.18,61298,155100147.0,4.56,25.96,24.81,25.13,25.22,3.72,16.21,2.73
56,57,002809,红墙股份,8.99,0.67,0.06,147436,134636141.6,6.72,9.42,8.82,8.85,8.93,10.7,35.5,1.18
57,58,601016,节能风电,3.13,0.64,0.02,850023,265804255.0,1.93,3.15,3.09,3.1,3.11,1.42,12.88,1.18
58,59,600496,精工钢构,3.31,0.61,0.02,330749,109716990.0,2.13,3.35,3.28,3.29,3.29,1.64,10.51,0.76
59,60,001205,盛航股份,18.96,0.58,0.11,112688,214245444.44,2.71,19.27,18.76,18.9,18.85,7.5,19.84,1.76
60,61,600745,闻泰科技,34.89,0.58,0.2,322446,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
61,62,601208,东材科技,9.47,0.53,0.05,157034,147395256.0,2.76,9.53,9.27,9.42,9.42,1.75,26.97,1.94
62,63,000065,北方国际,11.33,0.53,0.06,477779,550341543.46,5.5,11.78,11.16,11.2,11.27,5.09,11.6,1.27
63,64,600577,精达股份,7.92,0.51,0.04,1596552,1275002306.0,5.33,8.18,7.76,7.79,7.88,7.43,30.69,3.09
64,65,301040,中环海陆,16.34,0.49,0.08,63939,106158324.2,6.83,17.26,16.15,16.21,16.26,8.93,-18.23,1.85
65,66,601330,绿色动力,6.58,0.46,0.03,87794,58043064.0,2.14,6.67,6.53,6.54,6.55,0.89,13.65,1.16
66,67,300398,飞凯材料,16.52,0.43,0.07,268655,448387780.93,4.07,16.9,16.23,16.4,16.45,5.1,31.91,2.28
67,68,002918,蒙娜丽莎,9.56,0.42,0.04,65377,62359886.0,1.58,9.62,9.47,9.48,9.52,2.98,21.18,0.96
68,69,301127,天源环保,17.8,0.39,0.07,182526,329071916.91,4.17,18.4,17.66,17.92,17.73,4.2,34.56,3.67
69,70,002091,江苏国泰,7.71,0.39,0.03,176669,136409131.67,1.69,7.79,7.66,7.66,7.68,1.11,11.26,0.8
70,71,300332,天壕能源,5.29,0.38,0.02,318755,169772007.72,3.04,5.39,5.23,5.24,5.27,3.84,26.08,1.1
71,72,688311,盟升电子,39.55,0.36,0.14,27577,108873844.0,3.96,40.0,38.44,39.02,39.41,1.64,-24.82,4.04
72,73,600939,重庆建工,2.87,0.35,0.01,192764,55375498.0,2.1,2.9,2.84,2.85,2.86,1.01,-77.78,0.69
73,74,601686,友发集团,5.68,0.35,0.02,26512,15056921.0,1.24,5.72,5.65,5.65,5.66,0.19,60.77,1.38
74,75,688516,奥特维,42.79,0.33,0.14,47100,201068839.0,2.27,43.26,42.29,42.71,42.65,1.62,10.26,3.24
75,76,603289,泰瑞机器,9.69,0.31,0.03,70630,68458793.0,3.21,9.83,9.52,9.63,9.66,2.41,48.58,2.04
76,77,002895,川恒股份,22.88,0.31,0.07,45867,105027899.0,2.32,23.17,22.64,22.82,22.81,0.85,13.75,2.16
77,78,688223,晶科能源,6.94,0.29,0.02,499814,346055786.0,2.02,7.0,6.86,6.88,6.92,0.5,766.9,2.15
78,79,301266,宇邦新材,38.18,0.29,0.11,32116,122490491.0,2.68,38.68,37.66,37.99,38.07,7.41,67.77,2.39
79,80,605368,蓝天燃气,10.65,0.28,0.03,41272,43950923.0,0.75,10.68,10.6,10.62,10.62,0.62,12.64,2.17
80,81,002135,东南网架,4.41,0.23,0.01,134518,59522793.56,2.05,4.47,4.38,4.4,4.4,1.29,22.59,0.78
81,82,000789,万年青,5.33,0.19,0.01,51998,27676893.2,1.69,5.37,5.28,5.3,5.32,0.65,456.8,0.63
82,83,000498,山东路桥,5.91,0.17,0.01,112692,66730646.23,1.69,5.97,5.87,5.89,5.9,0.77,4.75,0.65
83,84,002430,杭氧股份,21.04,0.14,0.03,101975,215702774.15,2.86,21.48,20.88,20.91,21.01,1.04,22.99,2.33
84,85,603689,皖天然气,8.72,0.11,0.01,35089,30624283.0,1.49,8.79,8.66,8.69,8.71,0.72,11.33,1.34
85,86,603896,寿仙谷,20.89,0.1,0.02,51780,109775667.0,5.41,21.89,20.76,21.57,20.87,2.61,26.17,1.92
86,87,300740,水羊股份,12.47,0.08,0.01,75987,94757008.0,1.61,12.58,12.38,12.46,12.46,2.13,38.49,2.43
87,88,603377,ST东时,2.88,0.0,0.0,91238,26200458.0,4.17,2.95,2.83,2.83,2.88,1.28,-14.1,1.21
88,89,002887,绿茵生态,7.62,0.0,0.0,44760,34046794.0,2.36,7.7,7.52,7.65,7.62,2.81,33.86,0.93
89,90,688186,广大特材,23.7,0.0,0.0,62855,149840559.0,5.06,24.5,23.3,23.6,23.7,2.93,42.65,1.4
90,91,601139,深圳燃气,6.7,0.0,0.0,132103,88691359.0,1.34,6.75,6.66,6.69,6.7,0.46,13.23,1.24
91,92,002958,青农商行,3.05,0.0,0.0,536898,163686209.11,2.3,3.08,3.01,3.05,3.05,1.09,3.97,0.48
92,93,000552,甘肃能化,2.61,0.0,0.0,600684,157395936.65,1.92,2.64,2.59,2.61,2.61,1.61,10.15,0.84
93,94,000401,冀东水泥,5.11,0.0,0.0,113757,58354044.53,1.96,5.18,5.08,5.1,5.11,0.71,-34.33,0.48
94,95,601158,重庆水务,4.85,0.0,0.0,94527,45991479.0,1.44,4.9,4.83,4.86,4.85,0.2,23.94,1.37
95,96,688350,富淼科技,13.97,-0.07,-0.01,13324,18702944.0,2.43,14.2,13.86,13.95,13.98,1.09,-346.85,1.22
96,97,601128,常熟银行,7.26,-0.14,-0.01,255027,184797482.0,1.24,7.3,7.21,7.23,7.27,0.85,5.52,0.81
97,98,300973,立高食品,42.84,-0.14,-0.06,28873,124935446.6,3.66,44.03,42.46,42.78,42.9,2.54,26.79,3.21
98,99,603638,艾迪精密,22.56,-0.18,-0.04,194102,448042805.0,11.19,24.58,22.05,22.05,22.6,2.34,50.12,5.9
99,100,605090,九丰能源,26.08,-0.27,-0.07,37064,96980273.0,1.38,26.33,25.97,26.13,26.15,0.58,8.22,1.85
100,101,300732,设研院,6.89,-0.29,-0.02,63621,43847858.9,1.88,6.96,6.83,6.88,6.91,1.97,-11.3,0.85
101,102,600903,贵州燃气,6.68,-0.3,-0.02,88643,59313042.0,1.64,6.74,6.63,6.69,6.7,0.77,46.65,2.51
102,103,603992,松霖科技,24.66,-0.32,-0.08,25461,62853633.0,2.26,24.96,24.4,24.76,24.74,0.61,23.58,3.25
103,104,603529,爱玛科技,45.99,-0.33,-0.15,80843,362463004.0,5.07,45.99,43.65,45.72,46.14,0.96,19.13,4.78
104,105,002534,西子洁能,13.35,-0.37,-0.05,79596,106595028.36,2.69,13.57,13.21,13.34,13.4,1.09,17.48,2.41
105,106,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
106,107,002930,宏川智慧,10.39,-0.38,-0.04,76937,80629326.89,2.68,10.62,10.34,10.38,10.43,1.78,20.82,1.92
107,108,601009,南京银行,10.23,-0.39,-0.04,375935,386583501.0,1.95,10.38,10.18,10.28,10.27,0.38,5.61,0.6
108,109,600713,南京医药,5.01,-0.4,-0.02,102281,51415499.0,1.39,5.06,4.99,5.01,5.03,0.79,11.13,0.98
109,110,605337,李子园,12.49,-0.4,-0.05,147860,184174867.0,4.7,12.87,12.28,12.29,12.54,3.75,23.5,3.0
110,111,300614,百川畅银,12.03,-0.41,-0.05,24470,29364260.68,2.65,12.23,11.91,12.23,12.08,1.53,-19.47,1.44
111,112,002111,威海广泰,11.6,-0.43,-0.05,123737,143117749.67,2.92,11.74,11.4,11.62,11.65,2.59,35.91,2.01
112,113,002287,奇正藏药,21.98,-0.45,-0.1,19293,42877728.57,4.76,22.91,21.86,22.59,22.08,0.36,20.28,2.96
113,114,300498,温氏股份,16.55,-0.48,-0.08,339074,563391665.42,1.86,16.79,16.48,16.57,16.63,0.65,11.91,2.69
114,115,000703,恒逸石化,6.06,-0.49,-0.03,127639,77549906.44,1.64,6.13,6.03,6.09,6.09,0.35,72.16,0.95
115,116,000726,鲁  泰Ａ,6.15,-0.49,-0.03,68478,42267544.64,1.62,6.22,6.12,6.19,6.18,1.16,13.1,0.55
116,117,002455,百川股份,8.01,-0.5,-0.04,164977,133109886.0,2.24,8.16,7.98,8.05,8.05,3.25,43.8,2.7
117,118,603916,苏博特,7.88,-0.51,-0.04,38357,30325618.0,1.77,7.98,7.84,7.97,7.92,0.91,32.53,0.82
118,119,603817,海峡环保,5.74,-0.52,-0.03,65313,37630325.0,1.56,5.81,5.72,5.77,5.77,1.18,13.92,1.12
119,120,603609,禾丰股份,7.6,-0.52,-0.04,39678,30236232.0,1.7,7.69,7.56,7.64,7.64,0.43,18.13,1.07
120,121,300487,蓝晓科技,47.96,-0.52,-0.25,29523,141850701.0,1.58,48.47,47.71,48.17,48.21,0.96,30.62,6.88
121,122,688239,航宇科技,42.87,-0.53,-0.23,34388,148800174.0,2.76,43.87,42.68,42.85,43.1,2.34,33.59,3.45
122,123,603077,和邦生物,1.87,-0.53,-0.01,1019180,192220503.0,2.66,1.91,1.86,1.88,1.88,1.15,55.96,0.88
123,124,600888,新疆众和,7.2,-0.55,-0.04,163129,118143886.0,1.52,7.29,7.18,7.21,7.24,1.19,8.51,0.94
124,125,600461,洪城环境,8.82,-0.56,-0.05,107243,94996850.0,1.47,8.93,8.8,8.86,8.87,0.9,9.22,1.26
125,126,000528,柳    工,12.49,-0.56,-0.07,329110,411770766.83,2.23,12.68,12.4,12.49,12.56,1.63,14.32,1.42
126,127,002996,顺博合金,7.01,-0.57,-0.04,269815,189864701.4,3.26,7.15,6.92,7.08,7.05,6.48,21.42,1.49
127,128,603733,仙鹤股份,22.24,-0.58,-0.13,39999,88883596.0,1.92,22.43,22.0,22.3,22.37,0.57,14.41,2.06
