,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,833819,颖泰生物,4.04,3.06,0.12,261038,103735537.63,5.61,4.06,3.84,3.86,3.92,2.16,-6.74,0.98
1,2,300197,节能铁汉,2.27,1.34,0.03,1016900,231221902.43,4.46,2.32,2.22,2.24,2.24,3.43,-7.97,1.81
2,3,002170,芭田股份,10.45,-0.29,-0.03,172681,180909601.53,2.67,10.65,10.37,10.41,10.48,2.43,36.89,3.35
3,4,002100,天康生物,6.25,-0.48,-0.03,215347,134870690.0,1.75,6.32,6.21,6.27,6.28,1.58,11.31,1.23
4,5,002385,大北农,4.05,-0.49,-0.02,601495,244183984.28,1.47,4.09,4.03,4.06,4.07,1.71,97.86,2.11
5,6,600354,敦煌种业,5.63,-1.05,-0.06,96802,54765703.0,1.23,5.7,5.63,5.67,5.69,1.83,123.92,4.82
6,7,600313,农发种业,6.38,-1.09,-0.07,128101,82109840.0,1.55,6.46,6.36,6.42,6.45,1.18,93.53,3.6
7,8,000713,丰乐种业,7.06,-1.12,-0.08,91850,65165790.42,1.4,7.15,7.05,7.13,7.14,1.5,62.07,2.16
8,9,600596,新安股份,8.65,-1.26,-0.11,98470,85631842.0,2.05,8.79,8.61,8.76,8.76,0.76,63.91,0.92
9,10,600371,万向德农,8.61,-1.37,-0.12,37509,32495138.0,1.83,8.76,8.6,8.74,8.73,1.28,36.5,4.4
10,11,002041,登海种业,10.39,-2.07,-0.22,100087,104819688.34,2.07,10.6,10.38,10.6,10.61,1.14,117.05,2.54
11,12,688265,南模生物,26.65,-2.67,-0.73,4178,11241573.0,3.83,27.63,26.58,27.21,27.38,0.85,316.67,1.23
12,13,000998,隆平高科,10.22,-2.85,-0.3,282292,291650781.4,3.33,10.54,10.19,10.49,10.52,2.15,-21.23,2.96
13,14,300087,荃银高科,9.46,-3.27,-0.32,212534,203860431.88,3.48,9.79,9.45,9.75,9.78,2.37,-79.7,5.1
14,15,301556,托普云农,86.71,-3.69,-3.32,11848,103980546.15,4.31,90.26,86.38,90.26,90.03,6.46,72.41,8.24
15,16,837403,康农种业,24.31,-4.37,-1.11,19401,48262349.49,7.36,26.18,24.31,25.23,25.42,4.67,15.55,3.53
