,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300519,新光药业,15.0,6.76,0.95,179631,270412845.64,8.68,15.88,14.66,14.66,14.05,15.74,47.64,2.93
1,2,300583,赛托生物,26.6,4.72,1.2,70105,183754543.41,6.65,26.99,25.3,25.38,25.4,3.77,257.18,2.6
2,3,000597,东北制药,5.03,0.8,0.04,200305,100870683.0,1.6,5.08,5.0,5.0,4.99,1.42,25.92,1.39
3,4,300199,翰宇药业,13.24,0.53,0.07,451105,603791496.06,2.89,13.6,13.22,13.23,13.17,6.39,-251.99,16.54
4,5,000513,丽珠集团,34.86,0.26,0.09,47780,166343282.82,1.27,35.04,34.6,34.87,34.77,0.82,14.24,2.24
5,6,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
6,7,000661,长春高新,101.27,-0.37,-0.38,48013,485360528.79,2.49,102.49,99.96,101.4,101.65,1.2,11.11,1.8
7,8,000950,重药控股,5.13,-0.39,-0.02,198299,102121700.0,1.94,5.2,5.1,5.16,5.15,1.15,22.75,0.78
8,9,300147,香雪制药,10.02,-0.5,-0.05,448045,462211045.9,6.55,10.66,10.0,10.45,10.07,6.81,-22.82,3.88
9,10,600488,津药药业,4.46,-0.67,-0.03,60676,27193362.0,2.0,4.53,4.44,4.49,4.49,0.56,19.56,1.6
10,11,002038,双鹭药业,6.89,-0.72,-0.05,109191,75651049.65,2.02,7.0,6.86,6.95,6.94,1.28,-317.22,1.26
11,12,002793,罗欣药业,3.93,-0.76,-0.03,215182,86448970.3,5.81,4.16,3.93,4.0,3.96,1.98,-12.08,2.03
12,13,300086,康芝药业,5.2,-0.76,-0.04,286553,150619679.92,4.58,5.4,5.16,5.34,5.24,6.5,-14.46,1.87
13,14,688575,亚辉龙,16.72,-0.77,-0.13,37802,63386820.0,1.6,16.93,16.66,16.84,16.85,0.66,31.61,3.45
14,15,600420,国药现代,11.41,-0.87,-0.1,115675,132403288.0,2.0,11.57,11.34,11.49,11.51,0.86,12.02,1.17
15,16,600763,通策医疗,46.6,-0.87,-0.41,60744,284251455.0,1.79,47.23,46.39,46.75,47.01,1.36,31.37,5.05
16,17,301126,达嘉维康,11.71,-0.93,-0.11,92551,109347845.8,2.96,12.03,11.68,11.94,11.82,6.71,49.49,1.36
17,18,002332,仙琚制药,10.03,-0.99,-0.1,242093,244796411.7,2.17,10.21,9.99,10.13,10.13,2.46,14.04,1.65
18,19,000756,新华制药,14.9,-1.06,-0.16,92494,138943549.74,2.59,15.21,14.82,15.12,15.06,2.03,22.4,2.09
19,20,300272,开能健康,6.49,-1.07,-0.07,92421,60051162.0,1.98,6.57,6.44,6.55,6.56,2.14,33.38,3.2
20,21,603538,美诺华,13.76,-1.15,-0.16,31978,44113049.0,2.3,13.98,13.66,13.87,13.92,1.5,35.67,1.43
21,22,600380,健康元,11.21,-1.23,-0.14,165543,186380746.0,2.29,11.42,11.16,11.39,11.35,0.9,13.84,1.42
22,23,600200,江苏吴中,5.82,-1.36,-0.08,374749,218673563.0,2.03,5.92,5.8,5.89,5.9,5.27,68.96,2.31
23,24,300482,万孚生物,23.48,-1.51,-0.36,49178,116105717.33,1.89,23.9,23.45,23.84,23.84,1.14,19.45,2.11
24,25,300006,莱美药业,3.72,-1.59,-0.06,312703,118790859.67,5.82,3.93,3.71,3.9,3.78,2.96,-44.74,2.09
