,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000555,神州信息,15.96,9.99,1.45,1360664,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
1,2,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
2,3,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
3,4,300157,新锦动力,4.01,4.7,0.18,1327674,534895306.44,11.75,4.2,3.75,3.75,3.83,18.87,-19.99,-12.73
4,5,000530,冰山冷热,6.35,4.27,0.26,1067472,671259022.02,5.25,6.41,6.09,6.09,6.09,17.79,42.46,1.72
5,6,002184,海得控制,15.43,3.7,0.55,574467,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
6,7,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
7,8,300249,依米康,18.48,1.65,0.3,373617,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
8,9,002512,达华智能,5.71,1.42,0.08,1408026,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
9,10,300947,德必集团,20.31,1.3,0.26,71657,144592629.65,2.89,20.43,19.85,20.0,20.05,4.74,103.46,2.44
10,11,603042,华脉科技,14.88,0.54,0.08,219363,329167429.0,5.81,15.41,14.55,14.7,14.8,13.66,-218.64,2.73
11,12,300895,铜牛信息,58.88,0.48,0.28,169004,991779450.84,5.32,59.97,56.85,56.85,58.6,12.23,-96.89,9.17
12,13,000897,津滨发展,2.4,0.42,0.01,343105,82106321.17,2.09,2.42,2.37,2.39,2.39,2.12,7.84,1.26
13,14,300370,安控科技,3.39,0.3,0.01,659962,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
14,15,300504,天邑股份,17.32,0.23,0.04,84022,144576110.4,4.57,17.61,16.82,17.05,17.28,3.85,91.51,2.1
15,16,301213,观想科技,50.18,0.16,0.08,13264,66097024.28,2.22,50.37,49.26,50.1,50.1,2.56,546.7,5.03
16,17,601728,中国电信,7.52,0.13,0.01,1163395,879850480.0,1.86,7.62,7.48,7.51,7.51,0.15,17.62,1.53
17,18,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
18,19,000818,航锦科技,28.57,-0.03,-0.01,741496,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
19,20,002544,普天科技,24.14,-0.08,-0.02,375304,900422485.07,3.93,24.48,23.53,24.42,24.16,5.53,675.1,4.4
20,21,300213,佳讯飞鸿,10.43,-0.48,-0.05,1288602,1375472492.87,5.73,10.96,10.36,10.8,10.48,23.38,126.37,2.79
21,22,688316,青云科技-U,76.03,-0.48,-0.37,50825,391116152.0,6.92,78.98,73.69,73.69,76.4,14.14,-36.98,42.96
22,23,688387,信科移动-U,5.83,-0.68,-0.04,188895,110916841.0,1.87,5.94,5.83,5.85,5.87,1.37,-72.35,3.18
23,24,603003,*ST龙宇,5.36,-0.92,-0.05,39832,21550412.0,3.88,5.52,5.31,5.39,5.41,1.06,-18.41,0.57
24,25,688262,国芯科技,29.27,-1.11,-0.33,116093,336727139.0,8.01,30.5,28.13,29.48,29.6,4.39,-55.92,4.47
25,26,601126,四方股份,17.8,-1.17,-0.21,171389,307707348.0,3.44,18.32,17.7,17.91,18.01,2.09,18.27,3.36
26,27,002413,雷科防务,4.95,-1.2,-0.06,454374,228288556.08,3.19,5.1,4.94,4.99,5.01,3.63,-36.36,1.77
