,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003007,直真科技,38.89,10.01,3.54,130053,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
1,2,300081,恒信东方,8.84,6.38,0.53,1292921,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
2,3,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
3,4,300628,亿联网络,40.92,0.34,0.14,85858,353425684.91,2.94,41.68,40.48,40.61,40.78,1.19,19.56,5.78
4,5,688081,兴图新科,20.97,-0.43,-0.09,11475,23908232.0,2.47,21.12,20.6,20.96,21.06,1.11,-26.89,4.95
5,6,001229,魅视科技,34.84,-1.25,-0.44,25594,90989990.0,5.19,36.5,34.67,35.26,35.28,8.7,50.12,3.61
6,7,688369,致远互联,34.58,-1.71,-0.6,27047,93678146.0,4.78,35.76,34.08,34.33,35.18,2.35,-23.76,3.57
7,8,002841,视源股份,39.8,-2.09,-0.85,42491,170039124.14,3.32,40.92,39.57,40.5,40.65,0.82,28.51,2.18
8,9,002230,科大讯飞,48.54,-2.1,-1.04,352148,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
9,10,002995,天地在线,19.98,-2.11,-0.43,37602,75568078.25,2.01,20.35,19.94,20.35,20.41,3.34,-85.79,3.66
10,11,600850,电科数字,25.13,-2.22,-0.57,105008,266409356.0,2.61,25.77,25.1,25.58,25.7,1.71,42.76,3.74
11,12,002153,石基信息,7.69,-2.29,-0.18,236205,182400002.66,2.54,7.84,7.64,7.82,7.87,1.48,991.01,2.86
12,13,300578,会畅通讯,20.21,-2.37,-0.49,42433,86578926.0,2.51,20.7,20.18,20.65,20.7,2.19,130.68,3.41
13,14,300079,数码视讯,5.67,-2.41,-0.14,285945,163726862.67,2.58,5.82,5.67,5.77,5.81,2.23,272.05,1.92
14,15,002467,二六三,6.08,-2.41,-0.15,479122,293442054.37,2.41,6.22,6.07,6.19,6.23,3.51,97.23,4.44
15,16,301318,维海德,32.06,-2.58,-0.85,20343,66185479.02,3.16,33.1,32.06,32.71,32.91,3.48,36.85,2.41
16,17,300352,北信源,5.58,-2.62,-0.15,350601,197231982.86,3.14,5.73,5.55,5.68,5.73,2.87,-127.77,5.41
17,18,603039,泛微网络,65.81,-2.65,-1.79,20621,136528062.0,3.33,67.67,65.42,66.4,67.6,0.79,149.18,8.36
18,19,300051,琏升科技,6.61,-2.65,-0.18,47519,31836755.59,3.09,6.82,6.61,6.82,6.79,1.3,-27.85,9.27
19,20,002301,齐心集团,7.6,-2.69,-0.21,112052,85999150.24,2.56,7.8,7.6,7.78,7.81,1.56,25.93,1.73
20,21,002236,大华股份,17.85,-2.88,-0.53,1062577,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
21,22,601360,三六零,10.85,-3.04,-0.34,1059584,1161941100.0,2.77,11.16,10.85,11.13,11.19,1.51,-98.39,2.49
22,23,300250,初灵信息,17.12,-3.28,-0.58,99243,171849742.63,3.56,17.69,17.06,17.55,17.7,6.29,-90.97,6.54
23,24,300074,华平股份,4.81,-3.41,-0.17,214787,104482491.0,3.41,4.98,4.81,4.98,4.98,4.03,-32.62,2.53
24,25,603918,金桥信息,16.44,-3.46,-0.59,188496,313073199.0,3.11,16.96,16.43,16.88,17.03,5.15,-62.62,5.83
25,26,603660,苏州科达,7.61,-3.55,-0.28,231907,178731038.0,3.3,7.87,7.61,7.87,7.89,4.36,-8.6,4.79
26,27,002587,奥拓电子,6.21,-3.57,-0.23,235159,147336962.93,4.04,6.43,6.17,6.41,6.44,4.56,-153.1,3.04
27,28,002474,榕基软件,7.08,-3.67,-0.27,275905,198077539.02,3.67,7.34,7.07,7.31,7.35,5.2,-167.25,3.0
28,29,002279,久其软件,6.93,-3.75,-0.27,383041,269445691.52,3.89,7.2,6.92,7.19,7.2,4.85,-19.72,4.48
29,30,300162,雷曼光电,7.34,-3.93,-0.3,136917,101674194.0,4.19,7.64,7.32,7.62,7.64,4.02,-53.29,3.28
30,31,300634,彩讯股份,27.12,-4.2,-1.19,220238,605704612.0,3.46,27.98,27.0,27.7,28.31,5.07,47.02,4.52
31,32,600588,用友网络,15.81,-4.24,-0.7,804336,1285846917.0,4.36,16.44,15.72,16.2,16.51,2.35,-27.84,6.18
32,33,688307,中润光学,29.05,-4.28,-1.3,25206,73760378.0,4.61,30.16,28.76,30.15,30.35,4.33,47.7,2.97
33,34,688111,金山办公,309.38,-4.39,-14.22,68872,2158322913.0,4.37,322.5,308.35,322.5,323.6,1.49,87.01,12.6
34,35,688365,光云科技,14.44,-4.87,-0.74,98755,144863382.0,4.94,15.15,14.4,15.0,15.18,2.32,-74.17,6.43
35,36,300287,飞利信,6.89,-5.1,-0.37,1295274,901878684.54,3.58,7.15,6.89,7.12,7.26,9.88,-59.79,7.86
36,37,002123,梦网科技,16.27,-5.3,-0.91,721869,1194210854.47,4.6,16.99,16.2,16.89,17.18,10.05,322.3,7.9
37,38,300605,恒锋信息,15.34,-7.2,-1.19,138273,218504150.84,8.59,16.67,15.25,16.35,16.53,12.16,-76.9,4.77
38,39,002261,拓维信息,32.04,-8.98,-3.16,1949373,6482619142.92,7.24,34.43,31.88,34.43,35.2,17.29,2740.61,15.5
