,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000571,新大洲A,4.84,10.0,0.44,434445,203498928.95,10.45,4.84,4.38,4.43,4.4,5.34,-39.02,13.61
1,2,300397,天和防务,15.2,7.19,1.02,1283913,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
2,3,600561,江西长运,6.14,0.33,0.02,51898,31765740.0,1.8,6.17,6.06,6.12,6.12,1.82,548.9,1.92
3,4,000738,航发控制,20.47,-0.1,-0.02,119070,244570469.78,2.29,20.76,20.29,20.37,20.49,0.91,32.11,2.2
4,5,002297,博云新材,7.05,-0.14,-0.01,134816,95287919.5,2.12,7.15,7.0,7.03,7.06,2.35,-179.9,1.92
5,6,600115,中国东航,3.69,-0.27,-0.01,873736,324132456.0,1.62,3.74,3.68,3.7,3.7,0.51,-447.04,4.16
6,7,002111,威海广泰,11.6,-0.43,-0.05,123737,143117749.67,2.92,11.74,11.4,11.62,11.65,2.59,35.91,2.01
7,8,000768,中航西飞,25.64,-0.74,-0.19,301656,779318308.73,3.02,26.2,25.42,25.72,25.83,1.09,56.68,3.52
8,9,600893,航发动力,37.54,-0.77,-0.29,178251,673956346.0,2.62,38.33,37.34,37.71,37.83,0.67,103.35,2.51
9,10,002985,北摩高科,24.3,-0.82,-0.2,34638,84694708.4,2.65,24.83,24.18,24.31,24.5,1.67,72.65,3.17
10,11,600038,中直股份,37.01,-0.96,-0.36,73584,274282133.0,2.22,37.69,36.86,37.26,37.37,1.1,63.7,1.89
11,12,688510,航亚科技,18.24,-0.98,-0.18,46689,85964872.0,2.82,18.72,18.2,18.42,18.42,1.81,37.22,4.12
12,13,601021,春秋航空,51.4,-1.08,-0.56,36724,190207051.0,2.37,52.49,51.26,52.01,51.96,0.38,14.48,2.84
13,14,601111,中国国航,7.25,-1.23,-0.09,672852,492992723.0,2.72,7.45,7.25,7.33,7.34,0.58,69.67,2.72
14,15,002146,荣盛发展,1.51,-1.31,-0.02,562554,85607407.0,1.96,1.54,1.51,1.53,1.53,1.44,-3.46,0.3
15,16,600029,南方航空,5.82,-1.36,-0.08,563649,330396884.0,2.37,5.94,5.8,5.9,5.9,0.44,40.25,2.73
16,17,002023,海特高新,10.47,-1.41,-0.15,129379,136518022.24,3.01,10.72,10.4,10.58,10.62,1.75,93.99,1.81
17,18,600990,四创电子,21.46,-1.47,-0.32,39566,85475507.0,2.3,21.86,21.36,21.79,21.78,1.47,-108.77,2.76
18,19,600523,贵航股份,13.42,-1.54,-0.21,108887,146921251.0,2.49,13.7,13.36,13.64,13.63,2.69,30.54,1.77
19,20,002984,森麒麟,24.86,-1.89,-0.48,146736,367448335.04,2.64,25.38,24.71,25.25,25.34,2.08,11.19,2.05
20,21,600862,中航高科,25.33,-1.9,-0.49,188180,479672297.0,3.49,25.97,25.07,25.55,25.82,1.35,30.61,4.98
21,22,002097,山河智能,8.12,-2.05,-0.17,289173,236926525.6,3.5,8.37,8.08,8.25,8.29,2.7,187.96,1.91
22,23,600340,华夏幸福,2.36,-2.07,-0.05,633128,150663077.0,2.07,2.41,2.36,2.4,2.41,1.63,-3.09,1.58
23,24,002542,中化岩土,3.68,-2.13,-0.08,396436,146652292.72,3.19,3.77,3.65,3.76,3.76,2.48,-25.86,3.3
24,25,601727,上海电气,7.94,-2.22,-0.18,1522651,1217082871.0,2.59,8.09,7.88,8.09,8.12,1.2,122.35,2.31
25,26,300719,安达维尔,18.53,-2.32,-0.44,87443,163093508.0,3.8,19.05,18.33,18.72,18.97,4.87,669.25,4.52
26,27,835508,殷图网联,34.44,-2.52,-0.89,13186,45590997.52,3.79,35.39,34.05,35.33,35.33,5.06,250.74,8.41
27,28,000099,中信海直,24.71,-2.68,-0.68,181943,453912353.74,2.64,25.37,24.7,25.16,25.39,2.35,63.22,3.6
28,29,300135,宝利国际,4.33,-2.7,-0.12,653990,292003323.0,9.44,4.7,4.28,4.6,4.45,7.1,429.11,4.22
29,30,001696,宗申动力,22.41,-3.2,-0.74,306569,693986710.6,3.07,23.1,22.39,23.03,23.15,3.44,49.2,5.22
30,31,002149,西部材料,22.09,-3.37,-0.77,340205,780279349.08,7.79,23.77,21.99,22.5,22.86,6.97,58.68,3.66
31,32,002085,万丰奥威,18.36,-3.67,-0.7,618879,1153944294.82,4.09,19.14,18.36,19.08,19.06,2.91,51.88,5.65
32,33,300542,新晨科技,18.56,-3.73,-0.72,68623,128851178.7,4.25,19.32,18.5,19.3,19.28,2.79,-234.31,8.83
33,34,002510,天汽模,5.89,-3.76,-0.23,515119,306398421.46,3.76,6.1,5.87,6.06,6.12,5.13,49.61,2.47
34,35,603766,隆鑫通用,10.67,-3.79,-0.42,279123,301206216.0,4.06,11.06,10.61,11.06,11.09,1.36,18.29,2.45
35,36,600316,洪都航空,35.5,-4.05,-1.5,164369,591378092.0,4.32,36.9,35.3,36.4,37.0,2.29,1342.76,4.8
36,37,002253,川大智胜,12.69,-4.15,-0.55,151367,194067202.25,3.63,13.13,12.65,13.11,13.24,7.29,-79.43,2.43
37,38,002189,中光学,20.2,-4.36,-0.92,80308,164624475.2,3.88,20.99,20.17,20.96,21.12,3.08,-177.33,4.91
38,39,002520,日发精机,7.94,-5.36,-0.45,940811,754657230.06,5.01,8.26,7.84,8.24,8.39,13.11,-67.51,5.39
39,40,600705,中航产融,3.4,-5.82,-0.21,1938839,664906510.0,2.49,3.48,3.39,3.44,3.61,2.2,37.53,0.8
