,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688137,近岸蛋白,35.51,0.71,0.25,9082,32193659.0,2.64,35.67,34.74,35.32,35.26,2.78,-45.47,1.19
1,2,833575,康乐卫士,17.43,0.29,0.05,21553,37727152.95,2.53,17.74,17.3,17.31,17.38,1.15,-10.44,8.78
2,3,000513,丽珠集团,34.86,0.26,0.09,47780,166343282.82,1.27,35.04,34.6,34.87,34.77,0.82,14.24,2.24
3,4,600867,通化东宝,7.55,-0.4,-0.03,122742,93001615.0,1.85,7.65,7.51,7.61,7.58,0.63,-167.09,2.3
4,5,301047,义翘神州,63.8,-0.68,-0.44,6700,42784200.6,1.88,64.52,63.31,64.09,64.24,0.56,58.6,1.35
5,6,832982,锦波生物,264.8,-0.86,-2.3,6857,181205687.08,4.53,271.11,259.0,265.48,267.1,1.49,23.97,15.24
6,7,300485,赛升药业,7.32,-1.48,-0.11,41464,30685655.2,2.83,7.52,7.31,7.44,7.43,1.51,-26.93,1.06
7,8,688520,神州细胞-U,38.75,-1.55,-0.61,17043,66492648.0,3.4,39.79,38.45,39.02,39.36,0.38,154.15,122.48
8,9,301080,百普赛斯,54.06,-1.73,-0.95,12827,69764852.73,3.64,55.5,53.5,54.82,55.01,1.42,58.28,2.56
9,10,600645,中源协和,21.31,-2.07,-0.45,59560,127686704.0,2.85,21.8,21.18,21.73,21.76,1.27,56.02,2.76
10,11,300149,睿智医药,6.37,-2.6,-0.17,82700,53208583.7,3.36,6.58,6.36,6.54,6.54,1.66,-38.58,2.32
11,12,688222,成都先导,15.36,-3.4,-0.54,72799,113096504.0,4.15,15.96,15.3,15.8,15.9,1.82,120.83,4.42
12,13,688336,三生国健,27.77,-3.71,-1.07,34559,97304674.0,4.65,28.94,27.6,28.56,28.84,0.56,23.41,3.06
13,14,688062,迈威生物-U,17.82,-5.56,-1.05,65648,118258864.0,6.62,18.86,17.61,18.8,18.87,3.22,-6.67,4.61
