,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300125,ST聆达,8.34,6.92,0.54,257860,208096066.84,6.67,8.35,7.83,8.01,7.8,9.71,-2.94,-14.16
1,2,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
2,3,300393,中来股份,6.32,2.6,0.16,428697,268164576.22,5.36,6.46,6.13,6.13,6.16,4.49,-17.01,1.74
3,4,688599,天合光能,17.8,0.74,0.13,292183,520531517.0,2.38,18.0,17.58,17.6,17.67,1.34,-11.23,1.47
4,5,300758,七彩化学,13.08,0.38,0.05,106179,139179054.88,2.53,13.28,12.95,12.98,13.03,3.0,33.13,3.11
5,6,600477,杭萧钢构,2.84,-0.35,-0.01,263567,75238104.0,1.75,2.88,2.83,2.84,2.85,1.11,24.58,1.29
6,7,002534,西子洁能,13.35,-0.37,-0.05,79596,106595028.36,2.69,13.57,13.21,13.34,13.4,1.09,17.48,2.41
7,8,688669,聚石化学,15.87,-0.81,-0.13,13647,21587824.0,3.56,16.14,15.57,16.14,16.0,1.12,-13.42,1.38
8,9,600438,通威股份,20.79,-1.0,-0.21,375558,785919473.0,2.38,21.25,20.75,20.95,21.0,0.83,-17.67,1.89
9,10,002218,拓日新能,3.54,-1.12,-0.04,313941,111889878.88,2.79,3.62,3.52,3.57,3.58,2.25,121.13,1.19
10,11,300118,东方日升,11.4,-1.13,-0.13,233681,269508594.2,3.21,11.74,11.37,11.48,11.53,2.52,-6.25,0.98
11,12,000725,京东方Ａ,4.25,-1.39,-0.06,4717855,2017921915.08,2.32,4.33,4.23,4.31,4.31,1.28,36.25,1.23
12,13,301021,英诺激光,31.32,-1.45,-0.46,59156,184860113.0,3.02,31.86,30.9,31.2,31.78,3.89,4149.63,4.86
13,14,002309,*ST中利,2.67,-1.48,-0.04,192311,51309938.8,4.06,2.73,2.62,2.65,2.71,1.58,-13.27,2.3
14,15,300724,捷佳伟创,63.81,-1.65,-1.07,75150,483026966.26,3.02,65.51,63.55,64.58,64.88,2.62,8.23,2.14
15,16,603212,赛伍技术,10.65,-1.66,-0.18,74268,79675839.0,2.31,10.87,10.62,10.82,10.83,1.7,-36.58,1.62
16,17,002514,宝馨科技,7.36,-1.74,-0.13,196188,145019247.69,2.0,7.5,7.35,7.5,7.49,3.54,-24.05,6.73
17,18,300263,隆华科技,7.62,-1.8,-0.14,349404,270621106.4,3.87,7.89,7.59,7.71,7.76,4.67,33.41,2.18
18,19,000821,京山轻机,13.03,-1.88,-0.25,127300,167110355.0,2.71,13.35,12.99,13.2,13.28,2.1,14.06,2.01
19,20,688378,奥来德,22.07,-1.91,-0.43,40525,89436133.0,2.98,22.54,21.87,22.54,22.5,2.01,50.95,2.64
20,21,002643,万润股份,11.27,-2.0,-0.23,137128,155618828.0,2.17,11.49,11.24,11.45,11.5,1.51,26.56,1.49
21,22,603687,大胜达,7.24,-2.03,-0.15,116567,85010601.0,2.44,7.39,7.21,7.36,7.39,2.12,36.11,1.23
22,23,300340,科恒股份,10.37,-2.08,-0.22,51634,53808499.22,2.64,10.6,10.32,10.51,10.59,2.46,-19.11,19.08
23,24,601012,隆基绿能,17.06,-2.12,-0.37,809685,1394690756.0,2.75,17.53,17.05,17.45,17.43,1.07,-14.91,2.08
24,25,600586,金晶科技,5.5,-2.83,-0.16,270039,149585881.0,3.89,5.67,5.45,5.61,5.66,1.89,19.85,1.28
25,26,301131,聚赛龙,39.11,-3.17,-1.28,16294,63956193.3,3.61,40.15,38.69,40.15,40.39,5.29,53.34,2.29
26,27,688170,德龙激光,23.8,-3.33,-0.82,12732,30737705.0,3.49,24.66,23.8,24.5,24.62,1.6,-71.71,2.0
27,28,688025,杰普特,54.66,-3.53,-2.0,38242,210170869.0,4.82,56.83,54.1,56.77,56.66,4.02,37.54,2.55
28,29,300716,泉为科技,10.75,-4.02,-0.45,41297,44995663.0,3.93,11.18,10.74,11.13,11.2,2.58,-18.58,22.28
29,30,300585,奥联电子,16.21,-4.76,-0.81,74917,123099161.0,5.52,17.07,16.13,16.86,17.02,4.38,-849.18,3.87
30,31,002329,皇氏集团,3.65,-5.44,-0.21,649837,241414620.15,4.92,3.83,3.64,3.76,3.86,9.86,-162.33,1.84
31,32,301325,曼恩斯特,63.07,-6.62,-4.47,76668,493151841.7,6.83,67.52,62.91,67.01,67.54,13.24,106.09,3.09
