,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002386,天原股份,4.61,-0.22,-0.01,143255,66047198.62,1.73,4.65,4.57,4.62,4.62,1.1,-46.33,0.77
1,2,002601,龙佰集团,18.18,-0.38,-0.07,190951,346106458.77,2.47,18.36,17.91,18.24,18.25,0.96,12.69,1.87
2,3,002978,安宁股份,30.96,-0.45,-0.14,22716,70841105.04,2.38,31.57,30.83,31.1,31.1,0.76,17.16,1.8
3,4,002145,中核钛白,4.46,-0.89,-0.04,425390,190968984.66,2.0,4.54,4.45,4.48,4.5,1.12,30.55,1.43
4,5,600727,鲁北化工,7.51,-0.92,-0.07,116151,87767956.0,2.51,7.66,7.47,7.57,7.58,2.2,15.21,1.25
5,6,603826,坤彩科技,20.18,-0.93,-0.19,27207,55127292.0,1.72,20.45,20.1,20.34,20.37,0.42,164.21,6.95
6,7,603067,振华股份,18.72,-1.21,-0.23,107774,200778443.0,6.02,19.28,18.14,18.88,18.95,2.12,19.64,3.13
7,8,000545,金浦钛业,2.33,-1.27,-0.03,208417,48926259.0,2.97,2.39,2.32,2.36,2.36,2.12,-31.51,1.72
8,9,002136,安 纳 达,10.04,-1.38,-0.14,31207,31477811.0,2.06,10.21,10.0,10.17,10.18,1.46,191.79,1.84
9,10,000629,钒钛股份,2.92,-1.68,-0.05,1030777,304338870.12,3.03,3.0,2.91,2.97,2.97,1.11,111.09,2.19
10,11,300891,惠云钛业,9.03,-2.48,-0.23,63013,57370222.08,3.78,9.31,8.96,9.18,9.26,1.9,220.78,2.81
