,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002591,恒大高新,5.71,2.88,0.16,378126,214360395.0,10.99,6.0,5.39,5.51,5.55,16.92,90.45,2.5
1,2,603810,丰山集团,12.62,0.96,0.12,65713,84057330.0,5.44,13.1,12.42,12.45,12.5,3.98,-63.15,1.42
2,3,300586,美联新材,9.05,0.89,0.08,241286,218971391.45,5.57,9.3,8.8,8.91,8.97,4.51,132.17,3.36
3,4,300338,*ST开元,3.81,0.53,0.02,65922,25162653.0,3.17,3.88,3.76,3.77,3.79,1.91,-31.86,-10.35
4,5,600348,华阳股份,6.78,0.44,0.03,295938,200544397.0,1.78,6.83,6.71,6.72,6.75,0.82,10.08,0.89
5,6,002769,普路通,7.7,0.39,0.03,79179,60635415.39,2.48,7.74,7.55,7.6,7.67,2.38,-48.44,2.42
6,7,300758,七彩化学,13.08,0.38,0.05,106179,139179054.88,2.53,13.28,12.95,12.98,13.03,3.0,33.13,3.11
7,8,002170,芭田股份,10.45,-0.29,-0.03,172681,180909601.53,2.67,10.65,10.37,10.41,10.48,2.43,36.89,3.35
8,9,300530,领湃科技,26.15,-0.34,-0.09,55558,145647271.25,3.39,26.7,25.81,26.41,26.24,3.51,-23.63,65.5
9,10,600905,三峡能源,4.26,-0.47,-0.02,1015473,433678877.0,1.4,4.3,4.24,4.27,4.28,0.36,17.95,1.42
10,11,002455,百川股份,8.01,-0.5,-0.04,164977,133109886.0,2.24,8.16,7.98,8.05,8.05,3.25,43.8,2.7
11,12,002407,多氟多,12.28,-0.73,-0.09,145404,179360862.37,1.62,12.42,12.22,12.36,12.37,1.35,439.2,1.65
12,13,688567,孚能科技,14.04,-0.92,-0.13,165965,235961235.0,5.29,14.7,13.95,14.47,14.17,1.36,-53.38,1.73
13,14,003027,同兴科技,15.86,-1.06,-0.17,33562,53182142.0,3.31,16.14,15.61,16.02,16.03,3.29,79.75,1.23
14,15,300014,亿纬锂能,50.96,-1.43,-0.74,280522,1427474714.14,2.55,51.63,50.31,51.58,51.7,1.51,24.52,2.85
15,16,300919,中伟股份,36.47,-1.46,-0.54,66434,243398863.71,2.54,37.19,36.25,36.91,37.01,0.73,19.36,1.71
16,17,002340,格林美,6.69,-1.47,-0.1,795613,534786034.51,2.06,6.8,6.66,6.77,6.79,1.56,28.46,1.78
17,18,300890,翔丰华,31.36,-1.48,-0.47,38215,120800508.0,2.14,31.98,31.3,31.6,31.83,3.57,49.63,1.84
18,19,688184,帕瓦股份,13.87,-1.49,-0.21,5325,7435505.0,1.63,14.1,13.87,14.05,14.08,0.53,-2.01,1.35
19,20,300068,南都电源,18.41,-1.55,-0.29,593507,1107470731.31,3.32,19.02,18.4,18.7,18.7,6.94,50.22,3.04
20,21,603177,德创环保,8.53,-1.84,-0.16,51673,44382252.0,2.42,8.71,8.5,8.7,8.69,2.53,54.45,4.66
21,22,002598,山东章鼓,10.83,-2.08,-0.23,92576,101039164.0,2.44,11.09,10.82,10.99,11.06,3.28,38.63,2.61
22,23,300207,欣旺达,22.63,-2.12,-0.49,255161,582548237.17,3.03,23.26,22.56,23.04,23.12,1.49,25.84,1.77
23,24,002709,天赐材料,19.27,-2.13,-0.42,235693,457251781.6,3.05,19.77,19.17,19.66,19.69,1.7,81.78,2.85
24,25,002125,湘潭电化,10.9,-2.15,-0.24,117417,128904454.0,2.51,11.14,10.86,11.1,11.14,1.87,22.09,2.29
25,26,300750,宁德时代,256.0,-2.35,-6.15,194320,5026360931.88,3.38,264.53,255.67,262.68,262.15,0.5,22.21,4.57
26,27,300903,科翔股份,8.55,-2.62,-0.23,141774,122384831.0,3.99,8.84,8.49,8.78,8.78,4.32,-15.2,1.75
27,28,300073,当升科技,42.15,-2.66,-1.15,127215,543610314.47,3.26,43.55,42.14,43.19,43.3,2.52,34.49,1.62
28,29,600152,维科技术,6.34,-2.76,-0.18,159807,102387601.0,3.99,6.57,6.31,6.43,6.52,3.02,4770.59,1.86
29,30,300409,道氏技术,15.61,-2.8,-0.45,368571,581133403.27,3.92,16.17,15.54,16.05,16.06,6.2,54.84,1.45
30,31,688275,万润新能,46.23,-2.84,-1.35,10055,47050007.0,3.89,47.85,46.0,47.21,47.58,1.19,-6.76,1.04
31,32,002324,普利特,10.11,-2.88,-0.3,148519,151092812.61,3.17,10.4,10.07,10.35,10.41,1.91,40.37,2.56
32,33,002245,蔚蓝锂芯,14.32,-3.11,-0.46,640095,927702905.4,3.86,14.87,14.3,14.71,14.78,5.89,33.82,2.38
33,34,300438,鹏辉能源,28.05,-3.14,-0.91,109312,311780473.38,4.14,29.2,28.0,28.9,28.96,2.7,175.02,2.61
34,35,600216,浙江医药,13.48,-3.23,-0.45,377750,514014634.0,3.09,13.83,13.4,13.8,13.93,3.93,11.44,1.25
35,36,002866,传艺科技,16.69,-3.41,-0.59,87977,148875351.1,3.7,17.28,16.64,17.16,17.28,4.85,78.63,2.27
36,37,688005,容百科技,23.46,-3.42,-0.83,90205,214484946.0,4.08,24.44,23.45,24.08,24.29,1.94,57.37,1.99
37,38,688707,振华新材,12.52,-3.47,-0.45,106918,134992672.0,4.32,13.0,12.44,12.79,12.97,2.1,-12.07,1.44
38,39,603200,上海洗霸,34.25,-3.52,-1.25,94224,326080746.0,3.83,35.46,34.1,35.39,35.5,5.37,93.12,6.27
39,40,000066,中国长城,15.05,-3.53,-0.55,715146,1088867828.68,2.69,15.47,15.05,15.42,15.6,2.22,-52.95,4.04
40,41,603895,天永智能,26.29,-3.59,-0.98,15267,40481028.0,4.33,27.3,26.12,27.01,27.27,1.41,-119.11,8.23
41,42,301238,瑞泰新材,19.11,-3.68,-0.73,142372,275134357.0,4.33,19.86,19.0,19.75,19.84,6.67,70.31,1.95
42,43,002759,天际股份,8.3,-3.71,-0.32,143159,120877164.12,3.71,8.61,8.29,8.6,8.62,2.86,-16.56,0.96
43,44,300428,立中集团,18.89,-3.72,-0.73,120673,230560622.82,3.26,19.52,18.88,19.45,19.62,2.19,17.32,1.65
44,45,002326,永太科技,10.73,-4.2,-0.47,304018,331983211.99,4.55,11.23,10.72,11.16,11.2,3.78,-82.88,3.22
45,46,300545,联得装备,33.79,-4.41,-1.56,63497,216694320.0,3.85,35.02,33.66,35.01,35.35,5.56,23.4,3.29
46,47,688063,派能科技,41.52,-4.86,-2.12,68916,291207632.0,5.45,43.74,41.36,43.41,43.64,2.81,248.35,1.11
47,48,002915,中欣氟材,13.43,-4.89,-0.69,109550,149345728.4,5.1,14.12,13.4,14.12,14.12,3.8,-76.25,3.03
