,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,831689,克莱特,49.29,19.93,8.19,148112,709566126.12,30.58,52.85,40.28,40.37,41.1,39.8,49.74,7.76
1,2,600243,青海华鼎,3.97,9.97,0.36,1522817,600172931.0,3.88,3.97,3.83,3.96,3.61,34.7,-74.17,2.45
2,3,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
3,4,600797,浙大网新,14.15,4.04,0.55,4145789,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
4,5,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
5,6,300001,特锐德,25.19,3.32,0.81,481349,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
6,7,688187,时代电气,50.76,2.11,1.05,206694,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
7,8,300011,鼎汉技术,9.17,1.89,0.17,400742,365617266.4,4.67,9.29,8.87,8.96,9.0,7.99,244.44,3.85
8,9,301048,金鹰重工,9.61,1.59,0.15,115610,112078279.79,5.29,9.91,9.41,9.43,9.46,2.17,36.7,2.0
9,10,600528,中铁工业,8.0,1.52,0.12,270846,217484138.0,3.05,8.11,7.87,7.88,7.88,1.22,10.11,0.75
10,11,600169,太原重工,2.73,1.49,0.04,950880,262482275.0,5.58,2.83,2.68,2.69,2.69,2.85,98.55,1.78
11,12,688425,铁建重工,4.37,1.39,0.06,604774,265915480.0,4.18,4.47,4.29,4.29,4.31,4.09,15.46,1.33
12,13,600585,海螺水泥,24.92,1.01,0.25,222178,556476960.0,3.04,25.36,24.61,24.67,24.67,0.56,19.05,0.71
13,14,000609,*ST中迪,2.42,0.83,0.02,63898,15337153.0,2.5,2.44,2.38,2.38,2.4,2.2,-5.1,2.55
14,15,300200,高盟新材,8.96,0.79,0.07,151032,135172216.21,3.71,9.07,8.74,8.85,8.89,3.57,26.21,2.42
15,16,601006,大秦铁路,6.46,0.78,0.05,1033672,665713057.0,1.09,6.47,6.4,6.42,6.41,0.51,11.35,0.79
16,17,003043,华亚智能,50.38,0.72,0.36,18816,93910919.72,3.68,51.0,49.16,49.61,50.02,3.86,54.26,2.49
17,18,003037,三和管桩,6.43,0.63,0.04,99332,64127617.13,3.13,6.55,6.35,6.4,6.39,1.68,138.65,1.4
18,19,600125,铁龙物流,5.75,0.52,0.03,157193,90589006.0,1.92,5.81,5.7,5.71,5.72,1.2,14.25,1.03
19,20,300455,航天智装,14.36,0.49,0.07,199122,288320750.38,3.43,14.68,14.19,14.21,14.29,2.81,280.21,5.69
20,21,000927,中国铁物,2.62,0.38,0.01,612817,160946846.69,1.92,2.65,2.6,2.61,2.61,1.01,27.19,1.7
21,22,002132,恒星科技,3.05,0.33,0.01,411358,126078387.4,3.29,3.12,3.02,3.02,3.04,2.94,172.26,1.18
22,23,600458,时代新材,14.04,0.21,0.03,132941,189696790.0,4.21,14.52,13.93,13.93,14.01,1.66,28.49,1.93
23,24,000789,万年青,5.33,0.19,0.01,51998,27676893.2,1.69,5.37,5.28,5.3,5.32,0.65,456.8,0.63
24,25,000498,山东路桥,5.91,0.17,0.01,112692,66730646.23,1.69,5.97,5.87,5.89,5.9,0.77,4.75,0.65
25,26,601800,中国交建,9.39,0.11,0.01,466042,439734004.0,1.92,9.53,9.35,9.35,9.38,0.4,7.04,0.54
26,27,002061,浙江交科,4.02,0.0,0.0,286138,115440374.2,1.99,4.07,3.99,4.0,4.02,1.1,9.6,0.72
27,28,600379,宝光股份,10.13,0.0,0.0,62828,63802330.0,2.57,10.3,10.04,10.08,10.13,1.9,36.33,4.57
28,29,688186,广大特材,23.7,0.0,0.0,62855,149840559.0,5.06,24.5,23.3,23.6,23.7,2.93,42.65,1.4
29,30,600820,隧道股份,6.38,0.0,0.0,252627,162015136.0,1.88,6.48,6.36,6.38,6.38,0.8,10.03,0.69
30,31,601002,晋亿实业,5.15,0.0,0.0,206986,105902826.0,2.14,5.18,5.07,5.12,5.15,2.17,37.77,1.18
