,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
1,2,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
2,3,301517,陕西华达,55.42,2.06,1.12,52649,290823800.82,5.1,56.36,53.59,53.95,54.3,12.39,131.61,4.45
3,4,603042,华脉科技,14.88,0.54,0.08,219363,329167429.0,5.81,15.41,14.55,14.7,14.8,13.66,-218.64,2.73
4,5,600577,精达股份,7.92,0.51,0.04,1596552,1275002306.0,5.33,8.18,7.76,7.79,7.88,7.43,30.69,3.09
5,6,300570,太辰光,86.42,-0.67,-0.58,88151,765562752.5,2.82,88.37,85.92,86.23,87.0,4.58,100.96,13.88
6,7,002475,立讯精密,39.86,-1.39,-0.56,644422,2592809766.74,3.93,41.19,39.6,40.65,40.42,0.89,23.86,4.5
7,8,600255,鑫科材料,3.86,-1.53,-0.06,869401,336217119.0,2.04,3.92,3.84,3.9,3.92,4.81,131.36,4.95
8,9,300548,博创科技,41.39,-1.55,-0.65,105590,440626310.3,2.81,42.46,41.28,41.81,42.04,4.73,238.35,7.09
9,10,688515,裕太微-U,101.77,-1.68,-1.74,13956,145037522.0,5.27,106.96,101.5,104.99,103.51,2.8,-41.2,5.05
10,11,300913,兆龙互连,50.84,-1.74,-0.9,38467,195483315.47,2.94,51.72,50.2,51.5,51.74,1.81,110.15,11.45
11,12,300991,创益通,20.67,-1.85,-0.39,42972,89566159.0,2.99,21.2,20.57,20.95,21.06,4.78,-523.76,4.67
12,13,002617,露笑科技,8.27,-2.13,-0.18,670007,559782443.31,3.08,8.5,8.24,8.41,8.45,3.54,50.96,2.62
13,14,603703,盛洋科技,12.16,-2.25,-0.28,59985,73379206.0,2.49,12.43,12.12,12.41,12.44,1.45,563.1,5.9
14,15,300738,奥飞数据,24.28,-2.41,-0.6,961812,2372799117.02,4.94,25.33,24.1,24.51,24.88,9.84,168.02,7.16
15,16,301328,维峰电子,45.02,-2.68,-1.24,26069,118091630.12,3.31,46.23,44.7,45.9,46.26,7.64,54.54,2.62
16,17,301123,奕东电子,24.75,-2.71,-0.69,70199,175455153.6,3.46,25.44,24.56,25.3,25.44,7.62,254.58,1.97
17,18,301067,显盈科技,29.48,-2.99,-0.91,22816,67766155.0,3.82,30.48,29.32,30.4,30.39,4.07,382.44,3.4
18,19,301182,凯旺科技,38.15,-3.22,-1.27,31661,121710741.0,3.27,39.19,37.9,39.15,39.42,8.28,-67.88,4.2
19,20,688629,华丰科技,53.28,-3.22,-1.77,138312,744947586.0,5.21,55.69,52.82,54.49,55.05,7.76,-1327.98,16.82
20,21,300563,神宇股份,41.65,-3.27,-1.41,61276,258266138.0,4.32,43.31,41.45,43.01,43.06,4.95,82.8,7.2
21,22,603527,众源新材,9.94,-3.31,-0.34,106344,106809601.0,3.31,10.25,9.91,10.22,10.28,3.36,25.78,1.6
22,23,002171,楚江新材,9.26,-3.44,-0.33,263762,246792179.03,5.21,9.66,9.16,9.57,9.59,1.76,60.77,1.86
23,24,605277,新亚电子,16.41,-3.53,-0.6,118620,196755128.0,3.53,17.0,16.4,17.0,17.01,3.78,39.42,3.78
24,25,688668,鼎通科技,46.19,-3.63,-1.74,45495,212067226.0,4.17,47.99,45.99,47.7,47.93,3.28,58.14,3.55
25,26,688800,瑞可达,51.66,-3.8,-2.04,57928,302424651.0,3.84,53.39,51.33,53.0,53.7,3.66,47.32,3.91
26,27,002055,得润电子,6.23,-3.86,-0.25,353713,221898342.0,4.01,6.47,6.21,6.43,6.48,5.98,-22.46,1.51
27,28,002130,沃尔核材,21.4,-4.08,-0.91,586387,1270592301.46,3.27,22.11,21.38,22.09,22.31,4.69,31.37,4.87
28,29,601137,博威合金,21.24,-4.32,-0.96,316221,684711248.0,5.18,22.37,21.22,22.1,22.2,3.9,11.79,2.17
29,30,300843,胜蓝股份,33.11,-5.91,-2.08,83186,279543734.75,5.66,34.99,33.0,34.99,35.19,5.34,46.36,3.69
30,31,002897,意华股份,44.23,-6.09,-2.87,120194,542704555.92,5.99,46.9,44.08,46.9,47.1,6.68,27.78,3.38
31,32,835640,富士达,27.0,-6.57,-1.9,74092,203887483.2,5.33,28.54,27.0,28.54,28.9,4.1,75.06,5.81
32,33,301439,泓淋电力,16.93,-6.88,-1.25,173240,299930633.97,6.66,18.13,16.92,17.76,18.18,9.45,35.75,2.33
33,34,002886,沃特股份,19.85,-8.19,-1.77,213366,435271229.38,7.68,21.51,19.85,21.37,21.62,10.25,156.3,2.96
34,35,300863,卡倍亿,49.25,-9.93,-5.43,80633,411101620.26,9.88,54.4,49.0,53.8,54.68,6.23,38.06,3.96
