,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601969,海南矿业,7.46,0.67,0.05,343053.0,257606724.0,3.91,7.66,7.37,7.49,7.41,1.72,20.46,2.21
1,2,000155,川能动力,11.04,0.09,0.01,224952.0,249279005.72,2.54,11.23,10.95,11.02,11.03,1.33,24.27,2.0
2,3,000792,盐湖股份,16.6,-0.24,-0.04,443394.0,734992694.86,2.22,16.77,16.4,16.64,16.64,0.84,20.97,2.51
3,4,300267,尔康制药,2.77,-0.72,-0.02,336349.0,94057345.5,2.87,2.84,2.76,2.81,2.79,2.36,-168.26,1.21
4,5,600773,西藏城投,10.49,-0.76,-0.08,55556.0,58465617.0,1.61,10.62,10.45,10.57,10.57,0.58,-50.22,2.14
5,6,002756,永兴材料,34.77,-0.8,-0.28,58569.0,204734262.0,1.83,35.32,34.68,35.0,35.05,1.51,14.48,1.49
6,7,002539,云图控股,7.88,-0.88,-0.07,87617.0,69444400.52,1.89,8.01,7.86,7.94,7.95,0.99,11.83,1.09
7,8,603505,金石资源,24.33,-0.94,-0.23,32323.0,78749086.0,1.87,24.64,24.18,24.52,24.56,0.53,44.08,8.89
8,9,001203,大中矿业,8.8,-1.01,-0.09,59607.0,52846603.0,2.14,8.96,8.77,8.85,8.89,0.45,14.97,2.1
9,10,600338,西藏珠峰,10.27,-1.06,-0.11,157977.0,163161006.0,2.41,10.46,10.21,10.34,10.38,1.73,32.12,2.55
10,11,000688,国城矿业,12.48,-1.19,-0.15,51826.0,64765372.2,1.98,12.65,12.4,12.59,12.63,0.46,-124.76,4.91
11,12,300014,亿纬锂能,50.96,-1.43,-0.74,280522.0,1427474714.14,2.55,51.63,50.31,51.58,51.7,1.51,24.52,2.85
12,13,600478,科力远,5.33,-1.84,-0.1,551231.0,295990511.0,2.58,5.46,5.32,5.36,5.43,3.31,323.67,3.28
13,14,000408,藏格矿业,36.16,-1.9,-0.7,91117.0,330648186.85,3.07,37.05,35.92,36.63,36.86,0.58,22.8,4.3
14,15,002497,雅化集团,12.7,-1.93,-0.25,199521.0,257280133.61,3.63,13.14,12.67,12.91,12.95,1.89,71.0,1.4
15,16,300518,新迅达,10.59,-1.94,-0.21,36891.0,39291375.14,2.87,10.85,10.54,10.81,10.8,1.85,-18.87,2.09
16,17,000546,金圆股份,4.96,-1.98,-0.1,170599.0,85360297.0,3.16,5.08,4.92,5.04,5.06,2.45,24.86,0.91
17,18,002667,威领股份,10.1,-2.04,-0.21,71602.0,72656086.0,2.91,10.34,10.04,10.23,10.31,3.03,-16.27,4.35
18,19,002312,川发龙蟒,12.5,-2.11,-0.27,377345.0,474717044.34,2.19,12.78,12.5,12.77,12.77,2.15,41.69,2.52
19,20,300207,欣旺达,22.63,-2.12,-0.49,255161.0,582548237.17,3.03,23.26,22.56,23.04,23.12,1.49,25.84,1.77
20,21,601168,西部矿业,17.62,-2.17,-0.39,368933.0,657759658.0,3.0,18.11,17.57,17.95,18.01,1.55,11.53,2.49
21,22,300818,耐普矿机,23.47,-2.17,-0.52,47385.0,112078809.91,2.42,23.98,23.4,23.85,23.99,4.33,24.68,2.31
22,23,002466,天齐锂业,31.47,-2.18,-0.7,176544.0,560327521.9,2.58,32.23,31.4,32.06,32.17,1.2,-6.79,1.19
23,24,002240,盛新锂能,13.21,-2.22,-0.3,104769.0,139765606.32,2.52,13.55,13.21,13.45,13.51,1.21,-19.45,1.01
24,25,002176,江特电机,7.8,-2.26,-0.18,357793.0,282512920.37,3.01,8.03,7.79,7.95,7.98,2.1,-121.39,3.57
25,26,300750,宁德时代,256.0,-2.35,-6.15,194320.0,5026360931.88,3.38,264.53,255.67,262.68,262.15,0.5,22.21,4.57
26,27,600673,东阳光,9.99,-2.44,-0.25,246739.0,247840702.0,3.32,10.26,9.92,10.23,10.24,0.82,72.27,3.31
27,28,002738,中矿资源,33.71,-2.46,-0.85,111624.0,380286533.63,2.98,34.66,33.63,34.5,34.56,1.57,33.42,2.04
28,29,000762,西藏矿业,21.36,-2.55,-0.56,122660.0,264508176.59,2.83,21.9,21.28,21.82,21.92,2.36,54.85,3.73
29,30,300769,德方纳米,33.25,-2.69,-0.92,64243.0,216057083.56,3.48,34.35,33.16,34.13,34.17,2.55,-8.5,1.53
30,31,002192,融捷股份,31.11,-2.78,-0.89,65003.0,204512285.14,3.38,32.08,31.0,31.8,32.0,2.51,33.15,2.43
31,32,002460,赣锋锂业,34.75,-2.91,-1.04,244751.0,859942215.95,3.52,35.91,34.65,35.73,35.79,2.02,-82.09,1.59
32,33,603799,华友钴业,35.11,-3.01,-1.09,572285.0,2044819548.0,5.03,36.74,34.92,36.2,36.2,3.39,14.83,1.74
33,34,601899,紫金矿业,17.57,-3.3,-0.6,2514754.0,4440714113.0,3.63,18.06,17.4,18.0,18.17,1.22,14.57,3.38
34,35,002183,怡 亚 通,4.95,-3.51,-0.18,970406.0,487692961.84,4.09,5.14,4.93,5.11,5.13,3.74,157.36,1.43
35,36,002213,大为股份,15.74,-4.78,-0.79,154156.0,246113800.4,4.84,16.5,15.7,16.5,16.53,7.48,-105.73,6.37
36,37,601028,玉龙股份,,,,,,,,,,13.04,0.0,26.58,2.96
